,0
0,214.0
1,214.0
2,201.0
3,200.0
4,204.0
5,192.0
6,176.0
7,176.0
8,176.0
9,176.0
10,184.0
11,184.0
12,184.0
13,173.0
14,173.0
15,173.0
16,170.0
17,170.0
18,170.0
19,170.0
20,162.0
21,163.0
22,160.0
23,159.0
24,151.0
25,162.0
26,162.0
27,162.0
28,162.0
29,158.0
30,160.0
31,158.0
32,146.0
33,146.0
34,146.0
35,139.0
36,133.0
37,133.0
38,133.0
39,133.0
40,140.0
41,142.0
42,142.0
43,142.0
44,141.0
45,131.0
46,131.0
47,131.0
48,133.0
49,128.0
50,126.0
51,130.0
52,131.0
53,129.0
54,130.0
55,128.0
56,126.0
57,126.0
58,130.0
59,128.0
60,128.0
61,128.0
62,121.0
63,124.0
64,127.0
65,127.0
66,127.0
67,126.0
68,117.0
69,117.0
70,117.0
71,115.0
72,115.0
73,115.0
74,115.0
75,122.0
76,110.0
77,110.0
78,107.0
79,112.0
80,111.0
81,110.0
82,111.0
83,111.0
84,111.0
85,107.0
86,107.0
87,107.0
88,107.0
89,107.0
90,107.0
91,107.0
92,107.0
93,107.0
94,107.0
95,107.0
96,103.0
97,105.0
98,102.0
99,101.0
100,101.0
101,101.0
102,108.0
103,108.0
104,108.0
105,108.0
106,107.0
107,107.0
108,107.0
109,105.0
110,105.0
111,105.0
112,105.0
113,105.0
114,96.0
115,96.0
116,96.0
117,102.0
118,102.0
119,103.0
120,100.0
121,100.0
122,100.0
123,105.0
124,105.0
125,105.0
126,105.0
127,105.0
128,105.0
129,105.0
130,100.0
131,100.0
132,98.0
133,98.0
134,98.0
135,98.0
136,97.0
137,97.0
138,97.0
139,92.0
140,101.0
141,101.0
142,99.0
143,99.0
144,99.0
145,99.0
146,96.0
147,98.0
148,98.0
149,98.0
150,100.0
151,100.0
152,100.0
153,97.0
154,97.0
155,97.0
156,97.0
157,97.0
158,97.0
159,97.0
160,97.0
161,97.0
162,89.0
163,89.0
164,89.0
165,89.0
166,89.0
167,89.0
168,89.0
169,90.0
170,90.0
171,90.0
172,89.0
173,89.0
174,89.0
175,89.0
176,89.0
177,86.0
178,86.0
179,86.0
180,86.0
181,87.0
182,85.0
183,85.0
184,85.0
185,87.0
186,85.0
187,85.0
188,85.0
189,85.0
190,85.0
191,85.0
192,85.0
193,85.0
194,85.0
195,85.0
196,83.0
197,83.0
198,83.0
199,83.0
200,83.0
201,83.0
202,82.0
203,82.0
204,82.0
205,82.0
206,82.0
207,82.0
208,82.0
209,81.0
210,81.0
211,81.0
212,81.0
213,81.0
214,81.0
215,81.0
216,81.0
217,81.0
218,80.0
219,80.0
220,80.0
221,80.0
222,82.0
223,82.0
224,80.0
225,80.0
226,80.0
227,79.0
228,79.0
229,79.0
230,79.0
231,79.0
232,79.0
233,79.0
234,78.0
235,78.0
236,78.0
237,78.0
238,78.0
239,78.0
240,78.0
241,78.0
242,78.0
243,77.0
244,77.0
245,77.0
246,77.0
247,80.0
248,80.0
249,80.0
250,80.0
251,78.0
252,78.0
253,79.0
254,79.0
255,79.0
256,79.0
257,79.0
258,79.0
259,77.0
260,77.0
261,80.0
262,80.0
263,80.0
264,80.0
265,80.0
266,79.0
267,79.0
268,78.0
269,76.0
270,76.0
271,76.0
272,76.0
273,76.0
274,76.0
275,76.0
276,75.0
277,76.0
278,76.0
279,76.0
280,76.0
281,76.0
282,76.0
283,76.0
284,78.0
285,78.0
286,78.0
287,77.0
288,77.0
289,75.0
290,75.0
291,75.0
292,75.0
293,80.0
294,80.0
295,80.0
296,80.0
297,77.0
298,77.0
299,77.0
300,77.0
301,80.0
302,80.0
303,80.0
304,80.0
305,80.0
306,80.0
307,75.0
308,75.0
309,75.0
310,76.0
311,76.0
312,76.0
313,76.0
314,76.0
315,76.0
316,76.0
317,76.0
318,74.0
319,74.0
320,74.0
321,74.0
322,74.0
323,75.0
324,75.0
325,73.0
326,73.0
327,73.0
328,79.0
329,74.0
330,74.0
331,74.0
332,78.0
333,78.0
334,78.0
335,75.0
336,75.0
337,75.0
338,75.0
339,75.0
340,75.0
341,75.0
342,78.0
343,75.0
344,75.0
345,75.0
346,76.0
347,76.0
348,74.0
349,76.0
350,76.0
351,76.0
352,75.0
353,75.0
354,75.0
355,73.0
356,72.0
357,75.0
358,73.0
359,73.0
360,73.0
361,73.0
362,73.0
363,75.0
364,75.0
365,74.0
366,76.0
367,73.0
368,73.0
369,73.0
370,73.0
371,72.0
372,72.0
373,72.0
374,73.0
375,73.0
376,74.0
377,74.0
378,71.0
379,71.0
380,71.0
381,71.0
382,71.0
383,71.0
384,71.0
385,71.0
386,71.0
387,71.0
388,71.0
389,71.0
390,71.0
391,71.0
392,71.0
393,71.0
394,71.0
395,71.0
396,71.0
397,71.0
398,71.0
399,71.0
400,71.0
401,71.0
402,71.0
403,70.0
404,70.0
405,70.0
406,70.0
407,70.0
408,70.0
409,70.0
410,70.0
411,70.0
412,70.0
413,70.0
414,70.0
415,69.0
416,69.0
417,69.0
418,67.0
419,67.0
420,67.0
421,67.0
422,67.0
423,67.0
424,67.0
425,67.0
426,67.0
427,67.0
428,67.0
429,67.0
430,68.0
431,68.0
432,68.0
433,68.0
434,68.0
435,68.0
436,68.0
437,67.0
438,67.0
439,70.0
440,70.0
441,70.0
442,68.0
443,68.0
444,66.0
445,68.0
446,68.0
447,67.0
448,67.0
449,66.0
450,66.0
451,66.0
452,66.0
453,65.0
454,65.0
455,65.0
456,65.0
457,65.0
458,65.0
459,65.0
460,65.0
461,65.0
462,65.0
463,65.0
464,65.0
465,65.0
466,65.0
467,65.0
468,65.0
469,65.0
470,65.0
471,65.0
472,65.0
473,65.0
474,65.0
475,64.0
476,64.0
477,64.0
478,64.0
479,64.0
480,64.0
481,64.0
482,63.0
483,63.0
484,62.0
485,62.0
486,62.0
487,62.0
488,62.0
489,62.0
490,62.0
491,62.0
492,62.0
493,62.0
494,62.0
495,62.0
496,62.0
497,61.0
498,61.0
499,61.0
500,61.0
501,61.0
502,61.0
503,61.0
504,61.0
505,61.0
506,61.0
507,61.0
508,61.0
509,61.0
510,61.0
511,61.0
512,61.0
513,61.0
514,61.0
515,61.0
516,61.0
517,61.0
518,61.0
519,62.0
520,62.0
521,62.0
522,62.0
523,62.0
524,62.0
525,62.0
526,59.0
527,59.0
528,59.0
529,59.0
530,59.0
531,59.0
532,59.0
533,59.0
534,59.0
535,59.0
536,58.0
537,58.0
538,58.0
539,58.0
540,58.0
541,58.0
542,58.0
543,58.0
544,58.0
545,58.0
546,58.0
547,58.0
548,58.0
549,58.0
550,58.0
551,58.0
552,58.0
553,58.0
554,58.0
555,58.0
556,59.0
557,59.0
558,58.0
559,58.0
560,58.0
561,58.0
562,58.0
563,58.0
564,58.0
565,58.0
566,58.0
567,58.0
568,58.0
569,58.0
570,58.0
571,58.0
572,58.0
573,58.0
574,58.0
575,58.0
576,58.0
577,58.0
578,58.0
579,58.0
580,56.0
581,56.0
582,56.0
583,56.0
584,56.0
585,56.0
586,56.0
587,57.0
588,57.0
589,57.0
590,57.0
591,57.0
592,57.0
593,56.0
594,56.0
595,56.0
596,56.0
597,56.0
598,56.0
599,56.0
600,56.0
601,56.0
602,55.0
603,55.0
604,55.0
605,55.0
606,55.0
607,55.0
608,55.0
609,55.0
610,55.0
611,55.0
612,55.0
613,55.0
614,55.0
615,55.0
616,55.0
617,55.0
618,55.0
