,0
0,154.0
1,177.0
2,168.0
3,155.0
4,147.0
5,159.0
6,155.0
7,155.0
8,156.0
9,154.0
10,154.0
11,135.0
12,136.0
13,124.0
14,124.0
15,124.0
16,124.0
17,124.0
18,122.0
19,121.0
20,128.0
21,125.0
22,125.0
23,125.0
24,125.0
25,125.0
26,125.0
27,125.0
28,125.0
29,125.0
30,132.0
31,126.0
32,126.0
33,126.0
34,132.0
35,132.0
36,132.0
37,132.0
38,109.0
39,109.0
40,133.0
41,107.0
42,115.0
43,115.0
44,115.0
45,116.0
46,113.0
47,107.0
48,107.0
49,106.0
50,106.0
51,106.0
52,106.0
53,106.0
54,106.0
55,98.0
56,100.0
57,100.0
58,100.0
59,103.0
60,101.0
61,94.0
62,97.0
63,100.0
64,100.0
65,99.0
66,99.0
67,98.0
68,94.0
69,93.0
70,93.0
71,87.0
72,79.0
73,79.0
74,79.0
75,79.0
76,79.0
77,77.0
78,77.0
79,77.0
80,77.0
81,74.0
82,74.0
83,74.0
84,74.0
85,69.0
86,69.0
87,69.0
88,70.0
89,70.0
90,70.0
91,70.0
92,69.0
93,64.0
94,64.0
95,64.0
96,64.0
97,64.0
98,64.0
99,64.0
100,64.0
101,64.0
102,64.0
103,63.0
104,63.0
105,63.0
106,62.0
107,62.0
108,61.0
109,61.0
110,61.0
111,60.0
112,60.0
113,60.0
114,56.0
115,56.0
116,55.0
117,55.0
118,55.0
119,55.0
120,55.0
121,55.0
122,55.0
123,55.0
124,54.0
125,54.0
126,54.0
127,54.0
128,53.0
129,53.0
130,51.0
131,51.0
132,51.0
133,51.0
134,51.0
135,50.0
136,50.0
137,50.0
138,50.0
139,50.0
140,50.0
141,50.0
142,50.0
143,48.0
144,48.0
145,47.0
146,47.0
147,47.0
148,47.0
149,47.0
150,47.0
151,47.0
152,45.0
153,45.0
154,45.0
155,45.0
156,42.0
157,42.0
158,42.0
159,42.0
160,42.0
161,42.0
162,42.0
163,42.0
164,42.0
165,42.0
166,42.0
167,42.0
168,40.0
169,40.0
170,40.0
171,40.0
172,40.0
173,40.0
174,40.0
175,40.0
176,39.0
177,39.0
178,38.0
179,38.0
180,40.0
181,37.0
182,37.0
183,37.0
184,37.0
185,37.0
186,37.0
187,37.0
188,37.0
189,37.0
190,37.0
191,37.0
192,37.0
193,36.0
194,36.0
195,36.0
196,36.0
197,35.0
198,35.0
199,35.0
200,35.0
201,35.0
202,35.0
203,35.0
204,34.0
205,34.0
206,34.0
207,34.0
208,34.0
209,34.0
210,33.0
211,33.0
212,33.0
213,33.0
214,33.0
215,32.0
216,35.0
217,35.0
218,34.0
219,34.0
220,34.0
221,34.0
222,34.0
223,34.0
224,34.0
225,34.0
226,34.0
227,34.0
228,34.0
229,34.0
230,34.0
231,34.0
232,34.0
233,34.0
234,34.0
235,33.0
236,33.0
237,33.0
238,33.0
239,33.0
240,33.0
241,33.0
242,33.0
243,33.0
244,33.0
245,33.0
246,33.0
247,33.0
248,33.0
249,31.0
250,31.0
251,31.0
252,31.0
253,30.0
254,30.0
255,30.0
256,30.0
257,30.0
258,30.0
259,30.0
260,30.0
261,29.0
262,29.0
263,29.0
264,29.0
265,29.0
266,29.0
267,29.0
268,29.0
269,28.0
270,27.0
271,27.0
272,27.0
273,27.0
274,27.0
275,27.0
276,27.0
277,26.0
278,26.0
279,26.0
280,26.0
281,25.0
282,25.0
283,25.0
284,25.0
285,25.0
286,25.0
287,25.0
288,25.0
289,25.0
290,25.0
291,25.0
292,25.0
293,25.0
294,25.0
295,25.0
296,25.0
297,23.0
298,23.0
299,23.0
300,23.0
301,23.0
302,23.0
303,23.0
304,23.0
305,22.0
306,22.0
307,22.0
308,22.0
309,21.0
310,20.0
311,20.0
312,20.0
313,20.0
314,20.0
315,20.0
316,20.0
317,20.0
318,20.0
319,20.0
320,20.0
321,20.0
322,20.0
323,20.0
324,19.0
325,19.0
326,19.0
327,19.0
328,19.0
329,19.0
330,19.0
331,19.0
332,19.0
333,18.0
334,18.0
335,18.0
336,18.0
337,18.0
338,18.0
339,18.0
340,18.0
341,18.0
342,18.0
343,18.0
344,18.0
345,18.0
346,18.0
347,18.0
348,18.0
349,18.0
350,18.0
351,18.0
352,18.0
353,17.0
354,17.0
355,17.0
356,17.0
357,17.0
358,17.0
359,17.0
360,17.0
361,17.0
362,17.0
363,17.0
364,17.0
365,15.0
366,15.0
367,15.0
368,15.0
369,15.0
370,15.0
371,15.0
372,15.0
373,15.0
374,15.0
375,15.0
376,15.0
377,15.0
378,15.0
379,15.0
380,15.0
381,15.0
382,15.0
383,15.0
384,15.0
385,15.0
386,15.0
387,15.0
388,15.0
389,14.0
390,14.0
391,14.0
392,14.0
393,14.0
394,14.0
395,14.0
396,14.0
397,14.0
398,14.0
399,14.0
400,14.0
401,14.0
402,14.0
403,14.0
404,13.0
405,13.0
406,13.0
407,13.0
408,13.0
409,13.0
410,13.0
411,13.0
412,13.0
413,13.0
414,13.0
415,13.0
416,13.0
