,0
0,88.0
1,88.0
2,85.0
3,85.0
4,85.0
5,85.0
6,78.0
7,78.0
8,78.0
9,78.0
10,78.0
11,82.0
12,83.0
13,81.0
14,81.0
15,78.0
16,68.0
17,74.0
18,71.0
19,71.0
20,63.0
21,66.0
22,62.0
23,68.0
24,68.0
25,66.0
26,66.0
27,51.0
28,51.0
29,51.0
30,55.0
31,62.0
32,59.0
33,59.0
34,54.0
35,52.0
36,52.0
37,51.0
38,49.0
39,49.0
40,49.0
41,48.0
42,48.0
43,43.0
44,43.0
45,43.0
46,42.0
47,40.0
48,40.0
49,40.0
50,40.0
51,38.0
52,38.0
53,37.0
54,34.0
55,34.0
56,34.0
57,34.0
58,32.0
59,32.0
60,32.0
61,31.0
62,28.0
63,28.0
64,28.0
65,27.0
66,27.0
67,27.0
68,27.0
69,27.0
70,27.0
71,27.0
72,26.0
73,25.0
74,25.0
75,24.0
76,24.0
77,24.0
78,24.0
79,24.0
80,24.0
81,24.0
82,24.0
83,24.0
84,22.0
85,22.0
86,22.0
87,22.0
88,21.0
89,21.0
90,21.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,20.0
97,20.0
98,20.0
99,20.0
100,20.0
101,20.0
102,20.0
103,20.0
104,20.0
105,20.0
106,19.0
107,19.0
108,19.0
109,17.0
110,17.0
111,17.0
112,17.0
113,16.0
114,15.0
115,15.0
116,15.0
117,15.0
118,15.0
119,15.0
120,15.0
121,15.0
122,15.0
123,13.0
124,13.0
125,13.0
126,13.0
127,13.0
128,13.0
129,13.0
130,13.0
131,12.0
132,12.0
133,12.0
134,12.0
135,12.0
136,12.0
137,12.0
138,12.0
139,12.0
140,12.0
141,12.0
142,12.0
143,12.0
144,12.0
145,12.0
146,12.0
147,12.0
148,12.0
149,11.0
150,11.0
151,11.0
152,11.0
153,11.0
154,11.0
155,11.0
156,10.0
157,10.0
158,10.0
159,10.0
160,10.0
161,10.0
162,9.0
163,9.0
164,9.0
165,9.0
166,8.0
167,8.0
168,8.0
169,8.0
170,8.0
171,8.0
172,8.0
173,8.0
174,8.0
175,8.0
176,8.0
177,8.0
178,8.0
179,8.0
180,8.0
181,8.0
182,8.0
183,8.0
184,8.0
185,7.0
186,7.0
187,7.0
188,7.0
189,7.0
190,6.0
191,6.0
192,6.0
193,6.0
194,6.0
195,6.0
196,6.0
197,6.0
198,6.0
199,6.0
200,6.0
201,6.0
202,6.0
203,6.0
204,6.0
205,6.0
206,6.0
207,6.0
208,6.0
209,6.0
210,6.0
211,6.0
212,5.0
213,5.0
214,5.0
215,5.0
216,4.0
217,4.0
218,4.0
219,4.0
220,4.0
221,4.0
222,4.0
223,4.0
224,4.0
225,4.0
226,4.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,4.0
233,4.0
234,4.0
235,4.0
236,4.0
237,4.0
238,4.0
239,4.0
240,4.0
241,4.0
242,4.0
243,4.0
244,4.0
245,4.0
246,4.0
247,4.0
248,4.0
249,4.0
250,4.0
251,4.0
252,4.0
253,4.0
254,4.0
255,4.0
256,4.0
257,4.0
258,4.0
259,4.0
260,4.0
261,4.0
262,3.0
263,3.0
264,3.0
