,0
0,70.2225134
1,70.2225134
2,60.87856485
3,60.87856485
4,60.87856485
5,58.3232948
6,49.2686236
7,49.2686236
8,45.961829
9,45.961829
10,42.4473914
11,40.3668564
12,40.3668564
13,39.9693301
14,36.015684
15,36.015684
16,36.015684
17,35.64164395
18,35.64164395
19,35.2750703
20,33.7356533
21,32.4895854
22,32.4895854
23,32.4772692
24,32.4772692
25,32.2290543
26,32.2290543
27,28.96677695
28,28.96677695
29,28.96677695
30,28.96677695
31,28.96677695
32,28.96677695
33,28.96677695
34,28.4448632
35,26.95986535
36,26.6407625
37,25.76226375
38,25.76226375
39,25.76226375
40,25.5019041
41,25.5019041
42,25.5019041
43,24.0817831
44,24.0817831
45,24.0817831
46,24.0817831
47,23.9784577
48,23.96098905
49,22.7606741
50,22.7606741
51,22.7606741
52,22.7421422
53,21.5841834
54,21.4817905
55,21.4817905
56,21.3392466
57,21.3392466
58,21.3392466
59,21.3392466
60,21.3392466
61,21.3392466
62,21.3392466
63,20.9196617
64,20.58741165
65,20.5708671
66,19.8830982
67,19.8659783
68,19.8659783
69,19.5901008
70,19.5769031
71,19.1960689
72,18.7768748
73,18.7768748
74,18.7768748
75,17.86195895
76,17.86195895
77,17.86195895
78,17.6286666
79,17.37134305
80,17.37134305
81,16.27651835
82,16.27651835
83,15.66144995
84,15.66144995
85,15.66144995
86,15.66144995
87,14.62525635
88,14.62525635
89,14.57471395
90,14.57471395
91,14.57471395
92,14.3103061
93,14.3103061
94,13.82908135
95,13.82908135
96,13.71767025
97,13.67543995
98,13.57561265
99,13.57561265
100,12.52364025
101,12.52364025
102,12.52364025
103,12.52364025
104,12.52364025
105,12.52364025
106,12.52364025
107,12.52364025
108,12.52364025
109,12.52363065
110,12.3869605
111,12.26669025
112,12.26668905
113,12.2552995
114,12.0060443
115,11.8837783
116,11.8837783
117,11.732713
118,11.10156605
119,11.10156605
120,11.10156605
121,11.04970995
122,11.04970995
123,11.04970995
124,11.0076625
125,10.98633735
126,10.98633735
127,10.88478865
128,10.77485855
129,10.66529285
130,10.6456382
131,10.5692367
132,10.5692367
133,10.56923645
134,10.5574186
135,10.5574186
136,10.5132333
137,10.5132333
138,10.5132333
139,10.5132333
140,10.5132333
141,10.5132291
142,10.5064104
143,10.5064104
144,10.5064104
145,10.42918035
146,10.42918035
147,10.42918035
148,10.42918035
149,10.42918035
150,10.40054845
151,10.15691125
152,10.15691125
153,10.15691125
154,10.15691125
155,9.9411642
156,9.9411642
157,9.9411642
158,9.7043336
159,9.7043336
160,9.6917796
161,9.6917796
162,9.6917796
163,9.6917796
164,9.6917796
165,9.6917796
166,9.6077218
167,9.47917195
168,9.47917195
169,9.2426047
170,9.02507545
171,9.02507545
172,9.02507545
173,9.02507545
174,8.9649093
175,8.9649093
176,8.9649093
177,8.9649093
178,8.7781895
179,8.7781895
180,8.7781895
181,8.7781895
182,8.7781895
183,8.7781895
184,8.7781895
185,8.7781895
186,8.7781895
187,8.7781863
188,8.7781842
189,8.7781842
190,8.7209273
191,8.5471846
192,8.5471846
193,8.5471846
194,8.54715645
195,8.54715645
196,8.42633505
197,8.42633505
198,7.9716743
199,7.9716743
200,7.9716743
201,7.9716743
202,7.97165275
203,7.97165275
204,7.97165275
205,7.97165275
206,7.8870042
207,7.8870042
208,7.8870042
209,7.8258888
210,7.8258888
211,7.8258888
212,7.7739071
213,7.7739071
214,7.74121375
215,7.74121375
216,7.74121375
217,7.74121375
218,7.5927429
219,7.5927429
220,7.5927429
221,7.59271865
222,7.55870835
223,7.55870835
224,7.48176255
225,7.48176255
226,7.29416565
227,7.29416565
228,7.29416565
229,7.29416565
230,7.2540274
231,7.16578995
232,6.94959145
233,6.94959145
234,6.94956775
235,6.94956775
236,6.94956775
237,6.94956775
238,6.8682706
239,6.8682706
240,6.8682706
241,6.8433564
242,6.8433564
243,6.8433564
244,6.81104995
245,6.81104995
246,6.81104995
247,6.81104535
248,6.81104535
249,6.80591405
250,6.6971333
251,6.6971333
252,6.6971333
253,6.6971333
254,6.6971333
255,6.6971333
256,6.6971333
257,6.6971333
258,6.6971333
259,6.69711505
260,6.69711505
261,6.65950335
262,6.65950335
263,6.65950335
264,6.65950335
265,6.65950335
266,6.65950335
267,6.65950335
268,6.65949805
269,6.65949805
270,6.65949805
271,6.65288695
272,6.65288695
273,6.65288695
274,6.65288695
275,6.65288695
276,6.60829995
277,6.56500395
278,6.51250125
279,6.51250125
280,6.4943949
281,6.3702479
282,6.3702479
283,6.3702479
284,6.3702479
285,6.3644879
286,6.15616635
287,6.15616635
288,6.15616635
289,6.15616635
290,6.15616635
291,6.15616635
292,6.08042875
293,6.08042875
294,6.08042875
295,6.08042875
296,6.08042875
297,6.0514694
298,6.0514694
299,6.0514694
300,6.0514694
301,6.0514595
302,6.0514595
303,6.0514595
304,6.0514595
305,5.94174715
306,5.94174715
307,5.94174715
308,5.57447755
309,5.57447755
310,5.57447755
311,5.57447755
312,5.5744697
313,5.5744697
