,0
0,0.4557526
1,0.3492087
2,0.3492087
3,0.3024721
4,0.2869726
5,0.2869726
6,0.2439856
7,0.1270792
8,0.1210716
9,0.121033
10,0.0187503
11,0.0187503
12,0.0187283
13,0.0187086
14,0.0186937
15,0.0186937
16,0.0186937
17,0.0186617
18,0.0186436
19,0.0186334
20,0.0186128
21,0.018606
22,0.018606
23,0.0185329
24,0.0185329
25,0.0184686
26,0.0184573
27,0.0184327
28,0.0183877
29,0.0183877
30,0.0183877
31,0.0183568
32,0.0182605
33,0.0182605
34,0.0182258
35,0.0182258
36,0.01821
37,0.01821
38,0.0182081
39,0.0181658
40,0.0181641
41,0.0180818
42,0.0180818
43,0.01806
44,0.0180478
45,0.0180478
46,0.0180178
47,0.0179957
48,0.0179957
49,0.0179821
50,0.0179473
51,0.0179141
52,0.0179141
53,0.0178886
54,0.0178859
55,0.0178166
56,0.0177969
57,0.0177707
58,0.0177431
59,0.0177309
60,0.0176859
61,0.0176859
62,0.0176718
63,0.0176477
64,0.0176298
65,0.0176026
66,0.0176026
67,0.0176026
68,0.0175822
69,0.0175822
70,0.0175316
71,0.0175316
72,0.0175132
73,0.0174599
74,0.0174417
75,0.0174417
76,0.0174287
77,0.0174287
78,0.0173895
79,0.0173895
80,0.0173825
81,0.0173825
82,0.0173394
83,0.0173329
84,0.0172899
85,0.0172899
86,0.0172348
87,0.0172348
88,0.0172348
89,0.0172311
90,0.0171879
91,0.0171879
92,0.0171879
93,0.0171323
94,0.0171323
95,0.0171225
96,0.0171163
97,0.0171063
98,0.0170835
99,0.0170835
100,0.0170576
101,0.0170576
102,0.0170576
103,0.0170007
104,0.0170007
105,0.0169649
106,0.0169615
107,0.0169615
108,0.0169615
109,0.0169615
110,0.0169615
111,0.0169607
112,0.0169481
113,0.0169423
114,0.0169423
115,0.0169352
116,0.0169352
117,0.0169334
118,0.0169282
119,0.0168912
120,0.0168912
121,0.0168912
122,0.0168725
123,0.0168543
124,0.0168447
125,0.016832
126,0.016832
127,0.016832
128,0.0168152
129,0.0168089
130,0.0167896
131,0.0167896
132,0.0167768
133,0.0167547
134,0.0167368
135,0.016732
136,0.0167254
137,0.0167254
138,0.0166774
139,0.0166774
140,0.0166774
141,0.0166774
142,0.0166774
143,0.0166536
144,0.0166536
145,0.0166422
146,0.016633
147,0.0166268
148,0.0166203
149,0.0165945
150,0.0165863
151,0.0165863
152,0.0165808
153,0.0165799
154,0.0165598
155,0.0165598
156,0.0165598
157,0.0165525
158,0.0165525
159,0.0165525
160,0.0165482
161,0.0165482
162,0.0165302
163,0.0165302
164,0.0165242
165,0.0165042
166,0.0164973
167,0.0164841
168,0.0164841
169,0.0164766
170,0.0164762
171,0.0164724
172,0.0164724
173,0.0164477
174,0.0164477
175,0.0164477
176,0.0164456
177,0.0164367
178,0.0164367
179,0.0164367
180,0.0164357
181,0.0164118
182,0.0164118
183,0.0164118
184,0.0164067
185,0.0164067
186,0.0164067
187,0.0164013
188,0.0163804
189,0.0163804
190,0.0163804
191,0.0163804
192,0.0163622
193,0.0163622
194,0.0163622
195,0.0163512
196,0.0163512
197,0.0163405
198,0.0163395
199,0.0163003
200,0.0163003
201,0.0162856
202,0.0162856
203,0.0162706
204,0.0162706
205,0.0162706
206,0.0162634
207,0.0162634
208,0.0162634
209,0.0162634
210,0.0162516
211,0.0162516
212,0.0162516
213,0.0162516
214,0.0162406
215,0.0162282
216,0.0162282
217,0.0162282
218,0.0162282
219,0.0162282
220,0.016228
221,0.016228
222,0.0162228
223,0.0162016
224,0.0162016
225,0.0162016
226,0.0162016
227,0.0162016
228,0.0162016
229,0.0162016
230,0.0161909
231,0.0161909
232,0.0161886
233,0.0161852
234,0.0161741
235,0.0161741
236,0.0161709
237,0.0161434
238,0.0161434
239,0.0161434
240,0.0161434
241,0.0161434
242,0.016132
243,0.016132
244,0.0161296
245,0.0161245
246,0.0161245
247,0.0160854
248,0.0160854
249,0.0160803
250,0.0160803
251,0.0160803
252,0.016048
253,0.016048
254,0.016048
255,0.016048
256,0.0160445
257,0.0160445
258,0.0160445
259,0.0160442
260,0.0160442
261,0.0160249
262,0.0160249
263,0.0160249
264,0.0160249
265,0.0160249
266,0.0160237
267,0.0160159
268,0.0160159
269,0.0160147
270,0.0160102
271,0.0160102
272,0.0160102
273,0.0160074
274,0.0160074
275,0.0159983
276,0.0159983
277,0.0159983
278,0.0159983
279,0.0159943
280,0.0159943
281,0.0159925
282,0.0159925
283,0.0159925
284,0.0159925
285,0.0159716
286,0.0159716
287,0.0159716
288,0.0159716
289,0.0159716
290,0.0159656
291,0.0159656
292,0.0159577
293,0.0159475
294,0.0159379
295,0.0159379
296,0.0159305
297,0.0159305
298,0.0159305
299,0.0159229
300,0.0159229
301,0.0159229
302,0.0159229
303,0.0159229
304,0.0159197
305,0.0159197
306,0.0159197
307,0.0159197
308,0.0159197
309,0.0159165
310,0.0159165
311,0.0159165
312,0.0159165
313,0.0159165
314,0.0159165
315,0.0159165
316,0.0158959
317,0.0158959
318,0.0158936
319,0.0158936
320,0.0158846
