,0
0,30.2811645714
1,30.2811645714
2,30.2811645714
3,30.2811645714
4,30.2811645714
5,30.2811645714
6,30.2811645714
7,30.2811645714
8,29.6519317714
9,23.6652742286
10,23.6652742286
11,23.6652742286
12,23.6652742286
13,23.5298922286
14,22.2893836571
15,20.7440410857
16,19.5072357143
17,17.9728697143
18,14.6628833714
19,14.6628833714
20,14.6628833714
21,14.6628833714
22,14.5626978857
23,14.5626978857
24,13.2419212571
25,13.2419212571
26,13.2419212571
27,11.0940982857
28,11.0940982857
29,10.9272504
30,10.9272504
31,10.8158338857
32,10.7268750286
33,10.2515983429
34,9.9361519429
35,9.9204022286
36,9.8682123429
37,9.3524173143
38,8.5778753143
39,8.5778654286
40,8.1909637143
41,7.8467686857
42,7.8467686857
43,7.6510985143
44,6.6223535429
45,6.4992514857
46,6.4210844
47,6.1086602286
48,6.1086602286
49,6.1086602286
50,5.9894595429
51,5.9834515429
52,5.5593496571
53,5.5593496571
54,5.5593496571
55,5.5062978857
56,5.4406314857
57,5.3573088
58,5.3573088
59,5.2440550286
60,5.1993053714
61,4.9067764
62,4.9067764
63,4.8585662857
64,4.7525341143
65,4.7525341143
66,4.6228121143
67,4.6228121143
68,3.8105580571
69,3.7559948
70,3.530118
71,3.530118
72,3.4297997143
73,3.4162064571
74,3.4162064571
75,3.4162064571
76,3.4162064571
77,3.4162064571
78,3.4161918857
79,3.2465972571
80,3.2465953143
81,3.1242240571
82,3.1242240571
83,3.0177824571
84,3.0177742857
85,3.0123563429
86,2.9096439429
87,2.9096439429
88,2.7962286857
89,2.7962286857
90,2.7962286857
91,2.7962286857
92,2.6846578286
93,2.6846578286
94,2.6846578286
95,2.6846578286
96,2.6639101143
97,2.5621655429
98,2.5621655429
99,2.5621655429
100,2.5621655429
101,2.5621655429
102,2.5621655429
103,2.5621655429
104,2.4540537714
105,2.4540537714
106,2.4513187429
107,2.4513187429
108,2.4513187429
109,2.2905424571
110,2.2895854286
111,2.2152006857
112,2.2152006857
113,2.1787445143
114,2.1787445143
115,2.1787445143
116,2.1787445143
117,2.1787445143
118,2.0316933143
119,2.0316933143
120,2.0316933143
121,2.0316933143
122,2.0316628571
123,2.0316628571
124,1.8822408571
125,1.8822408571
126,1.7931358286
127,1.7931358286
128,1.7675622286
129,1.7675537143
130,1.7675537143
131,1.7675537143
132,1.7675537143
133,1.5291236
134,1.5291236
135,1.5291236
136,1.5291236
137,1.5291236
138,1.5291217714
139,1.5290562857
140,1.5290562857
141,1.5290562857
142,1.5290562857
143,1.5290562857
144,1.5290562857
145,1.2270398857
146,1.2270398857
147,1.0533015429
148,1.0532961143
149,1.0532809714
150,1.0532809714
151,1.0532809714
152,0.8942746857
153,0.8942746857
154,0.8942746857
155,0.8942746857
156,0.8942746857
157,0.8942746857
158,0.8942590286
159,0.8942590286
160,0.8942590286
161,0.8942585143
162,0.8942430857
163,0.8888093143
164,0.8888093143
165,0.8888093143
166,0.8888093143
167,0.8888093143
168,0.8888093143
169,0.8888020571
170,0.8888009714
171,0.8887828
172,0.8460607429
173,0.8460607429
174,0.7383353143
175,0.7383353143
176,0.7383353143
177,0.7383353143
178,0.7383353143
179,0.7214369714
180,0.7214369714
181,0.63596
182,0.6359355429
183,0.6359184
184,0.6359184
185,0.6359166857
186,0.6359166857
187,0.6358088
188,0.6358088
189,0.6358088
190,0.6358088
191,0.6358088
192,0.6256018857
193,0.6256018857
194,0.6256018857
195,0.6256018857
196,0.6255908571
197,0.6255908571
198,0.6255908571
199,0.6255908571
200,0.6255908571
201,0.6255908571
202,0.6255660571
203,0.6204906857
204,0.6204906857
205,0.6204906857
206,0.6204804571
207,0.6204804571
208,0.6204804571
209,0.6204058286
210,0.6204058286
211,0.6204058286
212,0.6203674857
213,0.6203674857
214,0.6203674857
215,0.6203674857
216,0.6203656571
