,0
0,272.2124145
1,252.2126314
2,250.9469408
3,249.1398246
4,239.8451542
5,239.8451542
6,237.0945697
7,213.2340668
8,213.2340668
9,206.1741382
10,197.3686947
11,197.3686947
12,194.8213578
13,189.1790772
14,173.1371006
15,173.0688805
16,173.0688805
17,172.0975975
18,162.2930358
19,162.2930358
20,155.4434765
21,155.4434765
22,155.4434765
23,143.7539633
24,139.8561883
25,136.7084917
26,136.0722369
27,136.0722369
28,135.8871448
29,130.3284208
30,122.5764735
31,122.5764735
32,122.5764735
33,122.5610698
34,117.8281702
35,113.1169073
36,113.1169073
37,113.1169073
38,113.1169073
39,113.1169073
40,111.5353101
41,110.9655843
42,110.9655843
43,108.9753687
44,106.428081
45,106.428081
46,106.428081
47,106.428081
48,106.428081
49,106.428081
50,103.6342224
51,102.061719
52,101.7258702
53,101.3161579
54,100.2849556
55,99.7916814
56,98.8157258
57,98.8157258
58,98.8157258
59,98.6182179
60,98.3800534
61,97.552113
62,97.5521119
63,96.8340698
64,96.8340698
65,94.3644202
66,92.1972178
67,92.1684616
68,90.4784729
69,89.6243698
70,89.6243698
71,89.0016917
72,88.2327966
73,87.5566459
74,86.8322279
75,86.8322183
76,85.4280103
77,84.3257164
78,81.8869825
79,81.8869825
80,81.886971
81,81.5753866
82,81.5753866
83,80.8968218
84,80.8968218
85,79.8260261
86,78.3774042
87,78.3774042
88,78.3774042
89,77.9893297
90,77.9841758
91,77.4060231
92,77.4060231
93,77.4060231
94,77.4060231
95,76.5537128
96,76.5537012
97,75.8871734
98,75.8871734
99,75.5020143
100,75.3216424
101,75.3216424
102,75.3216424
103,75.09298
104,75.09298
105,74.7706566
106,74.6279728
107,74.2664308
108,73.1142412
109,73.1142412
110,73.1142412
111,73.1142412
112,71.2974175
113,71.2974175
114,71.2974175
115,71.2916581
116,68.9308304
117,68.9308304
118,68.9191057
119,68.9191057
120,68.9191057
121,68.9191057
122,68.9191031
123,68.8887389
124,68.605668
125,68.2298463
126,67.714773
127,66.8020115
128,66.8020115
129,66.8020115
130,66.8020115
131,66.8019686
132,66.8019686
133,66.334919
134,66.0319504
135,66.0319504
136,66.0319504
137,66.0274686
138,64.9208589
139,64.600313
140,64.599673
141,64.599673
142,64.3955162
143,64.3955162
144,64.3955162
145,64.3955162
146,64.2879882
147,64.2569527
148,64.1570017
