,0
0,159.0
1,173.0
2,158.0
3,159.0
4,156.0
5,153.0
6,152.0
7,148.0
8,148.0
9,148.0
10,148.0
11,148.0
12,149.0
13,147.0
14,147.0
15,139.0
16,137.0
17,137.0
18,128.0
19,136.0
20,136.0
21,131.0
22,124.0
23,124.0
24,125.0
25,130.0
26,123.0
27,131.0
28,131.0
29,131.0
30,131.0
31,116.0
32,116.0
33,114.0
34,130.0
35,130.0
36,130.0
37,117.0
38,109.0
39,109.0
40,109.0
41,109.0
42,109.0
43,109.0
44,108.0
45,110.0
46,110.0
47,110.0
48,108.0
49,108.0
50,108.0
51,108.0
52,108.0
53,105.0
54,108.0
55,105.0
56,105.0
57,105.0
58,106.0
59,105.0
60,105.0
61,105.0
62,105.0
63,105.0
64,102.0
65,102.0
66,102.0
67,102.0
68,102.0
69,96.0
70,96.0
71,96.0
72,96.0
73,95.0
74,95.0
75,94.0
76,94.0
77,97.0
78,103.0
79,96.0
80,102.0
81,102.0
82,97.0
83,96.0
84,96.0
85,94.0
86,94.0
87,94.0
88,94.0
89,93.0
90,93.0
91,93.0
92,93.0
93,93.0
94,89.0
95,89.0
96,92.0
97,92.0
98,88.0
99,88.0
100,88.0
101,93.0
102,87.0
103,88.0
104,88.0
105,88.0
106,88.0
107,87.0
108,87.0
109,87.0
110,87.0
111,87.0
112,84.0
113,84.0
114,88.0
115,88.0
116,88.0
117,86.0
118,87.0
119,87.0
120,89.0
121,85.0
122,85.0
123,85.0
124,85.0
125,85.0
126,85.0
127,85.0
128,85.0
129,84.0
130,84.0
131,84.0
132,84.0
133,84.0
134,83.0
135,83.0
136,83.0
137,83.0
138,83.0
139,81.0
140,81.0
141,81.0
142,81.0
143,81.0
144,81.0
145,81.0
146,81.0
147,81.0
148,83.0
149,83.0
150,80.0
151,82.0
152,81.0
153,81.0
154,81.0
155,82.0
156,82.0
157,80.0
158,80.0
159,80.0
160,80.0
161,80.0
162,80.0
163,80.0
164,80.0
165,80.0
166,80.0
167,80.0
168,80.0
169,80.0
170,81.0
171,81.0
172,81.0
173,81.0
174,81.0
175,80.0
176,80.0
177,80.0
178,81.0
179,78.0
180,78.0
181,78.0
182,78.0
183,79.0
184,77.0
185,76.0
186,76.0
187,77.0
188,77.0
189,77.0
190,77.0
191,76.0
192,76.0
193,76.0
194,76.0
195,75.0
196,75.0
197,75.0
198,75.0
199,73.0
200,73.0
201,73.0
202,72.0
203,72.0
204,72.0
205,72.0
206,72.0
207,72.0
208,72.0
209,72.0
210,69.0
211,69.0
212,69.0
213,69.0
214,76.0
215,76.0
216,76.0
217,76.0
218,76.0
219,76.0
220,75.0
221,73.0
222,73.0
223,73.0
224,73.0
225,71.0
226,71.0
227,71.0
228,71.0
229,71.0
230,71.0
231,71.0
232,70.0
233,70.0
234,70.0
235,70.0
236,70.0
237,74.0
238,74.0
239,72.0
240,72.0
241,72.0
242,70.0
243,69.0
244,69.0
245,68.0
246,68.0
247,69.0
248,69.0
249,67.0
250,67.0
251,69.0
252,69.0
253,69.0
254,69.0
255,69.0
256,69.0
257,69.0
258,69.0
259,69.0
260,69.0
261,69.0
262,69.0
263,69.0
264,69.0
265,69.0
266,68.0
267,68.0
268,68.0
269,67.0
270,67.0
271,67.0
272,67.0
273,67.0
274,67.0
275,69.0
276,69.0
277,69.0
278,69.0
279,69.0
280,69.0
281,67.0
282,65.0
283,66.0
284,66.0
285,66.0
286,67.0
287,67.0
288,67.0
289,67.0
290,67.0
291,67.0
292,67.0
293,66.0
294,66.0
295,65.0
296,65.0
297,65.0
298,65.0
299,65.0
300,65.0
301,65.0
302,65.0
303,66.0
304,66.0
305,66.0
306,65.0
307,65.0
308,65.0
309,65.0
310,65.0
311,65.0
312,64.0
313,64.0
314,64.0
315,63.0
316,63.0
317,63.0
318,63.0
319,63.0
320,63.0
321,63.0
322,63.0
323,63.0
324,63.0
325,63.0
326,63.0
327,63.0
328,62.0
329,62.0
330,62.0
331,62.0
332,62.0
333,63.0
334,63.0
335,62.0
336,60.0
337,60.0
338,60.0
339,60.0
340,60.0
341,59.0
342,64.0
343,64.0
344,64.0
345,63.0
346,61.0
347,61.0
348,61.0
349,61.0
350,61.0
351,61.0
352,61.0
353,61.0
354,60.0
355,60.0
356,60.0
357,60.0
358,60.0
359,60.0
360,60.0
361,60.0
362,60.0
363,60.0
364,60.0
365,60.0
366,60.0
367,60.0
368,60.0
369,60.0
370,60.0
371,60.0
372,60.0
373,60.0
374,60.0
375,60.0
376,59.0
377,59.0
378,57.0
379,57.0
380,57.0
381,57.0
382,56.0
383,56.0
384,56.0
385,55.0
386,55.0
387,55.0
388,55.0
389,55.0
390,54.0
391,54.0
392,54.0
393,54.0
394,54.0
395,54.0
396,53.0
397,53.0
398,52.0
399,52.0
400,52.0
401,52.0
402,52.0
403,52.0
404,52.0
405,52.0
406,51.0
407,51.0
408,51.0
409,51.0
410,51.0
411,53.0
412,53.0
413,53.0
414,53.0
415,53.0
416,53.0
417,53.0
418,52.0
419,52.0
420,52.0
421,52.0
422,52.0
423,52.0
424,52.0
425,52.0
426,52.0
427,52.0
428,52.0
429,52.0
430,52.0
431,52.0
432,52.0
433,52.0
434,52.0
435,52.0
436,52.0
437,52.0
438,52.0
439,52.0
440,52.0
441,52.0
442,52.0
443,52.0
444,52.0
445,52.0
446,52.0
447,52.0
448,52.0
449,52.0
450,51.0
451,51.0
452,51.0
453,51.0
454,50.0
455,50.0
456,50.0
457,50.0
458,50.0
459,50.0
460,54.0
461,53.0
462,53.0
463,51.0
464,51.0
465,51.0
466,51.0
467,50.0
468,50.0
469,50.0
470,48.0
471,48.0
472,48.0
473,47.0
474,47.0
475,47.0
476,47.0
477,47.0
478,47.0
479,47.0
480,47.0
481,47.0
482,47.0
483,47.0
484,47.0
485,47.0
486,46.0
487,46.0
488,46.0
489,46.0
490,47.0
491,47.0
492,47.0
493,47.0
494,47.0
495,47.0
496,47.0
497,47.0
498,47.0
499,47.0
500,47.0
501,47.0
502,47.0
503,47.0
504,47.0
505,47.0
506,47.0
507,47.0
508,47.0
509,47.0
510,47.0
511,47.0
512,47.0
513,46.0
514,46.0
515,46.0
516,46.0
517,46.0
518,46.0
519,46.0
520,46.0
521,46.0
522,46.0
523,46.0
524,46.0
525,46.0
526,46.0
527,46.0
528,46.0
529,46.0
530,46.0
531,46.0
532,46.0
533,46.0
534,46.0
535,46.0
536,46.0
537,46.0
538,46.0
539,46.0
540,46.0
541,46.0
542,46.0
543,46.0
544,46.0
545,46.0
546,46.0
547,46.0
548,46.0
549,46.0
550,46.0
551,46.0
552,46.0
553,46.0
554,46.0
555,46.0
556,46.0
557,46.0
558,46.0
559,46.0
560,46.0
561,46.0
562,46.0
563,46.0
