,0
0,71.0
1,71.0
2,71.0
3,77.0
4,71.0
5,69.0
6,69.0
7,70.0
8,66.0
9,58.0
10,58.0
11,58.0
12,65.0
13,72.0
14,66.0
15,56.0
16,64.0
17,56.0
18,52.0
19,54.0
20,54.0
21,51.0
22,51.0
23,50.0
24,50.0
25,49.0
26,49.0
27,48.0
28,47.0
29,44.0
30,44.0
31,44.0
32,42.0
33,37.0
34,37.0
35,31.0
36,31.0
37,31.0
38,31.0
39,35.0
40,33.0
41,35.0
42,32.0
43,30.0
44,26.0
45,26.0
46,26.0
47,24.0
48,24.0
49,24.0
50,30.0
51,24.0
52,24.0
53,24.0
54,22.0
55,25.0
56,25.0
57,23.0
58,23.0
59,27.0
60,27.0
61,23.0
62,23.0
63,23.0
64,23.0
65,23.0
66,20.0
67,20.0
68,20.0
69,20.0
70,20.0
71,23.0
72,22.0
73,22.0
74,22.0
75,23.0
76,21.0
77,20.0
78,20.0
79,19.0
80,18.0
81,18.0
82,18.0
83,16.0
84,16.0
85,16.0
86,16.0
87,16.0
88,16.0
89,16.0
90,16.0
91,16.0
92,16.0
93,15.0
94,15.0
95,13.0
96,13.0
97,13.0
98,13.0
99,13.0
100,13.0
101,13.0
102,13.0
103,13.0
104,13.0
105,13.0
106,13.0
107,12.0
108,12.0
109,12.0
110,11.0
111,11.0
112,11.0
113,11.0
114,11.0
115,11.0
116,11.0
117,11.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,9.0
128,9.0
129,9.0
130,9.0
131,9.0
132,10.0
133,9.0
134,9.0
135,9.0
136,9.0
137,8.0
138,8.0
139,8.0
140,8.0
141,7.0
142,7.0
143,7.0
144,7.0
145,7.0
146,7.0
147,7.0
148,7.0
149,7.0
150,6.0
151,6.0
152,6.0
153,6.0
154,6.0
155,6.0
156,6.0
157,6.0
158,6.0
159,6.0
160,6.0
161,6.0
162,6.0
163,6.0
164,6.0
165,6.0
166,6.0
167,6.0
168,6.0
169,6.0
170,6.0
171,6.0
172,6.0
173,6.0
174,6.0
175,6.0
176,6.0
177,6.0
178,6.0
179,6.0
180,6.0
181,6.0
182,6.0
183,6.0
184,6.0
185,6.0
186,6.0
187,6.0
188,6.0
189,5.0
190,5.0
191,5.0
192,4.0
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
