,0
0,4.1585444
1,3.0673602
2,3.0673602
3,3.0673602
4,2.6406982
5,1.643888
6,1.5667532
7,1.5667532
8,1.1592316
9,1.1592316
10,1.1592316
11,1.1592316
12,0.3427518
13,0.3427518
14,0.3427518
15,0.3427518
16,0.3427518
17,0.3427454
18,0.177058
19,0.177058
20,0.177058
21,0.12446
22,0.12446
23,0.12446
24,0.12446
25,0.0189542
26,0.0189542
27,0.018952
28,0.0189456
29,0.0189456
30,0.0189456
31,0.018819
32,0.018819
33,0.018803
34,0.018803
35,0.018658
36,0.018658
37,0.018658
38,0.0186364
39,0.0186364
40,0.0186018
41,0.0186018
42,0.0185462
43,0.0185126
44,0.0185126
45,0.0184518
46,0.0183652
47,0.0183652
48,0.0183396
49,0.0183396
50,0.0183396
51,0.018212
52,0.018212
53,0.0182094
54,0.0181458
55,0.0181458
56,0.0181032
57,0.0181002
58,0.0180574
59,0.0180138
60,0.0180138
61,0.0180138
62,0.0180138
63,0.0178614
64,0.0178614
65,0.0178588
66,0.0178588
67,0.0177148
68,0.0177148
69,0.0177148
70,0.0177148
71,0.0177148
72,0.0175992
73,0.0175688
74,0.0175688
75,0.0174806
76,0.0174806
77,0.0174806
78,0.017365
79,0.017326
80,0.0173234
81,0.0172922
82,0.0172742
83,0.0171446
84,0.0171446
85,0.0171446
86,0.0170368
87,0.0170368
88,0.0170244
89,0.0169858
90,0.0169858
91,0.016982
92,0.0168982
93,0.0168982
94,0.0168982
95,0.0168982
96,0.0168982
97,0.016839
98,0.016833
99,0.016833
100,0.016833
101,0.016801
102,0.016801
103,0.016801
104,0.0167914
105,0.0167914
106,0.0167914
107,0.0167652
108,0.016711
109,0.016711
110,0.016711
111,0.016711
112,0.0166888
113,0.0166714
114,0.0166714
115,0.0166648
116,0.0166148
117,0.0166148
118,0.0166008
119,0.0165778
120,0.0165654
121,0.0165654
122,0.0165506
123,0.0165506
124,0.016522
125,0.016522
126,0.016522
127,0.016522
128,0.0165112
129,0.0165104
130,0.0165104
131,0.0164748
132,0.0164748
133,0.0164748
134,0.0164688
135,0.0164688
136,0.0164688
137,0.0164688
138,0.0164622
139,0.0164622
140,0.0164212
141,0.016421
142,0.0164138
143,0.0164138
144,0.0164138
145,0.0164138
146,0.016403
147,0.016399
148,0.0163828
149,0.0163828
150,0.0163828
151,0.0163314
152,0.0163254
153,0.0163254
154,0.0163254
155,0.016291
156,0.016291
157,0.016291
158,0.016291
159,0.016291
160,0.016291
161,0.0162904
162,0.016279
163,0.016279
164,0.016279
165,0.0162414
166,0.0162404
167,0.0162404
168,0.0162318
169,0.0162318
170,0.0162318
171,0.0162318
172,0.016231
173,0.0162128
174,0.0162128
175,0.0162128
176,0.0162052
177,0.016203
178,0.0161376
179,0.0161376
180,0.0161376
181,0.0161376
182,0.0161376
183,0.0161376
184,0.0161374
185,0.0161262
186,0.0161198
187,0.0161176
188,0.0161026
189,0.0160962
190,0.016079
191,0.016079
192,0.016068
193,0.016068
194,0.016068
195,0.016068
196,0.016068
197,0.0160606
198,0.0160606
199,0.0160606
200,0.0160606
201,0.016035
202,0.016035
203,0.0160342
204,0.0160342
205,0.0160198
206,0.0160022
207,0.0160022
208,0.0160022
209,0.0160022
210,0.0160022
211,0.0159964
212,0.0159964
213,0.0159848
214,0.0159848
215,0.0159732
216,0.0159638
217,0.0159638
218,0.0159638
219,0.0159452
220,0.0159452
221,0.0159452
222,0.0159452
223,0.0159452
224,0.0159314
225,0.0159314
226,0.0159276
227,0.015921
228,0.01592
229,0.0159062
230,0.0159062
231,0.0159062
232,0.0159054
233,0.0158956
234,0.0158956
235,0.0158956
236,0.0158956
237,0.0158956
238,0.0158956
239,0.0158956
240,0.0158956
241,0.0158956
242,0.0158956
243,0.0158956
244,0.0158926
245,0.0158902
246,0.0158902
247,0.015885
248,0.015885
249,0.015885
250,0.0158692
251,0.0158692
252,0.0158658
253,0.015853
254,0.0158458
255,0.0158402
256,0.0158236
257,0.0158236
258,0.0158236
259,0.0158236
260,0.0158236
261,0.0158048
262,0.0158048
263,0.0158048
264,0.0157988
265,0.0157988
266,0.0157844
267,0.0157844
268,0.0157844
269,0.0157844
270,0.0157844
271,0.015769
272,0.015769
273,0.015769
274,0.015769
275,0.0157624
276,0.0157624
277,0.0157514
278,0.0157514
279,0.0157514
280,0.0157514
281,0.0157514
282,0.0157514
283,0.0157514
284,0.0157514
285,0.0157514
286,0.0157452
287,0.0157452
288,0.0157452
289,0.0157452
290,0.0157452
291,0.015744
292,0.0157328
