,0
0,292.0
1,292.0
2,292.0
3,284.0
4,288.0
5,272.0
6,249.0
7,264.0
8,254.0
9,254.0
10,254.0
11,240.0
12,242.0
13,234.0
14,245.0
15,245.0
16,245.0
17,245.0
18,222.0
19,192.0
20,192.0
21,192.0
22,192.0
23,192.0
24,204.0
25,204.0
26,188.0
27,188.0
28,188.0
29,185.0
30,189.0
31,179.0
32,179.0
33,179.0
34,179.0
35,168.0
36,168.0
37,166.0
38,161.0
39,159.0
40,157.0
41,154.0
42,154.0
43,150.0
44,150.0
45,149.0
46,152.0
47,144.0
48,144.0
49,136.0
50,136.0
51,136.0
52,138.0
53,138.0
54,138.0
55,138.0
56,127.0
57,141.0
58,141.0
59,131.0
60,131.0
61,127.0
62,130.0
63,128.0
64,128.0
65,128.0
66,132.0
67,129.0
68,129.0
69,129.0
70,132.0
71,132.0
72,132.0
73,128.0
74,128.0
75,126.0
76,120.0
77,120.0
78,120.0
79,120.0
80,120.0
81,117.0
82,117.0
83,117.0
84,116.0
85,116.0
86,116.0
87,116.0
88,116.0
89,115.0
90,115.0
91,115.0
92,115.0
93,118.0
94,112.0
95,109.0
96,109.0
97,109.0
98,109.0
99,109.0
100,109.0
101,113.0
102,113.0
103,113.0
104,112.0
105,111.0
106,111.0
107,111.0
108,111.0
109,111.0
110,110.0
111,109.0
112,109.0
113,109.0
114,109.0
115,109.0
116,110.0
117,110.0
118,110.0
119,109.0
120,106.0
121,106.0
122,106.0
123,106.0
124,106.0
125,106.0
126,106.0
127,106.0
128,107.0
129,108.0
130,108.0
131,108.0
132,105.0
133,103.0
134,103.0
135,103.0
136,103.0
137,103.0
138,103.0
139,103.0
140,104.0
141,104.0
142,104.0
143,104.0
144,108.0
145,108.0
146,103.0
147,100.0
148,99.0
149,104.0
150,104.0
151,103.0
152,104.0
153,104.0
154,104.0
155,103.0
156,103.0
157,103.0
158,103.0
159,103.0
160,97.0
161,99.0
162,99.0
163,99.0
164,99.0
165,96.0
166,104.0
167,104.0
168,98.0
169,98.0
170,98.0
171,98.0
172,98.0
173,97.0
174,89.0
175,89.0
176,89.0
177,89.0
178,93.0
179,93.0
180,90.0
181,90.0
182,90.0
183,90.0
184,90.0
185,91.0
186,91.0
187,91.0
188,91.0
189,91.0
190,91.0
191,92.0
192,92.0
193,89.0
194,89.0
195,89.0
196,89.0
197,89.0
198,89.0
199,89.0
200,88.0
201,88.0
202,88.0
203,88.0
204,88.0
205,88.0
206,89.0
207,89.0
208,89.0
209,87.0
210,87.0
211,87.0
212,87.0
213,87.0
214,89.0
215,89.0
216,89.0
217,89.0
218,88.0
219,88.0
220,85.0
221,87.0
222,87.0
223,84.0
224,84.0
225,81.0
226,81.0
227,81.0
228,81.0
229,81.0
230,81.0
231,81.0
232,81.0
233,81.0
234,81.0
235,84.0
236,84.0
237,84.0
238,84.0
239,84.0
240,84.0
241,84.0
242,80.0
243,80.0
244,82.0
245,82.0
246,82.0
247,82.0
248,82.0
249,80.0
250,80.0
251,80.0
252,80.0
253,80.0
254,78.0
255,78.0
256,78.0
257,78.0
258,78.0
259,78.0
260,77.0
261,77.0
262,77.0
263,77.0
264,77.0
265,77.0
266,77.0
267,77.0
268,77.0
269,77.0
270,77.0
271,77.0
272,77.0
273,76.0
274,76.0
275,76.0
276,76.0
277,76.0
278,76.0
279,76.0
280,76.0
281,76.0
282,76.0
283,74.0
284,74.0
285,74.0
286,74.0
287,74.0
288,74.0
289,73.0
290,73.0
291,73.0
292,73.0
293,77.0
294,73.0
295,73.0
296,73.0
297,73.0
298,73.0
299,73.0
300,73.0
301,73.0
302,73.0
303,73.0
