,0
0,115.0
1,111.0
2,100.0
3,106.0
4,107.0
5,107.0
6,97.0
7,101.0
8,101.0
9,101.0
10,101.0
11,102.0
12,102.0
13,95.0
14,95.0
15,100.0
16,93.0
17,96.0
18,80.0
19,84.0
20,85.0
21,85.0
22,79.0
23,79.0
24,79.0
25,79.0
26,79.0
27,79.0
28,79.0
29,79.0
30,74.0
31,73.0
32,73.0
33,72.0
34,82.0
35,82.0
36,82.0
37,76.0
38,76.0
39,72.0
40,73.0
41,73.0
42,73.0
43,74.0
44,75.0
45,70.0
46,68.0
47,74.0
48,73.0
49,68.0
50,68.0
51,67.0
52,66.0
53,65.0
54,65.0
55,65.0
56,65.0
57,67.0
58,62.0
59,62.0
60,66.0
61,61.0
62,61.0
63,70.0
64,63.0
65,62.0
66,57.0
67,61.0
68,59.0
69,59.0
70,59.0
71,59.0
72,59.0
73,59.0
74,59.0
75,58.0
76,61.0
77,58.0
78,59.0
79,59.0
80,59.0
81,59.0
82,58.0
83,58.0
84,58.0
85,58.0
86,58.0
87,56.0
88,56.0
89,56.0
90,54.0
91,55.0
92,55.0
93,54.0
94,54.0
95,53.0
96,55.0
97,53.0
98,54.0
99,54.0
100,54.0
101,53.0
102,54.0
103,53.0
104,53.0
105,53.0
106,53.0
107,54.0
108,52.0
109,52.0
110,50.0
111,50.0
112,50.0
113,50.0
114,50.0
115,50.0
116,50.0
117,49.0
118,49.0
119,49.0
120,49.0
121,46.0
122,46.0
123,46.0
124,46.0
125,48.0
126,48.0
127,48.0
128,47.0
129,47.0
130,47.0
131,50.0
132,50.0
133,46.0
134,46.0
135,46.0
136,46.0
137,46.0
138,44.0
139,47.0
140,47.0
141,47.0
142,46.0
143,45.0
144,45.0
145,46.0
146,46.0
147,45.0
148,45.0
149,46.0
150,46.0
151,45.0
152,45.0
153,45.0
154,45.0
155,44.0
156,47.0
157,47.0
158,45.0
159,45.0
160,45.0
161,45.0
162,45.0
163,45.0
164,44.0
165,44.0
166,45.0
167,45.0
168,42.0
169,42.0
170,42.0
171,41.0
172,41.0
173,41.0
174,40.0
175,40.0
176,40.0
177,40.0
178,40.0
179,40.0
180,40.0
181,40.0
182,41.0
183,41.0
184,41.0
185,39.0
186,39.0
187,39.0
188,39.0
189,39.0
190,39.0
191,38.0
192,38.0
193,38.0
194,38.0
195,38.0
196,39.0
197,39.0
198,39.0
199,38.0
200,38.0
201,37.0
202,37.0
203,37.0
204,37.0
205,37.0
206,37.0
207,37.0
208,37.0
209,37.0
210,36.0
211,39.0
212,35.0
213,41.0
214,41.0
215,36.0
216,36.0
217,36.0
218,36.0
219,36.0
220,35.0
221,35.0
222,34.0
223,34.0
224,34.0
225,34.0
226,34.0
227,34.0
228,36.0
229,36.0
230,32.0
231,33.0
232,33.0
233,33.0
234,33.0
235,35.0
236,35.0
237,35.0
238,35.0
239,35.0
240,34.0
241,32.0
242,32.0
243,32.0
244,32.0
245,32.0
246,32.0
247,34.0
248,34.0
249,34.0
250,34.0
251,34.0
252,34.0
253,34.0
254,36.0
255,36.0
256,35.0
257,35.0
258,35.0
259,36.0
260,36.0
261,36.0
262,34.0
263,34.0
264,34.0
265,34.0
266,34.0
267,34.0
268,34.0
269,34.0
270,34.0
271,34.0
272,34.0
273,35.0
274,35.0
275,35.0
276,33.0
277,33.0
278,33.0
279,34.0
280,32.0
281,32.0
282,32.0
283,33.0
284,33.0
285,33.0
286,33.0
287,33.0
288,33.0
289,32.0
290,32.0
291,32.0
292,32.0
293,31.0
294,31.0
295,31.0
296,31.0
297,31.0
298,31.0
299,31.0
300,30.0
301,30.0
302,31.0
303,31.0
304,31.0
305,31.0
306,31.0
307,31.0
308,31.0
309,31.0
310,31.0
311,30.0
312,30.0
313,30.0
314,30.0
315,30.0
316,30.0
317,30.0
318,30.0
319,30.0
320,30.0
321,29.0
322,29.0
323,29.0
324,29.0
325,29.0
