,0
0,296.1452756
1,285.229673
2,281.9547516
3,280.1787959
4,259.5591348
5,257.9108612
6,257.660948
7,252.5297375
8,245.7429924
9,245.7429924
10,245.7429924
11,240.3688919
12,232.5951867
13,224.9098839
14,224.9098839
15,221.3765819
16,214.9946683
17,214.7676867
18,196.9105161
19,196.9105161
20,196.1496019
21,195.3515463
22,189.6058207
23,185.4241006
24,185.374172
25,180.5301573
26,180.5301573
27,175.6305358
28,175.6305358
29,169.8827329
30,168.9986164
31,167.5650047
32,166.1738385
33,162.4713051
34,156.9538964
35,156.9538964
36,154.9249293
37,150.2649122
38,150.2649122
39,146.8763366
40,146.0894107
41,144.291784
42,139.4378592
43,137.6815964
44,137.6815964
45,134.4043366
46,132.1111478
47,126.2299451
48,126.2299451
49,126.2299451
50,126.2299451
51,126.2299451
52,125.166461
53,120.3484549
54,120.3484549
55,120.3484549
56,120.3484549
57,119.8588189
58,115.1922097
59,115.1922097
60,113.4526087
61,113.4077987
62,112.4628745
63,112.4628745
64,112.4628745
65,109.3971102
66,106.409896
67,106.3177202
68,106.3177202
69,106.3177202
70,106.3177202
71,106.3177202
72,106.3177202
73,106.3177202
74,106.3177202
75,105.6126661
76,105.6126661
77,104.3598039
78,103.7423598
79,103.7395319
80,103.6804242
81,102.5384736
82,100.6634081
83,100.5321172
84,100.3430766
85,100.3430766
86,99.4811725
87,97.0613051
88,97.0613051
89,97.0613051
90,97.0085831
91,94.0009787
92,93.0010389
93,93.0010389
94,93.0010389
95,92.6074774
96,92.6074774
97,92.4310786
98,90.7186724
99,90.7186724
100,90.570059
101,90.050676
102,90.050676
103,90.050676
104,90.050676
105,88.9462799
106,87.5063069
107,87.5062944
108,87.1111448
109,87.1111448
110,87.1111448
111,86.1495351
112,85.7104199
113,85.7104074
114,84.7818223
115,84.7818223
116,84.7818223
117,84.7818223
118,84.7395926
119,84.1776425
120,84.1776425
121,84.1776425
122,84.1776425
123,84.1776425
124,84.1270688
125,84.1168312
126,83.9027068
127,83.9027068
128,83.549099
129,83.549099
130,83.4477286
131,83.2280566
132,83.2280349
133,82.9437779
134,82.6370774
135,81.7278299
136,81.7278299
137,81.7278299
138,81.7278299
139,80.5634303
140,80.5634303
141,80.5634303
142,80.5634303
143,80.1090433
144,79.605575
145,79.605575
146,79.605575
147,79.605575
148,79.4826268
149,79.4826268
150,79.4826268
151,78.027961
152,78.027961
153,78.027961
154,78.027961
155,78.027961
156,77.9770326
157,77.3214677
158,77.3214677
159,76.6950838
160,76.1875451
161,76.1875451
162,76.1875451
163,75.8528718
164,75.8528718
165,75.8528718
166,75.753247
167,74.8938371
168,74.8938371
169,73.6229241
170,73.6229241
171,73.6229241
172,73.6229241
173,73.6229241
174,73.1089697
175,73.1089697
176,73.1089697
177,73.1089697
178,71.6577633
179,71.6577633
180,71.6577633
181,71.6577633
182,70.6478953
183,70.6478953
184,70.6478953
185,70.0931281
186,70.0931281
187,69.4130053
188,69.4130053
189,69.4130053
190,69.4130053
191,69.4130053
192,69.3211469
193,68.7641663
194,68.7641663
195,67.8086252
196,66.4569605
197,66.4569605
198,65.9196769
199,63.0963703
200,63.0963703
201,63.0963703
202,63.0963703
203,63.0963671
204,63.0963671
205,63.0963453
206,63.0963453
207,62.9821287
208,62.9821287
209,62.9821287
210,62.9821287
211,62.9821287
212,62.870639
213,62.870639
214,62.6648816
215,62.6648816
216,62.6648816
217,62.6648784
218,62.6648784
219,62.6648784
220,62.6648384
221,62.6648384
222,62.4929718
223,62.4929718
224,62.4929718
225,62.4929585
226,62.3725456
227,62.3725456
228,62.1513573
229,62.1513573
230,62.1513573
231,62.1513573
232,62.1513573
233,62.1513573
234,62.1513573
235,62.1513573
236,62.1513573
237,62.1513255
238,61.9669705
239,61.9669256
240,61.9669256
241,61.9669256
242,61.9669256
243,61.7023638
244,61.7023638
245,61.2851984
246,61.2851984
247,61.0828212
248,61.0828212
249,59.8054142
250,59.8054142
251,59.8054142
252,59.8054142
253,59.7976966
254,59.7976966
255,59.7976966
256,59.7951366
257,59.7951366
258,59.7951366
259,59.5106395
260,59.5106395
261,59.5106395
262,59.5106395
263,59.5106381
264,59.3919754
265,59.0729542
266,59.0729542
267,57.9033582
268,57.9033582
269,57.5117588
270,57.5117588
271,57.5117588
272,56.994761
273,56.3990631
274,56.3990631
275,56.3990529
276,56.3990529
277,56.3990529
278,56.3990529
279,56.3990529
280,56.1390681
281,56.1041783
282,56.0873527
283,56.0873527
284,56.0873527
285,56.0873527
286,56.0091169
287,55.6579007
288,55.6579007
289,55.6579007
290,55.6579007
291,55.6579007
292,55.5816647
293,55.5202398
294,54.8340478
295,54.8340478
296,54.8340478
297,54.8340478
298,53.9614664
299,53.1280239
300,53.1280239
301,53.0675232
302,53.0675232
303,52.7791191
304,52.7791191
305,52.4691675
306,52.4691675
307,51.4006153
308,51.0743846
309,50.9232408
310,50.7789524
311,50.7789524
312,50.7789524
313,50.7789524
314,50.5544237
315,50.5544237
316,49.7364099
317,49.7364099
318,49.7363737
319,49.5631856
320,49.5096012
