,0
0,179.0
1,176.0
2,181.0
3,175.0
4,175.0
5,173.0
6,176.0
7,182.0
8,176.0
9,176.0
10,176.0
11,166.0
12,168.0
13,172.0
14,172.0
15,172.0
16,164.0
17,172.0
18,153.0
19,153.0
20,159.0
21,158.0
22,159.0
23,156.0
24,157.0
25,165.0
26,165.0
27,157.0
28,157.0
29,155.0
30,160.0
31,152.0
32,153.0
33,146.0
34,144.0
35,144.0
36,144.0
37,145.0
38,145.0
39,152.0
40,154.0
41,155.0
42,143.0
43,137.0
44,137.0
45,139.0
46,132.0
47,131.0
48,131.0
49,131.0
50,131.0
51,131.0
52,129.0
53,142.0
54,142.0
55,142.0
56,142.0
57,124.0
58,130.0
59,130.0
60,134.0
61,134.0
62,132.0
63,132.0
64,132.0
65,127.0
66,121.0
67,121.0
68,121.0
69,121.0
70,121.0
71,121.0
72,121.0
73,121.0
74,121.0
75,123.0
76,123.0
77,124.0
78,123.0
79,127.0
80,124.0
81,125.0
82,123.0
83,117.0
84,122.0
85,122.0
86,120.0
87,117.0
88,117.0
89,117.0
90,118.0
91,117.0
92,116.0
93,116.0
94,116.0
95,114.0
96,114.0
97,114.0
98,112.0
99,112.0
100,114.0
101,112.0
102,112.0
103,112.0
104,112.0
105,110.0
106,107.0
107,107.0
108,106.0
109,106.0
110,106.0
111,106.0
112,109.0
113,109.0
114,108.0
115,108.0
116,108.0
117,108.0
118,105.0
119,109.0
120,109.0
121,109.0
122,109.0
123,109.0
124,106.0
125,106.0
126,109.0
127,109.0
128,107.0
129,107.0
130,106.0
131,107.0
132,107.0
133,105.0
134,107.0
135,105.0
136,105.0
137,105.0
138,105.0
139,106.0
140,106.0
141,106.0
142,106.0
143,107.0
144,106.0
145,106.0
146,106.0
147,106.0
148,106.0
149,106.0
150,106.0
151,104.0
152,104.0
153,104.0
154,104.0
155,104.0
156,103.0
157,102.0
158,102.0
159,102.0
160,102.0
161,102.0
162,102.0
163,99.0
164,99.0
165,99.0
166,103.0
167,102.0
168,102.0
169,100.0
170,100.0
171,100.0
172,100.0
173,100.0
174,99.0
175,99.0
176,99.0
177,99.0
178,100.0
179,100.0
180,100.0
181,100.0
182,98.0
183,98.0
184,98.0
185,103.0
186,103.0
187,102.0
188,102.0
189,102.0
190,102.0
191,102.0
192,101.0
193,99.0
194,99.0
195,101.0
196,101.0
197,101.0
198,99.0
