,0
0,96.5166074667
1,91.4105566667
2,88.3570042667
3,87.8125533333
4,86.5737134667
5,82.0514657333
6,78.5204794667
7,77.2503876
8,70.532852
9,70.532852
10,70.532852
11,70.2570290667
12,64.590944
13,61.4026666667
14,61.4026666667
15,56.9328245333
16,56.9328245333
17,52.0295177333
18,52.0295177333
19,52.0295177333
20,49.6095337333
21,49.6095337333
22,48.7130790667
23,48.7130790667
24,44.6205333333
25,40.4486882667
26,40.4486882667
27,40.4349362667
28,40.0564148
29,39.4884806667
30,37.4792077333
31,33.7597516
32,33.7597516
33,33.7597516
34,33.2493749333
35,30.1962384
36,30.1962384
37,29.4324274667
38,29.4324274667
39,29.4324274667
40,27.5267072
41,26.8849948
42,26.8528146667
43,25.9555410667
44,22.9310630667
45,22.9310630667
46,22.9310630667
47,22.9310630667
48,19.3170046667
49,19.3170046667
50,19.0794957333
51,19.0794957333
52,18.5743304
53,18.5743304
54,18.5743304
55,18.5743304
56,18.0086590667
57,17.519666
58,17.1496345333
59,16.1961472
60,16.1961472
61,16.1961472
62,16.1960349333
63,14.5076826667
64,14.5076826667
65,13.5632044
66,13.5632044
67,13.5632044
68,13.5232742667
69,13.1078593333
70,13.1078593333
71,11.8948749333
72,11.8948749333
73,11.8948749333
74,11.8948749333
75,11.8948749333
76,11.72155
77,11.6147596
78,11.6147596
79,11.0957653333
80,10.7651018667
81,10.7651018667
82,10.7651018667
83,10.5705306667
84,9.9117184
85,9.4731364
86,8.6562613333
87,8.4437461333
88,8.4437274667
89,8.2381542667
90,8.2288953333
91,7.6587814667
92,7.3156989333
93,6.7065717333
94,6.6204485333
95,6.4821356
96,6.4821356
97,6.4821356
98,6.3241984
99,6.3216066667
100,6.2504369333
101,6.1755424
102,6.1755424
103,5.9623913333
104,5.9623913333
105,5.9623913333
106,5.6811497333
107,5.6811497333
108,5.6811286667
109,5.6355008
110,5.1051492
111,5.1051492
112,5.1051253333
113,5.1051253333
114,5.1051253333
115,5.1051253333
116,4.9555808
117,4.9555808
118,4.6474304
119,4.6474304
120,4.6474304
121,4.5492018667
122,4.5492018667
123,4.5492018667
124,4.5492018667
125,4.3396510667
126,4.3396510667
127,4.330148
128,4.1836793333
129,4.1792168
130,4.1792168
131,4.1792168
132,4.150922
133,4.150922
134,4.1488988
135,3.7144684
136,3.7144684
137,3.7112454667
138,3.7112454667
139,3.7112454667
140,3.7112454667
141,3.7112454667
142,3.6693856
143,3.5179898667
144,3.5179898667
145,3.5179898667
146,3.5179898667
147,3.517964
148,3.3204214667
149,3.3204214667
150,3.3204214667
151,3.3204214667
152,3.3204197333
153,3.3204197333
154,3.1722924
155,3.1722924
156,3.1722924
157,3.1722830667
158,3.1722230667
159,3.1722230667
160,3.1722230667
161,3.1667426667
162,3.1667426667
163,3.1667426667
164,3.1666904
165,3.1666904
166,3.1666904
167,3.1666904
168,3.1666904
169,3.0588665333
170,3.0543262667
171,3.0543262667
172,3.0543262667
173,3.0543262667
174,2.9414418667
175,2.9412756
176,2.9412756
177,2.9412756
178,2.9318573333
179,2.9318573333
180,2.9318573333
181,2.9318573333
182,2.9318573333
183,2.9318573333
184,2.8289704
185,2.8289704
186,2.8289704
187,2.8289704
188,2.8289530667
189,2.8289312
190,2.8289312
191,2.8289312
192,2.8289269333
193,2.8288881333
194,2.8288881333
195,2.8288881333
196,2.8288881333
197,2.8288776
198,2.8288141333
199,2.8288141333
200,2.8285892
201,2.8263393333
202,2.8263393333
203,2.8262084
204,2.8261294667
205,2.7267392
206,2.7267392
207,2.7267392
208,2.7241184
209,2.7241184
210,2.7241184
211,2.7241013333
212,2.7241013333
213,2.7239113333
214,2.7239113333
215,2.7239113333
216,2.7238228
217,2.7238068
218,2.7238068
219,2.7238068
220,2.7238068
221,2.7237653333
222,2.7237653333
223,2.7237653333
224,2.7237653333
225,2.7188972
226,2.7186818667
227,2.7186818667
