,0
0,31.92833584
1,23.51036224
2,23.51036224
3,23.44872416
4,23.44872416
5,17.70685056
6,15.02390464
7,15.02390464
8,15.02390464
9,14.45892448
10,10.2158864
11,10.2158864
12,10.2158864
13,10.2158864
14,8.7996784
15,8.7996784
16,8.7996784
17,6.97464384
18,6.53983568
19,6.42100672
20,6.42100672
21,6.3686704
22,5.1769296
23,5.1769296
24,5.00700576
25,5.00700576
26,4.30133344
27,4.30133344
28,4.0110624
29,4.0110624
30,4.0110624
31,3.81872128
32,3.72534016
33,3.72534016
34,3.71537232
35,3.62207632
36,3.46304176
37,3.10178496
38,3.10178496
39,2.99968224
40,2.96388256
41,2.92910896
42,2.73864592
43,2.73864592
44,2.70487024
45,2.49420544
46,2.45900544
47,2.45900544
48,2.45900544
49,2.3205208
50,2.11103824
51,2.11103824
52,2.10785856
53,2.10785344
54,2.10785344
55,1.66492384
56,1.66492384
57,1.66492384
58,1.62094944
59,1.62094944
60,1.31678096
61,1.31678096
62,1.31678096
63,1.31678096
64,1.31678096
65,1.19461408
66,1.1946096
67,1.19450784
68,1.19448864
69,0.9623056
70,0.9623056
71,0.78203872
72,0.7524768
73,0.7524768
74,0.7524768
75,0.75246784
76,0.7514712
77,0.65656512
78,0.65656512
79,0.65656512
80,0.6565504
81,0.65645408
82,0.57874
83,0.57871056
84,0.57864896
85,0.57858976
86,0.54019216
87,0.54019216
88,0.54019216
89,0.5220064
90,0.521764
91,0.48616528
92,0.48616528
93,0.32247648
94,0.27890896
95,0.27890896
96,0.26055776
97,0.26055776
98,0.26055776
99,0.15576768
100,0.15575472
101,0.13758304
102,0.13729664
103,0.13726192
104,0.13722624
105,0.13719824
106,0.13719824
107,0.13719824
108,0.13719824
109,0.12992208
110,0.12989248
111,0.12988736
112,0.12986048
113,0.1297688
114,0.12457808
115,0.12457296
116,0.12457296
117,0.12457296
118,0.12456608
119,0.1245064
120,0.1244344
121,0.1244344
122,0.12442352
123,0.12433392
124,0.1242984
125,0.1242984
126,0.12428032
127,0.12425408
128,0.12423008
129,0.12418624
130,0.12416448
131,0.12403296
132,0.12403296
133,0.02225824
134,0.02225824
135,0.02225824
136,0.02225504
137,0.02219344
138,0.02219344
139,0.0221696
140,0.0221696
141,0.0221696
142,0.02201056
143,0.02201056
144,0.02200736
145,0.02200736
146,0.02199648
147,0.02199648
148,0.0218912
149,0.02186304
150,0.02180976
151,0.02177408
152,0.02177408
153,0.0216976
154,0.02152288
155,0.02152288
156,0.02152288
157,0.0214648
158,0.0214648
159,0.0214208
160,0.0214208
161,0.0214208
162,0.0214208
163,0.02129744
164,0.02129744
165,0.02129744
166,0.021244
167,0.021244
168,0.02123136
169,0.02122512
170,0.02116016
171,0.02116016
172,0.02116016
173,0.02109248
174,0.02109248
175,0.02108096
176,0.02108096
177,0.02108096
178,0.02107072
179,0.02104288
180,0.02104288
181,0.02100352
182,0.02095776
183,0.02095776
184,0.02092208
185,0.02092208
186,0.02089376
187,0.02089376
188,0.02085456
189,0.02085456
190,0.0207952
191,0.0207064
192,0.0207064
193,0.02068416
194,0.02068416
195,0.02068416
196,0.02058576
197,0.02058576
198,0.02058576
199,0.02058576
200,0.02058576
201,0.02058032
202,0.02052464
203,0.02048336
204,0.02048336
205,0.02048336
206,0.02048336
207,0.02048336
208,0.02047824
209,0.02045984
210,0.02045776
211,0.0203752
212,0.0203752
213,0.0203752
214,0.0203752
215,0.0203752
216,0.0203752
217,0.0203752
218,0.02035152
219,0.02034304
220,0.02034304
221,0.02034304
222,0.02034304
223,0.02020576
224,0.02014272
225,0.02014272
226,0.0201184
227,0.0201184
228,0.0201184
229,0.02010304
230,0.02009792
231,0.0200376
232,0.0200376
233,0.0200336
234,0.0200336
235,0.01998512
236,0.01998512
237,0.01994768
238,0.01994768
239,0.01994768
240,0.01994768
241,0.01991344
242,0.01991344
243,0.0198768
244,0.0198768
245,0.0198656
246,0.01982448
247,0.01975728
248,0.01975504
249,0.01975504
250,0.01967872
251,0.01967872
252,0.01967872
253,0.0196784
254,0.01962736
255,0.01962384
256,0.01956128
257,0.01956128
258,0.01956128
259,0.01955008
260,0.01954032
261,0.0194392
262,0.0194392
263,0.01942384
264,0.01942384
265,0.01941088
266,0.01941088
267,0.01941056
268,0.01937872
269,0.01936448
270,0.01934944
271,0.01932096
272,0.01932096
273,0.01932032
274,0.0193128
275,0.01929168
276,0.01923024
277,0.01923024
278,0.01923024
279,0.01923024
280,0.01921648
281,0.01921648
282,0.01921648
283,0.01921648
284,0.01920496
285,0.019204
286,0.019204
287,0.019204
288,0.019204
289,0.01919792
290,0.01919792
291,0.01917744
292,0.01917744
293,0.01916816
294,0.019168
295,0.019168
296,0.01915664
297,0.01908512
298,0.01908512
299,0.01908512
300,0.01908512
301,0.01908512
302,0.01908512
303,0.01908512
304,0.01908512
305,0.01907216
306,0.01907216
307,0.01907216
308,0.01907216
309,0.0190112
310,0.0190112
311,0.0190112
312,0.019008
313,0.019008
314,0.019008
315,0.019008
316,0.01898784
317,0.01898784
318,0.01898784
319,0.01897472
320,0.01897472
321,0.01897472
322,0.0189688
323,0.0189688
324,0.0189544
325,0.0189544
326,0.0189544
327,0.01886688
328,0.01886688
329,0.01886688
330,0.01886688
331,0.01886688
332,0.01885936
333,0.01885776
334,0.01885152
335,0.01885152
336,0.01885152
337,0.01885152
338,0.01883616
339,0.01882384
340,0.01882384
341,0.01882384
342,0.01880224
343,0.01880224
344,0.01880224
345,0.01880016
346,0.018788
347,0.018788
348,0.01876304
349,0.01875392
350,0.01875392
351,0.01875392
352,0.01875392
353,0.01874656
354,0.01874656
355,0.01874656
356,0.01871856
357,0.01871856
358,0.01869856
359,0.01869856
360,0.01869856
361,0.01868064
362,0.0186776
363,0.0186776
364,0.01865072
365,0.01865072
366,0.01865072
367,0.01864512
368,0.01859936
369,0.01858752
370,0.01858752
371,0.01858752
372,0.01858752
373,0.01858752
374,0.0185696
375,0.0185696
376,0.0185696
377,0.0185696
378,0.018556
379,0.018556
380,0.018556
381,0.018556
382,0.018556
383,0.018556
384,0.01851936
385,0.01851936
386,0.01851936
387,0.01851936
388,0.01851936
389,0.01849568
390,0.01846768
391,0.01846768
392,0.01846768
393,0.01846368
394,0.01846368
395,0.01846176
396,0.01840448
397,0.01838912
398,0.01836336
399,0.01836336
400,0.01836336
401,0.01836336
402,0.01835136
403,0.01834912
404,0.01834912
405,0.01832592
406,0.01827264
407,0.01827264
408,0.01827264
409,0.01827264
410,0.01824384
411,0.01824384
412,0.01823728
413,0.01823728
414,0.01823104
415,0.01822688
416,0.01822272
417,0.01821296
418,0.01818976
419,0.01818976
420,0.01818976
421,0.0181704
422,0.0181704
423,0.0181704
424,0.01816464
425,0.0181376
426,0.0181376
427,0.01812768
428,0.01810096
429,0.01810096
430,0.01810096
431,0.01810096
432,0.01809856
433,0.01808992
434,0.01808992
435,0.01808992
436,0.01805392
437,0.01805392
438,0.01805392
439,0.01805392
440,0.018052
441,0.01804032
442,0.01804032
443,0.01804032
444,0.01804032
445,0.01804032
446,0.01803264
447,0.01803264
448,0.01803264
449,0.01803264
450,0.0180208
451,0.018016
452,0.01800448
453,0.01800448
454,0.01800048
455,0.01800048
456,0.01800048
457,0.01800048
458,0.01800048
459,0.01795728
460,0.01795088
461,0.01795088
462,0.01795088
463,0.01794592
464,0.01793824
465,0.01793824
466,0.01793824
467,0.01793824
468,0.01793824
469,0.01787024
470,0.01787024
471,0.01787024
472,0.01786512
