,0
0,357.0
1,336.0
2,329.0
3,334.0
4,329.0
5,315.0
6,314.0
7,314.0
8,296.0
9,299.0
10,297.0
11,297.0
12,297.0
13,282.0
14,282.0
15,270.0
16,270.0
17,267.0
18,256.0
19,263.0
20,243.0
21,243.0
22,248.0
23,248.0
24,242.0
25,238.0
26,231.0
27,224.0
28,224.0
29,229.0
30,217.0
31,217.0
32,224.0
33,224.0
34,224.0
35,199.0
36,199.0
37,199.0
38,199.0
39,201.0
40,201.0
41,201.0
42,196.0
43,203.0
44,188.0
45,184.0
46,184.0
47,187.0
48,187.0
49,193.0
50,193.0
51,179.0
52,179.0
53,177.0
54,175.0
55,175.0
56,175.0
57,181.0
58,184.0
59,184.0
60,184.0
61,181.0
62,164.0
63,165.0
64,165.0
65,163.0
66,149.0
67,149.0
68,156.0
69,156.0
70,156.0
71,162.0
72,162.0
73,157.0
74,158.0
75,155.0
76,153.0
77,150.0
78,147.0
79,147.0
80,149.0
81,163.0
82,139.0
83,139.0
84,139.0
85,139.0
86,139.0
87,142.0
88,142.0
89,144.0
90,144.0
91,139.0
92,147.0
93,147.0
94,147.0
95,145.0
96,136.0
97,136.0
98,135.0
99,135.0
100,140.0
101,141.0
102,140.0
103,139.0
104,141.0
105,135.0
106,135.0
107,135.0
108,132.0
109,132.0
110,132.0
111,131.0
112,131.0
113,131.0
114,133.0
115,133.0
116,129.0
117,134.0
118,134.0
119,134.0
120,134.0
121,134.0
122,135.0
123,135.0
124,135.0
125,135.0
126,135.0
127,135.0
128,135.0
129,135.0
130,134.0
131,134.0
132,134.0
133,131.0
134,131.0
135,131.0
136,131.0
137,131.0
138,131.0
139,134.0
140,127.0
141,126.0
142,126.0
143,126.0
144,126.0
145,125.0
146,122.0
147,121.0
148,121.0
149,122.0
150,122.0
151,122.0
152,122.0
153,122.0
154,121.0
155,119.0
156,119.0
157,119.0
158,119.0
159,122.0
160,122.0
161,122.0
162,122.0
163,121.0
164,118.0
165,118.0
166,118.0
167,118.0
168,116.0
169,116.0
170,118.0
171,118.0
172,118.0
173,118.0
174,118.0
175,112.0
176,112.0
177,107.0
178,107.0
179,112.0
180,108.0
181,108.0
182,108.0
183,109.0
184,109.0
185,109.0
186,109.0
187,109.0
188,109.0
189,110.0
190,107.0
191,109.0
192,108.0
193,108.0
194,108.0
195,108.0
196,108.0
197,108.0
198,108.0
199,104.0
200,104.0
201,104.0
202,106.0
203,106.0
204,106.0
205,102.0
206,101.0
207,101.0
208,101.0
209,101.0
210,101.0
211,101.0
212,101.0
213,101.0
214,100.0
215,98.0
216,98.0
217,98.0
218,98.0
219,98.0
220,98.0
221,98.0
222,98.0
223,98.0
224,93.0
225,93.0
226,93.0
227,93.0
228,94.0
229,94.0
230,93.0
231,93.0
232,93.0
233,93.0
234,93.0
235,93.0
