,0
0,6.1070442
1,5.5282794
2,5.1807088
3,5.0243348
4,5.0243348
5,2.720518
6,2.569315
7,2.569315
8,2.379507
9,2.0237112
10,2.0235296
11,1.9284588
12,1.2138148
13,1.2138148
14,1.2138148
15,1.1122046
16,1.1122046
17,1.1122046
18,1.1122046
19,1.1122046
20,1.1122046
21,1.1122046
22,1.1121662
23,0.9727702
24,0.9727702
25,0.9727702
26,0.8724204
27,0.86274
28,0.5202234
29,0.5202234
30,0.5202234
31,0.4643006
32,0.435429
33,0.272623
34,0.272623
35,0.272623
36,0.165228
37,0.165006
38,0.165006
39,0.1236986
40,0.1236986
41,0.123267
42,0.123267
43,0.123267
44,0.123267
45,0.02074
46,0.02074
47,0.02074
48,0.020731
49,0.020731
50,0.0207234
51,0.0206478
52,0.020647
53,0.0205848
54,0.0205848
55,0.0205814
56,0.0205428
57,0.0204746
58,0.0203386
59,0.0203386
60,0.0203378
61,0.0202826
62,0.0202238
63,0.0202028
64,0.0202028
65,0.0200284
66,0.0200284
67,0.0200284
68,0.0199842
69,0.0199326
70,0.0199064
71,0.0199064
72,0.0197844
73,0.0197844
74,0.0197598
75,0.0196586
76,0.0196586
77,0.0196164
78,0.019549
79,0.019549
80,0.0195224
81,0.0195224
82,0.0195224
83,0.0194962
84,0.0193344
85,0.0193198
86,0.0193198
87,0.019221
88,0.019221
89,0.019221
90,0.019221
91,0.019221
92,0.0192082
93,0.0192082
94,0.0191596
95,0.0191596
96,0.0191526
97,0.0191526
98,0.0191526
99,0.0190896
100,0.0190896
101,0.0190896
102,0.019029
103,0.0190246
104,0.0190246
105,0.0190034
106,0.0189844
107,0.0188872
108,0.0188706
109,0.018857
110,0.018819
111,0.0187726
112,0.018671
113,0.018671
114,0.018671
115,0.018671
116,0.018656
117,0.018656
118,0.0184456
119,0.0183506
120,0.0183506
121,0.018325
122,0.018325
123,0.0183104
124,0.0182574
125,0.0182574
126,0.0182574
127,0.0182298
128,0.0182298
129,0.0182298
130,0.0182118
131,0.0182118
132,0.0182118
133,0.0182088
134,0.0182088
135,0.0181752
136,0.018167
137,0.0181474
138,0.0181474
139,0.0181368
140,0.0181368
141,0.0181062
142,0.0181062
143,0.0180442
144,0.0180442
145,0.0180442
146,0.0180156
147,0.0180156
148,0.0180156
149,0.0179998
150,0.0179752
151,0.0179752
152,0.0179752
153,0.0179752
154,0.0179752
155,0.0179562
156,0.0178806
157,0.0178806
158,0.0178806
159,0.0178528
160,0.0178492
161,0.0178036
162,0.0178036
163,0.0177946
164,0.0177864
165,0.0177864
166,0.0177666
167,0.0177666
168,0.0177598
169,0.0176428
170,0.0176428
171,0.0176368
172,0.0176368
173,0.0176368
174,0.017617
175,0.017617
176,0.017617
177,0.0176152
178,0.0175996
179,0.0175832
180,0.0175832
181,0.0175832
182,0.0175696
183,0.0175696
184,0.017568
185,0.017568
186,0.017568
187,0.0175482
188,0.0175482
189,0.0175448
190,0.0175102
191,0.0175102
192,0.0175102
193,0.0175038
194,0.017499
195,0.0174976
196,0.0174976
197,0.0174948
198,0.0174774
199,0.0174702
200,0.0174702
201,0.0174578
202,0.0174578
203,0.0174578
204,0.017417
205,0.017417
206,0.017417
207,0.0174108
208,0.017398
209,0.0173946
210,0.017372
211,0.017372
212,0.017358
213,0.0173358
214,0.0172766
215,0.0172766
216,0.0172766
217,0.0172766
218,0.0172442
219,0.0172202
220,0.017219
221,0.017219
222,0.0172138
223,0.0172138
224,0.0171806
225,0.0171806
226,0.0171764
227,0.0171764
228,0.0171722
229,0.0170932
230,0.0170932
231,0.0170932
232,0.0170932
233,0.0170732
234,0.0170732
235,0.0170732
236,0.0170732
237,0.0170732
238,0.0170732
239,0.0170678
240,0.017059
241,0.017042
242,0.017042
243,0.0170374
244,0.0170374
245,0.0170374
246,0.017002
247,0.017002
248,0.0169968
249,0.0169968
250,0.0169968
251,0.0169924
252,0.0169898
253,0.016968
254,0.0169554
255,0.0169554
256,0.0169554
257,0.016949
258,0.0169406
259,0.0169406
260,0.0169406
261,0.0169406
262,0.0169406
263,0.0169406
264,0.0169406
265,0.016924
266,0.016924
267,0.016924
268,0.016924
269,0.016924
270,0.016924
271,0.0168884
272,0.0168684
273,0.0168682
274,0.0168682
275,0.0168682
276,0.0168542
277,0.016849
278,0.0168472
279,0.016801
280,0.016801
281,0.016801
282,0.016801
283,0.0167964
284,0.016796
285,0.0167834
286,0.0167834
287,0.0167834
288,0.0167834
289,0.0167814
290,0.0167814
291,0.0167814
292,0.0167784
293,0.0167784
294,0.016753
295,0.016753
296,0.016753
297,0.016753
298,0.0167244
299,0.0167244
300,0.0167244
