,0
0,232.0
1,227.0
2,227.0
3,220.0
4,211.0
5,202.0
6,202.0
7,199.0
8,192.0
9,202.0
10,186.0
11,191.0
12,184.0
13,193.0
14,193.0
15,185.0
16,181.0
17,181.0
18,168.0
19,168.0
20,174.0
21,164.0
22,164.0
23,157.0
24,156.0
25,158.0
26,158.0
27,158.0
28,158.0
29,149.0
30,149.0
31,150.0
32,150.0
33,150.0
34,141.0
35,141.0
36,140.0
37,133.0
38,133.0
39,133.0
40,133.0
41,130.0
42,130.0
43,130.0
44,136.0
45,136.0
46,136.0
47,136.0
48,136.0
49,136.0
50,124.0
51,124.0
52,124.0
53,124.0
54,128.0
55,114.0
56,114.0
57,114.0
58,120.0
59,108.0
60,108.0
61,109.0
62,109.0
63,107.0
64,107.0
65,115.0
66,108.0
67,108.0
68,107.0
69,104.0
70,104.0
71,104.0
72,105.0
73,108.0
74,108.0
75,108.0
76,101.0
77,101.0
78,101.0
79,101.0
80,101.0
81,101.0
82,100.0
83,100.0
84,97.0
85,92.0
86,92.0
87,92.0
88,92.0
89,92.0
90,91.0
91,91.0
92,91.0
93,89.0
94,89.0
95,89.0
96,99.0
97,99.0
98,92.0
99,96.0
100,96.0
101,86.0
102,93.0
103,93.0
104,92.0
105,92.0
106,92.0
107,92.0
108,91.0
109,91.0
110,90.0
111,90.0
112,90.0
113,94.0
114,92.0
115,91.0
116,88.0
117,88.0
118,88.0
119,88.0
120,88.0
121,86.0
122,86.0
123,86.0
124,86.0
125,86.0
126,89.0
127,82.0
128,81.0
129,87.0
130,85.0
131,84.0
132,84.0
133,84.0
134,84.0
135,80.0
136,80.0
137,80.0
138,80.0
139,79.0
140,79.0
141,79.0
142,78.0
143,79.0
144,79.0
145,79.0
146,80.0
147,80.0
148,80.0
149,80.0
150,80.0
151,80.0
152,79.0
153,79.0
154,79.0
155,78.0
156,79.0
157,78.0
158,77.0
159,77.0
160,77.0
161,76.0
162,74.0
163,76.0
164,76.0
165,76.0
166,76.0
167,75.0
168,70.0
169,73.0
170,78.0
171,78.0
172,78.0
173,73.0
174,70.0
175,70.0
176,70.0
177,71.0
178,71.0
179,71.0
180,66.0
181,66.0
182,66.0
183,66.0
184,66.0
185,64.0
186,64.0
187,64.0
188,64.0
189,64.0
190,64.0
191,64.0
192,64.0
193,64.0
194,65.0
195,65.0
196,65.0
197,65.0
198,65.0
199,65.0
200,65.0
201,65.0
202,65.0
203,63.0
204,63.0
205,63.0
206,63.0
207,64.0
208,64.0
209,64.0
210,64.0
211,64.0
212,64.0
213,63.0
214,63.0
215,63.0
216,60.0
217,60.0
218,60.0
219,60.0
220,60.0
221,60.0
222,60.0
223,60.0
224,60.0
225,60.0
226,60.0
227,59.0
228,59.0
229,59.0
230,61.0
231,61.0
232,59.0
233,59.0
234,59.0
235,59.0
236,58.0
237,61.0
238,61.0
239,61.0
240,60.0
241,60.0
242,59.0
243,59.0
244,59.0
245,59.0
246,58.0
247,58.0
248,57.0
249,57.0
250,57.0
251,57.0
252,58.0
253,58.0
254,56.0
255,56.0
256,56.0
257,56.0
258,56.0
259,56.0
260,56.0
261,56.0
262,60.0
263,60.0
264,60.0
265,56.0
266,56.0
267,56.0
268,56.0
269,56.0
270,56.0
271,56.0
272,56.0
273,56.0
274,56.0
275,56.0
276,56.0
277,56.0
278,56.0
279,55.0
280,55.0
281,55.0
282,54.0
283,54.0
284,54.0
285,54.0
286,54.0
287,54.0
288,54.0
289,54.0
290,53.0
291,53.0
292,53.0
293,53.0
294,53.0
295,53.0
296,53.0
297,53.0
298,53.0
299,53.0
300,53.0
301,53.0
302,53.0
303,53.0
304,52.0
305,52.0
306,52.0
307,52.0
308,52.0
309,52.0
310,51.0
311,51.0
312,52.0
313,52.0
314,50.0
315,50.0
316,50.0
317,50.0
318,50.0
319,51.0
320,51.0
321,51.0
322,49.0
323,49.0
324,47.0
325,47.0
326,47.0
327,47.0
328,47.0
329,47.0
330,47.0
331,47.0
332,47.0
333,47.0
334,47.0
335,47.0
336,46.0
337,46.0
338,46.0
339,46.0
340,46.0
341,46.0
342,45.0
343,47.0
344,47.0
345,47.0
346,46.0
347,46.0
348,46.0
349,46.0
350,46.0
351,45.0
352,45.0
353,45.0
354,45.0
355,44.0
356,43.0
357,49.0
358,49.0
359,49.0
360,49.0
361,48.0
362,48.0
363,47.0
364,47.0
365,47.0
366,47.0
367,47.0
368,45.0
369,45.0
370,45.0
371,45.0
372,45.0
373,45.0
374,44.0
375,44.0
376,44.0
377,44.0
378,44.0
379,44.0
380,44.0
381,43.0
382,43.0
383,43.0
384,43.0
385,43.0
386,43.0
387,43.0
388,43.0
389,43.0
390,43.0
391,43.0
392,43.0
393,43.0
394,43.0
395,43.0
396,43.0
397,43.0
398,43.0
399,43.0
400,43.0
401,43.0
402,43.0
403,43.0
404,43.0
405,43.0
406,43.0
407,43.0
408,43.0
409,43.0
410,43.0
411,43.0
412,43.0
413,43.0
414,43.0
415,43.0
416,43.0
417,43.0
418,43.0
419,43.0
420,42.0
421,42.0
422,42.0
423,42.0
424,42.0
425,42.0
426,42.0
427,42.0
428,42.0
429,42.0
430,42.0
431,42.0
432,42.0
433,42.0
434,42.0
435,42.0
436,42.0
437,42.0
438,42.0
439,42.0
440,42.0
441,42.0
442,42.0
443,42.0
444,42.0
445,42.0
446,42.0
447,42.0
448,42.0
449,42.0
450,42.0
451,42.0
452,41.0
453,41.0
454,41.0
455,42.0
456,42.0
457,42.0
458,41.0
459,41.0
460,41.0
461,41.0
462,41.0
463,41.0
464,40.0
465,40.0
466,40.0
467,40.0
468,40.0
469,40.0
470,40.0
471,40.0
472,38.0
473,38.0
474,38.0
475,38.0
476,38.0
477,38.0
478,38.0
479,38.0
480,38.0
481,38.0
482,38.0
483,38.0
484,38.0
485,38.0
486,38.0
487,38.0
488,38.0
489,38.0
490,38.0
491,38.0
492,37.0
493,37.0
494,37.0
495,37.0
496,37.0
497,37.0
498,37.0
499,37.0
500,37.0
501,37.0
502,37.0
503,37.0
504,37.0
505,37.0
506,37.0
507,36.0
508,36.0
509,36.0
510,36.0
511,36.0
512,36.0
513,36.0
514,36.0
515,36.0
516,36.0
517,35.0
518,35.0
519,35.0
520,35.0
521,35.0
522,35.0
523,35.0
524,35.0
525,35.0
526,35.0
527,35.0
528,35.0
529,34.0
530,34.0
531,34.0
532,34.0
533,34.0
534,34.0
535,34.0
536,34.0
537,34.0
538,34.0
539,34.0
540,34.0
541,37.0
542,37.0
543,37.0
544,36.0
545,36.0
546,36.0
547,36.0
548,35.0
549,35.0
550,35.0
551,35.0
552,35.0
553,35.0
554,35.0
555,34.0
556,34.0
557,34.0
558,34.0
559,34.0
560,34.0
561,34.0
562,34.0
563,34.0
564,34.0
565,34.0
566,33.0
567,33.0
568,33.0
569,33.0
570,33.0
571,33.0
572,33.0
573,33.0
574,33.0
575,33.0
576,33.0
577,33.0
578,33.0
579,33.0
580,33.0
581,33.0
582,33.0
583,33.0
584,32.0
585,32.0
586,32.0
587,29.0
588,28.0
589,28.0
590,28.0
591,28.0
592,28.0
593,28.0
594,28.0
595,28.0
596,28.0
597,28.0
598,28.0
599,28.0
600,28.0
601,27.0
602,27.0
603,26.0
604,26.0
605,26.0
606,26.0
607,25.0
