,0
0,0.3623158
1,0.3623158
2,0.3623158
3,0.3586417
4,0.1252018
5,0.1251125
6,0.124598
7,0.1245709
8,0.1245709
9,0.1245709
10,0.1245166
11,0.1245005
12,0.0196148
13,0.0195703
14,0.0195627
15,0.0195627
16,0.0195627
17,0.0195627
18,0.0195279
19,0.0195279
20,0.0195279
21,0.0194767
22,0.0194743
23,0.0193902
24,0.0193902
25,0.0193902
26,0.0193656
27,0.0193605
28,0.0193369
29,0.019284
30,0.019284
31,0.0192225
32,0.0192058
33,0.0192005
34,0.0191131
35,0.0190962
36,0.0190617
37,0.019013
38,0.0189342
39,0.0189342
40,0.0189196
41,0.0188936
42,0.0188747
43,0.0187943
44,0.0187375
45,0.0187375
46,0.0185536
47,0.0185536
48,0.0185263
49,0.0185263
50,0.0185263
51,0.01849
52,0.018479
53,0.0184547
54,0.0184042
55,0.0184042
56,0.0183934
57,0.0183602
58,0.0183164
59,0.0183164
60,0.0182963
61,0.0182963
62,0.0182415
63,0.0182227
64,0.018177
65,0.0181477
66,0.0180992
67,0.0180419
68,0.0180419
69,0.0180372
70,0.0180004
71,0.0179666
72,0.0179666
73,0.0179666
74,0.0179282
75,0.0179154
76,0.0178669
77,0.0178142
78,0.0178142
79,0.0177927
80,0.0177881
81,0.0177598
82,0.017756
83,0.017756
84,0.017756
85,0.017756
86,0.0177406
87,0.0177406
88,0.0177195
89,0.0176883
90,0.0176779
91,0.0176342
92,0.0176342
93,0.0176293
94,0.0176086
95,0.0176086
96,0.0176086
97,0.0175635
98,0.0175219
99,0.0175219
100,0.0175219
101,0.0175041
102,0.0175041
103,0.0175041
104,0.0174759
105,0.0174729
106,0.0174461
107,0.0174461
108,0.0174394
109,0.0174036
110,0.0174036
111,0.0174036
112,0.0173867
113,0.017359
114,0.0173304
115,0.0173304
116,0.0173254
117,0.0173113
118,0.0173113
119,0.0173102
120,0.0173102
121,0.0173102
122,0.0173008
123,0.0172945
124,0.0172927
125,0.0172563
126,0.0172563
127,0.0172563
128,0.0172311
129,0.0172311
130,0.0172198
131,0.0172198
132,0.0171964
133,0.017185
134,0.017185
135,0.017185
136,0.0171516
137,0.0171145
138,0.0171145
139,0.0171145
140,0.0170942
141,0.0170942
142,0.0170942
143,0.0170885
144,0.0170885
145,0.0170885
146,0.0170821
147,0.0170601
148,0.0170601
149,0.0170601
150,0.0170601
151,0.0170528
152,0.0170209
153,0.0170126
154,0.0170126
155,0.0169839
156,0.0169702
157,0.0169702
158,0.0169664
159,0.0169521
160,0.0169521
161,0.0169339
162,0.0169179
163,0.0169179
164,0.0169179
165,0.0169179
166,0.0169179
167,0.0169146
168,0.0168927
169,0.0168927
170,0.0168927
171,0.0168811
172,0.0168811
173,0.0168811
174,0.0168681
175,0.0168681
176,0.0168681
177,0.0168614
178,0.0168608
179,0.016857
180,0.0168408
181,0.0168346
182,0.0168346
183,0.0168346
184,0.0168346
185,0.0168339
186,0.0168339
187,0.0168284
188,0.016821
189,0.0168054
190,0.0167977
191,0.0167977
192,0.0167977
193,0.0167952
194,0.0167866
195,0.0167777
196,0.0167674
197,0.0167288
198,0.0167249
199,0.0167249
200,0.0167249
201,0.0167249
202,0.0167189
203,0.0167171
204,0.0167171
205,0.0167157
206,0.0167088
207,0.016707
208,0.016707
209,0.0167043
210,0.0166914
211,0.0166914
212,0.0166914
213,0.0166767
214,0.0166767
215,0.0166767
216,0.0166767
217,0.0166767
218,0.0166668
219,0.0166569
220,0.0166569
221,0.0166569
222,0.0166569
223,0.0166569
224,0.0166341
225,0.0166341
226,0.0166341
227,0.0166341
228,0.0166319
229,0.0166163
230,0.0166163
231,0.0166163
232,0.0166163
233,0.0166018
234,0.0165862
235,0.0165862
236,0.0165862
237,0.0165862
238,0.0165834
239,0.016548
240,0.016548
241,0.016548
242,0.0165436
243,0.0165387
244,0.0165196
245,0.0165196
246,0.0165196
247,0.0165196
248,0.0165196
249,0.0165196
250,0.0165196
251,0.0165096
252,0.0165096
253,0.0165096
254,0.0165096
255,0.0165096
256,0.0165067
257,0.0165036
258,0.0164907
259,0.0164907
260,0.0164907
261,0.0164825
262,0.0164823
263,0.0164823
264,0.0164823
265,0.0164544
266,0.0164544
267,0.016452
268,0.016452
269,0.016449
270,0.016446
271,0.016446
272,0.016446
273,0.016446
274,0.016446
275,0.016446
276,0.016446
277,0.016446
278,0.0164459
279,0.0164343
280,0.0164343
281,0.0164343
282,0.0164343
283,0.0164343
284,0.0164343
285,0.0164343
286,0.0164315
287,0.0164313
288,0.0164313
289,0.0164313
290,0.0164144
291,0.0164099
292,0.0164099
293,0.0164099
294,0.0164095
295,0.0164095
296,0.0164095
297,0.0164003
298,0.0164003
299,0.0164003
300,0.0164003
301,0.0163886
302,0.0163886
303,0.0163886
304,0.0163886
305,0.0163785
306,0.0163785
307,0.0163755
308,0.016373
309,0.016373
310,0.016373
311,0.016373
312,0.016373
313,0.016373
314,0.016371
315,0.0163651
316,0.0163651
317,0.0163651
318,0.0163651
319,0.0163651
320,0.0163651
321,0.0163651
322,0.0163651
323,0.016364
324,0.0163623
325,0.0163574
326,0.0163567
327,0.0163344
328,0.0163344
329,0.0163344
330,0.0163306
331,0.0163288
332,0.0163062
333,0.0163062
334,0.0163058
335,0.0163058
336,0.0163058
337,0.0163058
338,0.0163058
339,0.0163048
340,0.0162988
341,0.0162988
342,0.0162956
343,0.0162918
344,0.0162863
345,0.0162863
346,0.0162863
347,0.0162825
348,0.0162802
349,0.0162802
