,0
0,81.7016514857
1,81.1594338286
2,81.1594338286
3,80.1072678286
4,80.1072678286
5,74.9371877714
6,72.5391643429
7,67.4728429143
8,67.4728429143
9,64.8853082286
10,54.5077623429
11,50.2312945143
12,50.2312945143
13,47.4811900571
14,46.5321864571
15,45.7762809143
16,42.7429268
17,42.0397588
18,39.5488692
19,38.4348884
20,38.4348884
21,36.9157210857
22,34.0348080571
23,30.350314
24,28.3721942286
25,26.7771195429
26,24.6668240571
27,24.6668240571
28,24.1033525714
29,24.1033525714
30,23.0913950286
31,23.0913950286
32,23.0913950286
33,18.4520608
34,18.4520608
35,18.4520608
36,18.4520608
37,18.4173577714
38,17.4722245714
39,17.4722119429
40,16.067594
41,15.6756205714
42,15.6756205714
43,12.1711934286
44,10.5951341714
45,10.5899826286
46,10.4261026286
47,8.7832612
48,8.7832612
49,7.7320806286
50,7.7320806286
51,7.7320806286
52,7.7320806286
53,7.0828418286
54,7.0828413714
55,6.3539556
56,5.9055230286
57,5.5662936571
58,5.5662936571
59,5.3250843429
60,5.3250843429
61,5.1913020571
62,5.1913020571
63,5.0126950286
64,4.8624246857
65,4.5013766857
66,4.5013766857
67,4.5013766857
68,4.4120507429
69,4.3451304
70,4.2725922857
71,4.1558558286
72,3.9592029143
73,3.9592029143
74,3.9591984
75,3.8565908
76,3.8565908
77,3.1999980571
78,3.1999980571
79,3.1999980571
80,3.1999980571
81,3.1999980571
82,3.0858366286
83,3.0858366286
84,3.0460942857
85,3.0071011429
86,3.0070836
87,2.767282
88,2.767282
89,2.7672802857
90,2.7468058857
91,2.7468058857
92,2.6491898286
93,2.6491898286
94,2.6491898286
95,2.5660853714
96,2.5007164571
97,2.4500293714
98,2.3748536571
99,2.3748536571
100,2.3635889714
101,2.2567853714
102,2.2411454857
103,2.1055633143
104,2.1055633143
105,2.1055511429
106,2.1055474857
107,2.1055474857
108,2.1055474857
109,2.0924114286
110,2.0924077714
111,1.8626453714
112,1.8626453714
113,1.8626453714
114,1.8626453714
115,1.7510293714
116,1.7510293714
117,1.7510293714
118,1.7510293714
119,1.6621796
120,1.6621796
121,1.6621796
122,1.6413574857
123,1.6413008571
124,1.6413008571
125,1.5422261143
126,1.5422261143
127,1.3426953714
128,1.3426953714
129,1.3426874857
130,1.3426874857
131,1.3426874857
132,1.3185166857
133,1.3185166857
134,1.3185166857
135,1.3184717143
136,1.3184717143
137,1.1062421143
138,1.1062372571
139,1.1062344571
140,1.0032268571
141,1.0032268571
142,1.0032243429
143,1.0032243429
144,1.003208
145,1.0031903429
146,1.0031903429
147,1.0031885143
148,1.0031885143
149,1.0031885143
150,0.9873922286
151,0.9873922286
152,0.9873922286
153,0.9829106286
154,0.8635970286
155,0.8635970286
156,0.8635970286
157,0.8635970286
158,0.7611428571
159,0.7611428571
160,0.7611219429
161,0.7611219429
162,0.7560010857
163,0.7560010857
164,0.7560010857
165,0.7560010857
166,0.7560010857
167,0.7559877143
168,0.7559804571
169,0.7559635429
170,0.7559635429
171,0.7303764
172,0.7303764
173,0.7303764
174,0.7239829143
175,0.7239639429
176,0.7239639429
177,0.7239139429
178,0.7137119429
179,0.7137103429
180,0.7137103429
181,0.7137103429
182,0.7137103429
183,0.7137050857
184,0.7137050857
185,0.7136400571
186,0.7136400571
187,0.7136400571
188,0.7136373714
189,0.6884527429
190,0.6884527429
191,0.6884343429
192,0.6014029143
193,0.6014029143
194,0.5940384
195,0.5940384
196,0.5940384
197,0.5791792
198,0.5791792
199,0.5791792
200,0.5791792
201,0.5791730857
202,0.4784215429
203,0.4784215429
204,0.4750284
205,0.4750284
206,0.4750284
207,0.4750284
208,0.4750284
209,0.4750284
210,0.4750215429
211,0.4750134857
212,0.4749789143
213,0.3657759429
214,0.3657759429
215,0.3657613714
216,0.3657613714
217,0.3657528
218,0.3657454286
219,0.3657454286
220,0.3657454286
221,0.3657244
222,0.3657244
223,0.3656895429
224,0.3656895429
225,0.3656895429
226,0.3656711429
227,0.3656711429
228,0.3656711429
229,0.3656644
230,0.3656389714
231,0.3656389714
232,0.3656389714
233,0.3656118286
234,0.3656118286
235,0.3606405143
236,0.3606405143
237,0.3606260571
238,0.3605845143
239,0.3605845143
240,0.3605845143
241,0.3572286286
242,0.2549722857
243,0.2549722857
244,0.2549588
245,0.2549588
246,0.2549588
247,0.2549109714
248,0.2549109714
249,0.2549109714
250,0.2549109714
251,0.2549109714
252,0.2549109714
253,0.2548732571
254,0.2548732571
255,0.2548701143
256,0.2548701143
257,0.2548499429
258,0.1529737143
259,0.1529737143
260,0.1529650857
261,0.1529452571
262,0.1529333143
263,0.1529153714
264,0.1529124
265,0.1529042857
266,0.1529042857
267,0.1529042857
268,0.1529042857
269,0.1528998857
270,0.1528998857
271,0.1528511429
272,0.1528511429
273,0.1528511429
274,0.1528511429
275,0.1528384571
276,0.1528384571
277,0.1528384571
278,0.1528384571
279,0.1528229143
280,0.1528229143
281,0.1528229143
282,0.1528082857
283,0.1528061714
284,0.1527936571
285,0.1527880571
286,0.1527880571
287,0.1527880571
288,0.1527859429
289,0.1527741143
290,0.1527741143
291,0.1527741143
292,0.1527741143
293,0.1527092571
294,0.1527092571
295,0.1526770286
296,0.1526770286
297,0.1526770286
298,0.1526745143
299,0.1526690286
300,0.1526546286
301,0.1526546286
302,0.1526546286
