,0
0,162.46425115
1,162.46425115
2,162.46425115
3,156.4042826
4,148.93119165
5,148.93119165
6,148.93119165
7,136.88279985
8,135.7274385
9,133.4904043
10,127.4986557
11,122.49687865
12,115.569902
13,108.90144885
14,108.90144885
15,106.62690315
16,99.84289795
17,98.32066695
18,89.21883305
19,89.21883305
20,86.8913104
21,86.8547422
22,77.67683925
23,76.2451778
24,75.2910877
25,69.93764445
26,69.93764445
27,67.46629745
28,67.46629745
29,67.46629745
30,64.12975435
31,62.09770865
32,60.7224692
33,59.1601974
34,59.0536401
35,54.9278012
36,54.90166455
37,54.62197135
38,54.62197135
39,54.62197135
40,51.256713
41,51.256713
42,50.77554085
43,45.0323748
44,44.90111255
45,44.90111255
46,44.90111255
47,44.7354225
48,44.7354225
49,43.1948075
50,42.6838741
51,40.4100602
52,40.4100602
53,35.7693722
54,34.64978345
55,34.50061795
56,34.50061795
57,32.6720602
58,32.47338965
59,32.47338965
60,32.1191491
61,31.1090621
62,28.2185235
63,28.2185235
64,28.2185235
65,26.3855628
66,26.3855628
67,26.3855628
68,25.03702955
69,25.03702955
70,25.03702955
71,24.4781336
72,22.90005655
73,21.83410175
74,21.7246696
75,20.73940855
76,20.57548295
77,19.76332325
78,18.62419265
79,18.5042614
80,18.16083645
81,18.1095382
82,17.9374162
83,17.23525875
84,16.9893914
85,16.6687602
86,16.6687602
87,16.23199195
88,15.34191215
89,15.34191215
90,15.23365305
91,15.23365305
92,14.93620775
93,14.66273015
94,14.66273015
95,14.3641297
96,14.3641297
97,14.3641297
98,14.17504895
99,14.17504895
100,14.17504895
101,13.9690589
102,13.9690589
103,13.4818585
104,13.4818585
105,13.4818585
106,13.2589753
107,13.22065295
108,12.6869284
109,12.62395775
110,12.5838535
111,12.5838535
112,12.4890961
113,11.9364207
114,11.93641835
115,11.9313403
116,11.79581995
117,11.79581995
118,11.7429033
119,11.63709635
120,11.63709635
121,11.62005225
122,11.62005225
123,11.3403847
124,11.34038435
125,11.34038435
126,11.34036975
127,11.33077475
128,11.0476614
129,11.0476614
130,11.0476614
131,11.0476614
132,11.0476614
133,10.7783842
134,10.7783842
135,10.53807385
136,10.53806905
137,10.5380464
138,10.5380464
139,10.4288136
140,10.4288136
141,10.4288136
142,9.74412635
143,9.50989305
144,9.50989305
145,9.50989305
146,8.623375
147,8.623375
148,8.6233747
149,8.6233747
150,8.6233747
151,8.43394125
152,8.40738455
153,8.33954235
154,8.33953425
155,7.98429595
156,7.9624037
157,7.96239725
158,7.865816
159,7.8575323
160,7.8575323
