,0
0,9.03834112
1,9.03834112
2,9.03834112
3,6.44931104
4,6.26318024
5,6.26318024
6,5.23023048
7,5.23023048
8,5.23023048
9,3.71922488
10,3.5953116
11,3.5953116
12,3.18491192
13,2.60509784
14,2.60509784
15,2.60509784
16,2.44758944
17,2.27451312
18,2.27451312
19,1.73654136
20,1.73654136
21,1.4803276
22,1.4803276
23,1.28804792
24,1.28804792
25,1.28802272
26,1.28791072
27,1.10411544
28,1.10140584
29,0.9751756
30,0.9751756
31,0.9751756
32,0.9751756
33,0.80330136
34,0.79693104
35,0.7443348
36,0.74426312
37,0.74426312
38,0.69028768
39,0.65410048
40,0.65410048
41,0.38968448
42,0.38968448
43,0.26035392
44,0.2603532
45,0.2603532
46,0.2564464
47,0.14884784
48,0.14884784
49,0.14876528
50,0.14876528
51,0.13852512
52,0.13850544
53,0.13841744
54,0.13841744
55,0.12782352
56,0.12782352
57,0.12782352
58,0.127804
59,0.12778312
60,0.127772
61,0.02025656
62,0.02021792
63,0.02017232
64,0.02009312
65,0.02009312
66,0.02009312
67,0.02006408
68,0.02004056
69,0.02003096
70,0.01999856
71,0.01999856
72,0.0199068
73,0.0199068
74,0.01986088
75,0.01986088
76,0.01986088
77,0.01979832
78,0.01979832
79,0.01977976
80,0.01977976
81,0.01974816
82,0.0197336
83,0.01968904
84,0.01968904
85,0.01967424
86,0.01967424
87,0.01961568
88,0.01961568
89,0.01961568
90,0.01961056
91,0.01961056
92,0.01961056
93,0.01954112
94,0.01954112
95,0.01954112
96,0.0195408
97,0.01953984
98,0.01953984
99,0.01953872
100,0.0194856
101,0.0194856
102,0.01942496
103,0.01942496
104,0.0194096
105,0.0194096
106,0.01939016
107,0.01939016
108,0.01938296
109,0.01938296
110,0.01936744
111,0.0192856
112,0.0192856
113,0.01928048
114,0.01928048
115,0.0192432
116,0.0192432
117,0.01923704
118,0.01922824
119,0.0192088
120,0.01918152
121,0.01918152
122,0.01918152
123,0.01918152
124,0.01918152
125,0.01918152
126,0.01917712
127,0.01915264
128,0.01915088
129,0.01914832
130,0.01914688
131,0.0191352
132,0.0191352
133,0.01913104
134,0.019084
135,0.0190664
136,0.01906144
137,0.01906144
138,0.01906144
139,0.0190588
140,0.0190588
141,0.0190588
142,0.01901912
143,0.01901664
144,0.0189804
145,0.01895544
146,0.01895544
147,0.01892208
148,0.01892208
149,0.01892048
150,0.0188832
151,0.0188636
152,0.01885072
153,0.01879288
154,0.0187784
155,0.01872688
156,0.01870128
157,0.01870128
158,0.018672
159,0.01867096
160,0.01867096
161,0.01866848
162,0.01866848
163,0.01866848
164,0.01866568
165,0.0186476
166,0.0186476
167,0.01864248
168,0.01863016
169,0.01862944
170,0.01862944
171,0.01860984
172,0.01860192
173,0.01860192
174,0.01860192
175,0.01859496
176,0.01858656
177,0.01858656
178,0.01858656
179,0.01856208
180,0.01856208
181,0.01856208
182,0.0185576
183,0.01855408
184,0.018552
185,0.018552
186,0.01850968
187,0.0185044
188,0.01846944
189,0.01846944
190,0.01846944
191,0.01845648
192,0.01844456
193,0.01844312
194,0.01843472
195,0.01843472
196,0.01843472
197,0.01841392
198,0.01841136
199,0.0183952
200,0.01837984
201,0.01836024
202,0.01836024
203,0.01833528
204,0.01833528
205,0.01830696
206,0.01830696
207,0.01830696
208,0.01828384
209,0.01828384
210,0.0182808
211,0.01827792
212,0.01827792
213,0.01827792
214,0.01825504
215,0.01825504
216,0.01824688
217,0.01824688
218,0.01822856
219,0.01820304
220,0.01820304
221,0.01820304
222,0.01819864
223,0.01818072
224,0.01818072
225,0.01816576
226,0.01816064
227,0.01814272
228,0.01809552
229,0.01809552
230,0.01809552
231,0.01808432
232,0.01808432
233,0.01808432
234,0.01807072
235,0.01806816
236,0.01804592
237,0.01804032
238,0.01801384
239,0.01800888
240,0.0180084
241,0.01800288
242,0.0180024
243,0.01798688
244,0.01798688
245,0.01798688
246,0.01798688
247,0.01798688
248,0.01798688
249,0.01798688
250,0.01798688
251,0.01798624
252,0.01798624
253,0.01795416
254,0.01795416
255,0.01795416
256,0.01794208
257,0.01792352
258,0.01792336
259,0.01792288
260,0.01792288
261,0.01792288
262,0.01791504
263,0.0178736
264,0.0178736
265,0.01787312
266,0.01787312
267,0.01787312
268,0.01786152
269,0.01786152
270,0.01785864
271,0.01784648
272,0.01783592
273,0.01783592
274,0.01783592
275,0.01783592
276,0.01783592
277,0.01782632
278,0.01782632
279,0.01782632
280,0.01782632
281,0.01782632
282,0.0178148
283,0.0178148
284,0.0178148
285,0.0178012
286,0.0177976
287,0.0177976
288,0.0177952
289,0.01779472
290,0.01779472
291,0.01778576
292,0.01776424
293,0.01776424
294,0.01776424
295,0.01776424
296,0.01776424
297,0.01776424
298,0.01774136
299,0.0177312
300,0.0177312
301,0.01772864
302,0.01772864
303,0.01771536
304,0.01771472
305,0.01771472
306,0.01771472
307,0.01770448
308,0.01768936
309,0.01768936
310,0.01768936
311,0.01768936
312,0.01768936
313,0.01768936
314,0.01768936
315,0.01768392
316,0.01768392
317,0.0176812
318,0.01767472
319,0.01767472
320,0.01767472
321,0.01766904
322,0.01766456
323,0.01766456
324,0.0176576
325,0.01764392
326,0.01763328
327,0.0176184
328,0.0176184
329,0.0176184
330,0.01759864
331,0.01759472
332,0.01758
333,0.01758
334,0.01757032
335,0.01756112
336,0.01756112
337,0.01756112
338,0.01756112
339,0.01756112
340,0.01755104
341,0.01755104
342,0.01754192
343,0.01754192
344,0.01754192
345,0.01754192
346,0.01754192
347,0.01754192
348,0.01753832
349,0.01753832
350,0.01752848
351,0.01752848
352,0.01751656
353,0.01750496
354,0.01750496
355,0.01750496
356,0.01750496
357,0.0174968
358,0.0174968
359,0.01747528
360,0.01747528
361,0.01747528
362,0.01747528
363,0.01747528
364,0.01747528
365,0.01747528
366,0.0174712
367,0.0174712
368,0.0174712
369,0.01746904
370,0.01746904
371,0.01746816
372,0.01746816
373,0.01745744
374,0.01745744
375,0.01745744
376,0.01745536
377,0.01745536
378,0.01745184
379,0.01744672
380,0.01744672
381,0.01744672
382,0.0174452
383,0.0174452
384,0.01743168
385,0.01743168
386,0.01743168
387,0.01743168
388,0.01743168
389,0.01743168
390,0.01743168
391,0.01743168
392,0.01741832
393,0.01741832
394,0.01741832
395,0.01741832
396,0.01741608
397,0.01741608
398,0.01739608
399,0.01739608
400,0.0173952
401,0.01738584
402,0.01737816
403,0.01737816
404,0.01735592
405,0.01735112
406,0.01735112
407,0.01735112
408,0.01734752
409,0.01734752
410,0.01734312
411,0.01734312
412,0.01734136
413,0.01734136
414,0.01733784
415,0.01733784
416,0.01733784
417,0.01733408
418,0.01733408
419,0.0173164
420,0.0173164
421,0.01731096
422,0.01731096
423,0.01730832
424,0.0172988
425,0.0172988
426,0.01729752
427,0.01729384
428,0.01729384
429,0.01729096
430,0.01729096
431,0.01729096
432,0.01729096
433,0.01729096
434,0.01729096
435,0.01729096
436,0.01728992
437,0.01728992
438,0.01728992
439,0.01728992
440,0.01728992
441,0.01728992
442,0.01728992
443,0.01728992
444,0.01728992
445,0.01728992
446,0.0172848
447,0.01727968
448,0.01727968
449,0.01727192
450,0.01727192
451,0.01726872
452,0.01726872
453,0.01725832
454,0.01725832
455,0.01725832
456,0.01725352
457,0.01724584
458,0.01724584
459,0.01724584
460,0.01724584
461,0.01724448
462,0.01724256
463,0.0172404
464,0.0172396
465,0.01722216
466,0.01722216
467,0.01722216
468,0.01722216
469,0.01722216
470,0.01721448
471,0.01721448
472,0.01721224
473,0.01721224
474,0.01721224
475,0.01721224
476,0.0171752
477,0.0171752
478,0.0171752
479,0.0171752
480,0.0171752
481,0.0171752
482,0.0171752
483,0.01716624
484,0.01716624
485,0.01716624
486,0.01716624
487,0.01716176
488,0.01716176
489,0.01715072
490,0.01715072
491,0.01715072
492,0.01714928
493,0.01712736
494,0.01712736
495,0.01712536
496,0.01712536
497,0.01712536
498,0.01712536
499,0.01712536
500,0.01711048
501,0.01711048
502,0.01710384
503,0.01710384
504,0.01710352
505,0.0170908
506,0.0170908
507,0.01708744
508,0.01708744
509,0.01708192
510,0.01708192
511,0.01708192
512,0.01707728
513,0.01706824
514,0.01706824
515,0.01706824
516,0.01706824
517,0.01705736
518,0.01705736
519,0.01705736
520,0.01703896
521,0.01703896
522,0.01703896
523,0.01703896
524,0.01703384
525,0.01703384
526,0.01703384
527,0.01703384
528,0.01703176
529,0.01703176
530,0.01703176
531,0.01703176
532,0.01703176
533,0.01703176
534,0.0170292
535,0.01701912
536,0.01701912
537,0.01701912
538,0.01700432
539,0.01700432
540,0.01700432
541,0.01700432
542,0.01700432
543,0.01699096
544,0.01699096
545,0.01699096
546,0.01698224
547,0.01698224
548,0.01698224
549,0.01698224
550,0.01698224
551,0.01698224
552,0.01698224
553,0.01698224
554,0.01698224
555,0.01698224
556,0.01697968
557,0.01697968
558,0.01697456
559,0.01697456
560,0.01697352
561,0.016966
562,0.016966
563,0.016966
564,0.016966
565,0.016966
566,0.01696224
