,0
0,240.0
1,268.0
2,240.0
3,236.0
4,224.0
5,224.0
6,216.0
7,211.0
8,202.0
9,202.0
10,201.0
11,203.0
12,183.0
13,195.0
14,200.0
15,166.0
16,148.0
17,148.0
18,148.0
19,147.0
20,144.0
21,144.0
22,142.0
23,121.0
24,121.0
25,132.0
26,122.0
27,114.0
28,114.0
29,114.0
30,117.0
31,122.0
32,122.0
33,113.0
34,108.0
35,101.0
36,101.0
37,111.0
38,97.0
39,99.0
40,99.0
41,94.0
42,94.0
43,93.0
44,93.0
45,83.0
46,83.0
47,84.0
48,93.0
49,98.0
50,97.0
51,97.0
52,91.0
53,89.0
54,89.0
55,78.0
56,78.0
57,78.0
58,79.0
59,79.0
60,79.0
61,77.0
62,77.0
63,77.0
64,77.0
65,77.0
66,75.0
67,68.0
68,78.0
69,77.0
70,77.0
71,70.0
72,70.0
73,70.0
74,70.0
75,68.0
76,68.0
77,65.0
78,65.0
79,63.0
80,62.0
81,62.0
82,56.0
83,53.0
84,52.0
85,52.0
86,52.0
87,50.0
88,50.0
89,50.0
90,53.0
91,53.0
92,49.0
93,55.0
94,49.0
95,49.0
96,47.0
97,47.0
98,48.0
99,46.0
100,46.0
101,46.0
102,46.0
103,44.0
104,44.0
105,44.0
106,44.0
107,44.0
108,44.0
109,44.0
110,42.0
111,42.0
112,42.0
113,42.0
114,42.0
115,42.0
116,40.0
117,40.0
118,40.0
119,42.0
120,37.0
121,37.0
122,37.0
123,37.0
124,37.0
125,37.0
126,37.0
127,37.0
128,36.0
129,36.0
130,36.0
131,36.0
132,33.0
133,33.0
134,33.0
135,33.0
136,32.0
137,32.0
138,32.0
139,32.0
140,31.0
141,31.0
142,31.0
143,31.0
144,29.0
145,29.0
146,29.0
147,29.0
148,29.0
149,28.0
150,29.0
151,29.0
152,29.0
153,28.0
154,28.0
155,27.0
156,27.0
157,27.0
158,26.0
159,25.0
160,25.0
161,25.0
162,25.0
163,25.0
164,25.0
165,25.0
166,25.0
167,25.0
168,25.0
169,25.0
170,25.0
171,25.0
172,24.0
173,24.0
174,24.0
175,24.0
176,24.0
177,24.0
178,23.0
179,23.0
180,23.0
181,22.0
182,22.0
183,22.0
184,22.0
185,22.0
186,22.0
187,22.0
188,21.0
189,21.0
190,20.0
191,20.0
192,20.0
193,20.0
194,20.0
195,19.0
196,19.0
197,19.0
198,19.0
199,19.0
200,19.0
201,19.0
202,19.0
203,19.0
204,19.0
205,19.0
206,18.0
207,19.0
208,19.0
209,18.0
210,18.0
211,16.0
212,16.0
213,15.0
214,15.0
215,15.0
216,15.0
217,15.0
218,15.0
219,15.0
220,15.0
221,14.0
222,14.0
223,14.0
224,14.0
225,13.0
226,13.0
227,13.0
228,13.0
229,13.0
230,13.0
231,13.0
232,13.0
233,13.0
234,13.0
235,13.0
236,13.0
237,13.0
238,13.0
239,13.0
240,13.0
241,13.0
242,13.0
243,13.0
244,12.0
245,12.0
246,12.0
247,12.0
248,12.0
249,12.0
250,12.0
251,12.0
252,12.0
253,12.0
254,12.0
255,12.0
256,12.0
257,12.0
258,12.0
259,11.0
260,11.0
261,11.0
262,11.0
263,11.0
264,11.0
265,11.0
266,11.0
267,11.0
268,10.0
269,10.0
270,10.0
271,9.0
272,9.0
273,9.0
274,9.0
275,9.0
276,9.0
277,9.0
278,9.0
279,9.0
280,9.0
281,9.0
282,9.0
283,9.0
284,9.0
285,9.0
286,9.0
287,9.0
288,9.0
289,9.0
290,9.0
291,9.0
292,9.0
293,9.0
294,9.0
295,9.0
296,9.0
297,9.0
298,9.0
299,9.0
300,9.0
301,9.0
302,9.0
303,9.0
304,9.0
305,9.0
306,9.0
307,9.0
308,9.0
309,9.0
310,8.0
311,8.0
312,8.0
313,8.0
314,8.0
315,8.0
316,8.0
317,8.0
318,8.0
319,8.0
320,8.0
321,8.0
322,8.0
323,8.0
324,8.0
325,8.0
326,8.0
327,8.0
328,8.0
329,8.0
330,8.0
331,8.0
332,8.0
333,8.0
334,8.0
335,8.0
336,8.0
337,8.0
338,7.0
339,7.0
340,7.0
341,6.0
342,6.0
343,6.0
344,6.0
345,6.0
346,6.0
347,6.0
348,6.0
349,6.0
350,6.0
351,6.0
352,6.0
353,6.0
354,6.0
355,6.0
356,6.0
357,6.0
358,6.0
359,6.0
360,6.0
361,6.0
362,6.0
363,6.0
364,6.0
365,6.0
366,6.0
367,6.0
368,6.0
369,6.0
370,6.0
371,6.0
372,6.0
373,6.0
374,6.0
375,5.0
376,5.0
377,5.0
378,5.0
379,5.0
380,5.0
381,5.0
382,5.0
383,5.0
384,5.0
385,5.0
386,5.0
387,5.0
388,5.0
389,5.0
390,5.0
391,5.0
392,5.0
393,5.0
