,0
0,37.6701665333
1,32.7572803333
2,25.2327847333
3,21.2791494
4,21.2791494
5,16.2688096
6,16.2364104667
7,14.0944548
8,12.9424436
9,12.5005393333
10,7.4506579333
11,7.4506579333
12,7.4506579333
13,7.3781606
14,7.3781606
15,6.9424050667
16,6.9424050667
17,6.9267036
18,6.8263723333
19,6.4051158667
20,6.0720653333
21,5.4756306
22,4.9274832667
23,4.9274832667
24,4.9274832667
25,4.9274832667
26,4.8363245333
27,3.7684122667
28,3.7684057333
29,3.3130160667
30,3.3130160667
31,3.3130160667
32,2.7943086
33,2.6820645333
34,2.6820645333
35,2.6820645333
36,2.4335415333
37,2.1944442667
38,1.6649435333
39,1.6649435333
40,1.6649435333
41,1.6634625333
42,1.5989532
43,1.5624752
44,1.3048828
45,1.3048828
46,1.3048828
47,0.9891156667
48,0.9891156667
49,0.9891156667
50,0.9157756667
51,0.9157352667
52,0.9157352667
53,0.9157352667
54,0.9157352667
55,0.9157352667
56,0.8581018
57,0.7679266
58,0.7679266
59,0.7679266
60,0.5831070667
61,0.5831070667
62,0.5766804
63,0.4672876667
64,0.4672876667
65,0.4501566
66,0.4501566
67,0.3417476667
68,0.3417476667
69,0.3417201333
70,0.2403126
71,0.2402886
72,0.2402886
73,0.2402886
74,0.2402886
75,0.2301070667
76,0.2301070667
77,0.2300984667
78,0.2300052
79,0.1287641333
80,0.1287641333
81,0.1287641333
82,0.1287201333
83,0.1286704667
84,0.1286704667
85,0.1286416
86,0.1286416
87,0.1286416
88,0.1286352
89,0.1286252667
90,0.1286144667
91,0.1286144667
92,0.1285071333
93,0.1285071333
94,0.1285065333
95,0.1284249333
96,0.1284249333
97,0.1284249333
98,0.1284249333
99,0.1284070667
100,0.1284070667
101,0.1283893333
102,0.0205432
103,0.0205432
104,0.0205432
105,0.0205432
106,0.0204544
107,0.0204544
108,0.0204544
109,0.0204544
110,0.0204402667
111,0.0204402667
112,0.0204402667
113,0.0204402667
114,0.0204316
115,0.0204271333
116,0.0204118
117,0.0203916667
118,0.0203772667
119,0.02037
120,0.0203376
121,0.0203376
122,0.0203376
123,0.0202992667
124,0.0202968
125,0.0202698
126,0.0202676
127,0.0202676
128,0.0202288
129,0.0202288
130,0.0202288
131,0.0202288
132,0.0202118667
133,0.0202118667
134,0.0202118667
135,0.0202118667
136,0.0201868
137,0.0201696
138,0.0201612
139,0.0201526667
140,0.0201315333
141,0.0201315333
142,0.0201315333
143,0.0201173333
144,0.0201036
145,0.0201036
146,0.0200735333
147,0.0200713333
148,0.0200280667
149,0.0200227333
150,0.0200227333
151,0.0199784667
152,0.0199784667
153,0.0199706667
154,0.0199706667
155,0.0199706667
156,0.0199706667
157,0.0199706667
158,0.0199591333
159,0.0199458
160,0.0199128
161,0.0199128
162,0.0199128
163,0.0199128
164,0.0199128
165,0.0199101333
166,0.0198871333
167,0.0198871333
168,0.0198871333
169,0.0198871333
170,0.0198871333
171,0.0198488667
172,0.0198488667
173,0.0198488667
174,0.019818
175,0.019818
176,0.019818
177,0.0198141333
178,0.0197785333
179,0.0197785333
180,0.0197785333
181,0.0197785333
182,0.0197785333
183,0.0197785333
184,0.0197781333
185,0.0197762667
186,0.0197762667
187,0.0197693333
188,0.0197693333
189,0.0197514667
190,0.0197413333
191,0.0197413333
192,0.0197413333
193,0.0197248
194,0.0196992667
195,0.0196965333
196,0.0196945333
197,0.01969
198,0.0196836
199,0.0196836
200,0.0196836
201,0.0196836
202,0.0196836
203,0.0196824667
204,0.0196824667
205,0.0196475333
206,0.0196402667
207,0.0196402667
208,0.0196402667
209,0.0196402667
210,0.0196402667
211,0.0196402667
212,0.0196402667
213,0.0196402667
214,0.019633
215,0.019589
216,0.019589
217,0.0195797333
218,0.019576
219,0.0195630667
220,0.0195630667
221,0.0195612667
222,0.0195362667
223,0.0195358
224,0.0195079333
225,0.0195026667
226,0.0195026667
227,0.0194699333
228,0.0194699333
229,0.0194575333
230,0.0194575333
231,0.0194529333
232,0.0194529333
233,0.0194505333
234,0.0194488
235,0.0194399333
236,0.0194399333
237,0.0194246
238,0.0194201333
239,0.0194201333
240,0.0194088667
241,0.0194088667
242,0.0194088667
243,0.0194088667
244,0.0194057333
245,0.0193990667
246,0.0193990667
247,0.0193990667
248,0.0193915333
249,0.0193915333
250,0.0193915333
251,0.0193871333
252,0.0193756667
253,0.0193756667
254,0.0193711333
255,0.0193711333
256,0.0193596667
257,0.0193446
258,0.0193380667
259,0.0193367333
260,0.0193287333
261,0.0193287333
262,0.0193238667
263,0.0193143333
264,0.0193143333
265,0.0192856667
266,0.0192825333
267,0.0192825333
268,0.0192734
269,0.0192734
270,0.0192734
271,0.0192475333
272,0.0192475333
273,0.0192475333
274,0.0192475333
275,0.0192475333
276,0.0192319333
277,0.0192092667
278,0.0192092667
279,0.0192092667
280,0.0192092667
281,0.0192092667
282,0.0192092667
283,0.0192092667
284,0.0192092667
285,0.0192092667
286,0.0192092667
287,0.0191898
288,0.0191727333
289,0.0191727333
290,0.0191727333
291,0.0191475333
292,0.0191475333
293,0.0191475333
294,0.0191302667
295,0.0191292667
296,0.0190996667
297,0.0190996667
298,0.0190996667
299,0.0190984
300,0.0190984
301,0.0190965333
302,0.0190806667
303,0.0190806667
304,0.0190806667
305,0.0190714
306,0.0190488667
307,0.0190488667
308,0.0190488667
309,0.0190488667
310,0.0190398667
311,0.0190398667
312,0.0190398667
313,0.0190300667
314,0.0190300667
315,0.0190300667
316,0.0190265333
317,0.0190265333
318,0.0190136667
319,0.0190136667
320,0.0190136667
321,0.0190019333
322,0.0190019333
323,0.0189884667
324,0.0189884667
325,0.0189884667
326,0.0189884667
327,0.0189816
328,0.0189816
329,0.0189752
330,0.0189574667
331,0.0189574667
332,0.0189574667
333,0.0189574667
334,0.0189512
335,0.0189512
336,0.0189512
337,0.0189490667
338,0.0189490667
339,0.0189490667
340,0.0189488
341,0.0189488
342,0.018944
343,0.0189373333
344,0.0189325333
345,0.0189325333
346,0.0189160667
347,0.0189160667
348,0.0189160667
349,0.0189136
350,0.0189134667
351,0.0189134667
352,0.0189134667
353,0.0189134667
354,0.0189134667
355,0.0188989333
356,0.0188989333
357,0.0188989333
358,0.0188989333
359,0.0188794667
360,0.0188794667
361,0.0188794667
362,0.0188794667
363,0.0188730667
364,0.0188452
365,0.0188452
366,0.01884
367,0.01884
368,0.01884
369,0.01884
370,0.01884
371,0.01884
372,0.01884
373,0.0188217333
374,0.0188217333
375,0.0188217333
376,0.0188217333
377,0.0188217333
378,0.0188217333
379,0.0188209333
380,0.0188209333
381,0.0188209333
382,0.0188209333
383,0.0188209333
384,0.0188130667
385,0.0188130667
386,0.0188130667
387,0.0188130667
388,0.0188130667
389,0.0187956
390,0.0187956
391,0.0187865333
392,0.0187865333
393,0.0187865333
394,0.0187838667
395,0.0187838667
396,0.0187825333
397,0.0187825333
398,0.0187624
399,0.0187624
400,0.0187624
401,0.0187624
402,0.0187470667
403,0.0187470667
404,0.0187470667
405,0.0187470667
406,0.0187214667
407,0.0187214667
408,0.0187125333
409,0.0187125333
410,0.0186922667
411,0.0186922667
412,0.0186922667
413,0.0186922667
414,0.0186655333
415,0.0186655333
416,0.0186634
417,0.0186552
418,0.0186552
419,0.0186552
420,0.0186552
421,0.0186388
422,0.0186388
423,0.0186100667
424,0.0186100667
425,0.0186100667
426,0.0186100667
427,0.0186012
428,0.0186012
429,0.0185986667
430,0.0185986667
431,0.0185986667
432,0.0185986667
433,0.0185986667
434,0.0185650667
435,0.0185650667
436,0.0185650667
437,0.0185565333
438,0.0185565333
439,0.0185565333
440,0.0185565333
441,0.0185565333
442,0.0185556
443,0.0185556
444,0.0185546667
445,0.0185546667
446,0.0185546667
447,0.0185546667
448,0.0185477333
449,0.0185477333
450,0.0185477333
451,0.0185477333
452,0.0185477333
453,0.0185286667
454,0.0185286667
455,0.0185136667
456,0.0185136667
457,0.0185119333
458,0.0185119333
459,0.0185119333
460,0.0185119333
461,0.0185119333
462,0.0185011333
463,0.0185011333
464,0.0185011333
465,0.0184988667
466,0.0184988667
467,0.0184988667
468,0.0184988667
469,0.0184988667
470,0.0184841333
471,0.0184841333
472,0.0184841333
473,0.0184841333
474,0.0184841333
475,0.0184841333
476,0.0184841333
477,0.0184841333
478,0.0184821333
479,0.0184821333
480,0.0184806667
481,0.0184730667
482,0.0184730667
483,0.0184723333
484,0.0184700667
485,0.0184700667
486,0.0184530667
487,0.0184329333
488,0.0184168
489,0.0184168
490,0.0184168
491,0.0184063333
492,0.0184063333
493,0.0184063333
494,0.0184063333
495,0.0184063333
496,0.0183893333
497,0.0183872667
498,0.0183872667
499,0.0183851333
500,0.0183851333
501,0.0183851333
502,0.0183851333
503,0.0183812667
504,0.0183812667
505,0.0183812667
506,0.0183727333
507,0.0183727333
508,0.0183727333
509,0.0183584667
510,0.0183584667
511,0.0183584667
512,0.0183584667
513,0.0183584667
514,0.0183584667
515,0.0183573333
516,0.0183573333
517,0.0183573333
518,0.0183462
519,0.0183462
520,0.0183375333
521,0.0183375333
522,0.0183352667
523,0.0183278
524,0.0183278
525,0.0183278
526,0.0183278
527,0.0183187333
528,0.0183187333
529,0.0183187333
530,0.0183172667
531,0.0183172667
532,0.0183172667
533,0.0183164667
534,0.0183164667
535,0.0183164667
536,0.0183164667
537,0.0183164667
538,0.0183164667
539,0.0183083333
540,0.0183083333
541,0.0183083333
542,0.0182948667
543,0.0182948667
544,0.0182900667
545,0.0182900667
546,0.0182900667
547,0.0182836667
548,0.0182836667
549,0.0182836667
550,0.0182836667
551,0.0182836667
552,0.0182836667
553,0.0182836667
554,0.0182836667
555,0.0182836667
556,0.0182836667
557,0.0182808
558,0.0182808
559,0.0182808
560,0.0182808
561,0.0182808
562,0.0182808
563,0.0182808
564,0.0182808
565,0.0182808
566,0.0182808
567,0.0182808
568,0.0182808
569,0.0182808
570,0.0182715333
571,0.0182694
572,0.0182694
573,0.0182694
574,0.0182694
575,0.0182694
576,0.0182694
577,0.0182612
