,0
0,12.4880902
1,11.2189578
2,11.2189578
3,9.604809
4,9.604809
5,8.813045
6,8.3568338
7,7.939579
8,7.9040788
9,7.3619094
10,7.0286552
11,6.9283042
12,6.6435324
13,6.1814246
14,6.1307442
15,6.1307442
16,6.1307442
17,6.0920098
18,5.8907122
19,5.5702632
20,5.5702632
21,5.5334746
22,5.5334746
23,5.075094
24,5.075094
25,5.075094
26,5.075094
27,5.075094
28,4.7867166
29,4.7809698
30,4.6947086
31,4.4912182
32,4.4912182
33,4.215011
34,4.0882794
35,3.923413
36,3.6752344
37,3.5752256
38,3.508401
39,2.9844028
40,2.9844028
41,2.9578646
42,2.7218126
43,2.7218126
44,2.4511978
45,2.328073
46,2.2002138
47,2.2002138
48,2.168757
49,1.8804568
50,1.8804568
51,1.8804568
52,1.864233
53,1.864233
54,1.3775854
55,1.3775854
56,1.3775854
57,1.2858856
58,1.2858856
59,1.140191
60,1.140191
61,1.1046664
62,1.1046664
63,1.1022484
64,0.9057846
65,0.9057846
66,0.9057846
67,0.9057846
68,0.9057846
69,0.8419044
70,0.7987438
71,0.7987438
72,0.7987438
73,0.798683
74,0.798683
75,0.798683
76,0.7103366
77,0.707206
78,0.584364
79,0.584364
80,0.5783444
81,0.4908136
82,0.475009
83,0.4749794
84,0.4749794
85,0.4749794
86,0.4748886
87,0.3774716
88,0.3774716
89,0.3774716
90,0.377413
91,0.3773384
92,0.3773188
93,0.3772426
94,0.3770868
95,0.3770868
96,0.3770868
97,0.3770868
98,0.3770868
99,0.3770868
100,0.3701838
101,0.3701838
102,0.370133
103,0.3699272
104,0.3699272
105,0.3699238
106,0.3699238
107,0.3699238
108,0.3667874
109,0.3667874
110,0.3667874
111,0.2547952
112,0.2547952
113,0.2547952
114,0.2547952
115,0.2547952
116,0.2547714
117,0.2547714
118,0.2545464
119,0.2545106
120,0.2545106
121,0.2545106
122,0.254465
123,0.2544362
124,0.2544362
125,0.2544018
126,0.2543942
127,0.2543808
128,0.2542444
129,0.2542444
130,0.2542444
131,0.2542194
132,0.2541662
133,0.2541662
134,0.2541478
135,0.2541372
136,0.2541188
137,0.2541168
138,0.2541168
139,0.254106
140,0.2540346
141,0.2540346
142,0.2540346
143,0.2540296
144,0.253997
145,0.2539796
146,0.2539064
147,0.2539064
148,0.2539018
149,0.2538702
150,0.253807
151,0.2537796
152,0.2537796
153,0.2537282
154,0.2537282
155,0.253722
156,0.2536776
157,0.253634
158,0.253634
159,0.253634
160,0.253579
161,0.253579
162,0.253579
163,0.2535566
164,0.2535566
165,0.2535566
166,0.2535238
167,0.2535238
168,0.2535238
169,0.2534924
170,0.2534924
171,0.2534924
172,0.253486
173,0.253458
174,0.253407
175,0.253407
176,0.253407
177,0.2533398
178,0.2533398
179,0.2533398
180,0.2533238
181,0.253322
182,0.2533044
183,0.253243
184,0.253243
185,0.253218
186,0.2531328
187,0.2531328
188,0.2531328
189,0.2531328
190,0.2531328
191,0.2531328
192,0.2531328
193,0.253113
194,0.2530994
195,0.2530994
196,0.2530994
197,0.2530754
198,0.2530754
199,0.2530378
200,0.2530378
201,0.2530378
202,0.2530378
203,0.2530124
204,0.252986
205,0.2529732
206,0.2529732
207,0.2529472
208,0.2528902
209,0.2528902
210,0.2528902
211,0.2528902
212,0.2528482
213,0.2528482
214,0.2528482
215,0.2528482
216,0.2528482
217,0.2528482
218,0.2528218
219,0.2528218
220,0.2528218
221,0.2527956
222,0.2527956
223,0.2527892
224,0.2527786
225,0.2527712
226,0.2527658
227,0.2527658
228,0.2527658
229,0.2527442
230,0.2527338
231,0.2527302
232,0.2527208
233,0.2527208
234,0.2527126
235,0.252705
236,0.252685
237,0.252685
238,0.2526782
239,0.2526684
240,0.2526684
241,0.2526684
242,0.2526552
243,0.252653
244,0.252653
245,0.252636
246,0.252636
247,0.252636
248,0.252636
249,0.252636
250,0.252636
251,0.252615
252,0.252615
253,0.252615
254,0.2524712
255,0.2524712
256,0.2524712
257,0.2524712
258,0.2524712
259,0.2524712
260,0.2524262
261,0.2524262
262,0.2524262
263,0.2524262
264,0.2524212
265,0.2524212
266,0.2524144
267,0.2524136
268,0.2524136
269,0.2524136
270,0.2524136
271,0.2523888
272,0.2523792
273,0.2523754
274,0.2523754
275,0.2523388
276,0.2523388
277,0.2522994
278,0.2522994
279,0.252276
280,0.252276
281,0.252276
282,0.252276
283,0.252276
284,0.2522546
285,0.2522204
286,0.2522204
287,0.2522204
288,0.2522204
289,0.2522204
290,0.2521874
291,0.1445898
292,0.1445898
293,0.1445898
294,0.1445684
295,0.1445684
296,0.1445344
297,0.1445344
298,0.1445238
299,0.1445044
300,0.1445024
301,0.1445024
302,0.144496
303,0.144496
304,0.1444786
305,0.1444786
306,0.1444786
307,0.1444644
308,0.1444644
309,0.14446
310,0.14446
311,0.14446
312,0.144457
313,0.1444472
314,0.1444472
315,0.138976
316,0.138976
317,0.0375648
318,0.0375648
319,0.0375648
320,0.0375632
321,0.0374992
322,0.0374308
323,0.0373588
324,0.0373316
325,0.0373316
326,0.0373272
327,0.0373272
328,0.0373272
329,0.0373268
330,0.037323
331,0.037323
332,0.0372934
333,0.0372934
334,0.0372934
335,0.0372874
336,0.037257
337,0.037257
338,0.0371978
339,0.0371978
340,0.0371978
341,0.0371978
342,0.0371208
343,0.0371208
344,0.0371156
345,0.037109
346,0.037099
347,0.037099
348,0.037054
349,0.037054
350,0.0370538
351,0.0370436
352,0.0370334
353,0.0370334
354,0.0370212
355,0.0370002
356,0.036913
357,0.036913
358,0.0369002
359,0.0369002
360,0.0369002
361,0.0369002
362,0.0368188
363,0.0368188
364,0.0368188
365,0.0368188
366,0.0368188
367,0.0368188
368,0.036747
369,0.036747
370,0.0367198
371,0.0367198
372,0.0367198
373,0.036675
374,0.036675
375,0.036675
376,0.036675
377,0.036675
378,0.036675
379,0.036675
380,0.036675
381,0.036675
382,0.036675
383,0.0366418
384,0.0366418
385,0.0366392
386,0.0366392
387,0.0366392
388,0.0366392
389,0.0366392
390,0.0365944
391,0.0365944
392,0.0365944
393,0.0365594
394,0.0365594
395,0.0365578
396,0.0365398
397,0.0365354
398,0.0365254
399,0.0365254
400,0.0365254
401,0.0365254
402,0.0365254
403,0.0365254
404,0.0365254
405,0.036519
