,0
0,47.71811616
1,47.71811616
2,47.35154912
3,44.0464304
4,44.0464304
5,39.05765232
6,39.05765232
7,39.05765232
8,39.05765232
9,39.05765232
10,36.44915392
11,34.61781712
12,32.67676864
13,32.67676864
14,32.64303616
15,32.64303616
16,31.65338176
17,28.4682712
18,28.4682712
19,27.30021312
20,26.8230824
21,26.8230824
22,26.51948464
23,26.4970584
24,26.49186128
25,24.4135008
26,23.05906288
27,23.05903952
28,22.19269728
29,22.19269728
30,22.19269728
31,21.92010672
32,21.92010672
33,20.21331216
34,20.21331216
35,20.21331216
36,17.64278896
37,17.64278896
38,17.64278896
39,17.64278896
40,16.85618224
41,16.85618224
42,16.4736112
43,15.24815936
44,15.24815936
45,15.24815936
46,14.29058672
47,13.92142928
48,13.73654448
49,13.73654448
50,13.73134544
51,13.56664912
52,13.56664912
53,13.1267896
54,12.946032
55,12.946032
56,12.7484848
57,12.7484848
58,12.4254288
59,12.35873056
60,11.50629104
61,11.50629104
62,11.50629104
63,11.11787264
64,11.07993216
65,10.949596
66,10.949596
67,10.9495704
68,10.88061424
69,10.88061424
70,10.7439728
71,10.7439728
72,10.7439728
73,10.59266768
74,10.49035984
75,10.42287856
76,10.42287856
77,10.36061264
78,10.16209392
79,10.14652704
80,10.10062576
81,9.94809136
82,9.94809136
83,9.93629232
84,9.8004816
85,9.13834752
86,9.13834752
87,9.13834752
88,9.13834752
89,9.03627024
90,8.99649264
91,8.97433152
92,8.29574144
93,8.29574144
94,8.29574144
95,8.10761984
96,8.10761984
97,8.10761984
98,8.10761984
99,8.10758064
100,7.71783712
101,7.71783712
102,7.51897264
103,7.51897264
104,7.51897264
105,7.3758776
106,7.3758776
107,7.28587776
108,6.93388944
109,6.93388944
110,6.93388944
111,6.93388944
112,6.68053408
113,6.68053408
114,6.68053408
115,6.6805184
116,6.63214736
117,6.6321424
118,6.6321424
119,6.616128
120,6.558512
121,6.3587504
122,6.35874048
123,6.29428384
124,6.29428384
125,6.29428384
