,0
0,0.4502441
1,0.4502441
2,0.1372704
3,0.1372704
4,0.1372704
5,0.0189934
6,0.0184764
7,0.0184764
8,0.0184764
9,0.0184764
10,0.0184609
11,0.0184609
12,0.0184002
13,0.0184002
14,0.0183336
15,0.0182547
16,0.0182547
17,0.0182547
18,0.0182547
19,0.0182459
20,0.0182459
21,0.0182459
22,0.0182261
23,0.0182025
24,0.0181877
25,0.0180408
26,0.0180015
27,0.0180015
28,0.0180015
29,0.0179638
30,0.0179638
31,0.0179638
32,0.0179638
33,0.0179241
34,0.0179065
35,0.0179065
36,0.0178892
37,0.0178878
38,0.017885
39,0.0178416
40,0.0178083
41,0.0177884
42,0.0177884
43,0.0177517
44,0.0176962
45,0.0176962
46,0.0176642
47,0.0176642
48,0.0176642
49,0.0176018
50,0.0175894
51,0.0175385
52,0.0174894
53,0.0174813
54,0.0174432
55,0.0174432
56,0.017393
57,0.017393
58,0.017393
59,0.0173472
60,0.0173451
61,0.0173451
62,0.0173187
63,0.0173043
64,0.0172886
65,0.0172761
66,0.0172446
67,0.017217
68,0.0172153
69,0.0171562
70,0.0171562
71,0.0171562
72,0.0171562
73,0.0171562
74,0.0171504
75,0.0171086
76,0.0171086
77,0.0171058
78,0.0171015
79,0.0170394
80,0.0170121
81,0.0170089
82,0.0170089
83,0.0170089
84,0.0170089
85,0.0170089
86,0.0170089
87,0.0169836
88,0.0169836
89,0.0169324
90,0.0169324
91,0.0169146
92,0.0169015
93,0.0168828
94,0.0168828
95,0.0168807
96,0.0168781
97,0.0168537
98,0.0168377
99,0.01683
100,0.01683
101,0.01683
102,0.01683
103,0.0168158
104,0.016814
105,0.0167792
106,0.0167541
107,0.0167541
108,0.0167541
109,0.0167337
110,0.0167337
111,0.0167337
112,0.0167337
113,0.0167289
114,0.0166962
115,0.0166962
116,0.0166784
117,0.0166784
118,0.0166784
119,0.0166748
120,0.0166379
121,0.0166379
122,0.0166291
123,0.0166281
124,0.0166281
125,0.0166281
126,0.0166281
127,0.0166198
128,0.0166159
129,0.0166119
130,0.0166119
131,0.0166064
132,0.0165974
133,0.016592
134,0.0165904
135,0.0165904
136,0.0165837
137,0.0165817
138,0.0165684
139,0.0165684
140,0.0165665
141,0.0165639
142,0.0165639
143,0.0165458
144,0.0165403
145,0.0165363
146,0.0165286
147,0.0165286
148,0.0165286
149,0.0165196
150,0.016505
151,0.0165047
152,0.016455
153,0.016455
154,0.016453
155,0.016453
156,0.0164489
157,0.0164458
158,0.0164382
159,0.016431
160,0.0164284
161,0.0164187
162,0.0164187
163,0.0164187
164,0.0164187
165,0.0164053
166,0.0164053
167,0.0164053
168,0.0164006
169,0.0164006
170,0.0163772
171,0.0163772
172,0.0163772
173,0.0163766
174,0.0163733
175,0.0163616
176,0.0163482
177,0.0163482
178,0.0163482
179,0.0163482
180,0.0163272
181,0.0163272
182,0.0163272
183,0.0163127
184,0.0163127
185,0.0163127
186,0.0163096
187,0.0163029
188,0.0163029
189,0.0162795
190,0.0162795
191,0.0162795
192,0.0162795
193,0.0162795
194,0.0162795
195,0.0162795
196,0.0162795
197,0.0162679
198,0.0162679
199,0.016244
200,0.016244
201,0.016244
202,0.016244
203,0.016244
204,0.0162287
205,0.0162204
206,0.0162204
207,0.0162204
208,0.0162204
209,0.0162204
