,0
0,171.0
1,167.0
2,174.0
3,152.0
4,144.0
5,144.0
6,151.0
7,132.0
8,132.0
9,146.0
10,163.0
11,154.0
12,154.0
13,154.0
14,136.0
15,136.0
16,136.0
17,136.0
18,130.0
19,130.0
20,130.0
21,130.0
22,130.0
23,130.0
24,130.0
25,129.0
26,126.0
27,126.0
28,126.0
29,126.0
30,113.0
31,113.0
32,113.0
33,113.0
34,113.0
35,116.0
36,116.0
37,113.0
38,113.0
39,113.0
40,113.0
41,112.0
42,103.0
43,103.0
44,102.0
45,104.0
46,102.0
47,102.0
48,102.0
49,101.0
50,108.0
51,90.0
52,90.0
53,90.0
54,90.0
55,90.0
56,90.0
57,90.0
58,90.0
59,90.0
60,88.0
61,88.0
62,88.0
63,88.0
64,88.0
65,86.0
66,86.0
67,86.0
68,86.0
69,85.0
70,84.0
71,84.0
72,83.0
73,89.0
74,82.0
75,87.0
76,87.0
77,87.0
78,81.0
79,81.0
80,81.0
81,81.0
82,81.0
83,80.0
84,80.0
85,80.0
86,80.0
87,80.0
88,80.0
89,80.0
90,80.0
91,80.0
92,80.0
93,80.0
94,81.0
95,79.0
96,79.0
97,79.0
98,79.0
99,79.0
100,79.0
101,79.0
102,79.0
103,78.0
104,78.0
105,78.0
106,78.0
107,78.0
108,77.0
109,77.0
110,77.0
111,77.0
112,77.0
113,77.0
114,77.0
115,77.0
116,77.0
117,77.0
118,77.0
119,77.0
120,76.0
121,75.0
122,74.0
123,74.0
124,74.0
125,74.0
126,73.0
127,73.0
128,74.0
129,74.0
130,74.0
131,74.0
132,74.0
133,71.0
134,71.0
135,72.0
136,72.0
137,74.0
138,74.0
139,74.0
140,74.0
141,74.0
142,74.0
143,71.0
144,71.0
145,71.0
146,70.0
147,70.0
148,69.0
149,69.0
150,69.0
151,68.0
152,68.0
153,68.0
154,64.0
155,64.0
156,62.0
157,62.0
158,62.0
159,61.0
160,61.0
161,61.0
162,61.0
163,61.0
164,61.0
165,61.0
166,61.0
167,61.0
168,60.0
169,60.0
170,60.0
171,60.0
172,59.0
173,59.0
174,59.0
175,59.0
176,59.0
177,59.0
178,58.0
179,58.0
180,58.0
181,58.0
182,58.0
183,57.0
184,57.0
185,57.0
186,57.0
187,57.0
188,57.0
189,57.0
190,57.0
191,57.0
192,55.0
193,55.0
194,55.0
195,55.0
196,55.0
197,55.0
198,55.0
199,54.0
200,54.0
201,54.0
202,54.0
203,54.0
204,54.0
205,54.0
206,54.0
207,54.0
208,54.0
209,54.0
210,54.0
211,52.0
212,52.0
213,52.0
214,52.0
215,52.0
216,52.0
217,52.0
218,52.0
219,52.0
220,52.0
221,52.0
222,53.0
223,53.0
224,53.0
225,53.0
226,53.0
227,51.0
228,52.0
229,52.0
230,52.0
231,50.0
232,50.0
233,50.0
234,50.0
235,50.0
236,50.0
237,50.0
238,50.0
239,50.0
240,50.0
241,50.0
242,50.0
243,50.0
244,50.0
245,50.0
246,50.0
247,48.0
248,48.0
249,48.0
250,48.0
251,48.0
252,48.0
253,47.0
254,47.0
255,47.0
256,47.0
257,47.0
258,47.0
259,47.0
260,47.0
261,46.0
262,46.0
263,46.0
264,46.0
265,46.0
266,46.0
267,46.0
268,46.0
269,46.0
270,46.0
271,46.0
272,46.0
273,46.0
274,46.0
275,46.0
276,44.0
277,44.0
278,44.0
279,44.0
280,44.0
281,44.0
282,44.0
283,44.0
284,44.0
285,44.0
286,44.0
287,44.0
288,44.0
289,44.0
290,44.0
291,44.0
292,44.0
293,44.0
294,44.0
295,44.0
296,44.0
297,44.0
298,44.0
299,44.0
300,44.0
301,44.0
302,44.0
303,44.0
304,43.0
305,43.0
306,43.0
307,43.0
308,43.0
309,43.0
310,43.0
311,43.0
312,43.0
313,43.0
314,43.0
315,43.0
316,43.0
317,43.0
318,43.0
319,43.0
320,43.0
321,43.0
322,43.0
323,43.0
324,43.0
325,43.0
326,43.0
327,42.0
328,42.0
329,42.0
330,42.0
331,42.0
332,42.0
333,41.0
334,41.0
335,41.0
336,41.0
337,41.0
338,41.0
339,41.0
340,41.0
341,41.0
342,41.0
343,41.0
344,41.0
345,41.0
346,41.0
347,41.0
348,41.0
349,40.0
350,40.0
351,40.0
352,40.0
353,40.0
354,40.0
355,40.0
356,40.0
357,40.0
358,40.0
359,40.0
360,40.0
361,40.0
362,39.0
363,39.0
364,39.0
365,39.0
366,39.0
367,39.0
368,39.0
369,39.0
370,39.0
371,39.0
372,39.0
373,39.0
374,39.0
375,39.0
376,39.0
377,39.0
378,39.0
379,39.0
380,39.0
381,38.0
382,38.0
383,38.0
384,38.0
385,38.0
386,38.0
387,38.0
388,38.0
389,38.0
390,38.0
391,38.0
392,38.0
393,38.0
394,38.0
395,38.0
396,38.0
397,38.0
398,38.0
399,38.0
400,38.0
401,38.0
402,37.0
403,37.0
404,37.0
405,37.0
406,37.0
407,35.0
408,35.0
409,35.0
410,35.0
411,35.0
