,0
0,67.0
1,67.0
2,68.0
3,68.0
4,66.0
5,66.0
6,59.0
7,72.0
8,58.0
9,57.0
10,62.0
11,62.0
12,62.0
13,61.0
14,61.0
15,63.0
16,63.0
17,63.0
18,58.0
19,58.0
20,58.0
21,65.0
22,52.0
23,52.0
24,46.0
25,49.0
26,49.0
27,48.0
28,48.0
29,48.0
30,43.0
31,43.0
32,41.0
33,42.0
34,41.0
35,45.0
36,45.0
37,44.0
38,49.0
39,49.0
40,46.0
41,46.0
42,49.0
43,43.0
44,44.0
45,38.0
46,44.0
47,44.0
48,36.0
49,36.0
50,43.0
51,43.0
52,43.0
53,43.0
54,43.0
55,42.0
56,42.0
57,42.0
58,41.0
59,39.0
60,39.0
61,39.0
62,36.0
63,39.0
64,39.0
65,39.0
66,39.0
67,39.0
68,39.0
69,39.0
70,38.0
71,36.0
72,35.0
73,35.0
74,35.0
75,35.0
76,35.0
77,35.0
78,36.0
79,33.0
80,36.0
81,36.0
82,36.0
83,35.0
84,35.0
85,35.0
86,34.0
87,34.0
88,34.0
89,33.0
90,32.0
91,32.0
92,32.0
93,32.0
94,32.0
95,32.0
96,31.0
97,31.0
98,31.0
99,31.0
100,31.0
101,28.0
102,28.0
103,28.0
104,28.0
105,28.0
106,27.0
107,28.0
108,29.0
109,29.0
110,29.0
111,28.0
112,28.0
113,28.0
114,27.0
115,25.0
116,25.0
117,25.0
118,25.0
119,25.0
120,28.0
121,28.0
122,28.0
123,24.0
124,24.0
125,24.0
126,24.0
127,24.0
128,24.0
129,23.0
130,23.0
131,25.0
132,25.0
133,25.0
134,25.0
135,25.0
136,23.0
137,23.0
138,21.0
139,21.0
140,21.0
141,22.0
142,21.0
143,21.0
144,21.0
145,20.0
146,20.0
147,20.0
148,20.0
149,20.0
150,20.0
151,19.0
152,19.0
153,19.0
154,19.0
155,19.0
156,19.0
157,18.0
158,18.0
159,19.0
160,19.0
161,19.0
162,19.0
163,18.0
164,18.0
165,16.0
166,16.0
167,17.0
168,16.0
169,16.0
170,16.0
171,16.0
172,16.0
173,16.0
174,16.0
175,16.0
176,15.0
177,15.0
178,15.0
179,15.0
180,13.0
181,13.0
182,13.0
183,13.0
184,13.0
185,13.0
186,13.0
187,13.0
188,13.0
189,13.0
190,13.0
191,13.0
192,13.0
193,13.0
194,13.0
195,13.0
196,13.0
197,13.0
198,12.0
199,12.0
200,12.0
201,11.0
202,11.0
203,11.0
204,11.0
205,11.0
206,11.0
207,11.0
208,11.0
209,11.0
210,10.0
211,10.0
212,10.0
213,10.0
214,10.0
215,10.0
216,10.0
217,10.0
218,10.0
219,10.0
220,10.0
221,10.0
222,9.0
223,9.0
224,9.0
225,9.0
226,9.0
227,9.0
228,9.0
229,9.0
230,9.0
231,9.0
232,9.0
233,9.0
234,8.0
235,8.0
236,8.0
237,8.0
238,8.0
239,8.0
240,8.0
241,8.0
242,8.0
243,8.0
244,8.0
245,8.0
246,8.0
247,8.0
248,8.0
249,8.0
250,8.0
251,8.0
252,8.0
253,8.0
254,8.0
255,8.0
256,8.0
257,8.0
258,8.0
259,8.0
260,8.0
261,8.0
262,8.0
263,8.0
264,8.0
265,8.0
266,8.0
267,8.0
268,8.0
269,8.0
270,8.0
271,8.0
272,8.0
273,6.0
274,6.0
275,6.0
276,7.0
277,7.0
278,6.0
279,6.0
280,6.0
281,7.0
282,7.0
283,7.0
284,7.0
285,7.0
286,7.0
287,7.0
288,7.0
289,7.0
290,7.0
291,7.0
292,7.0
293,7.0
294,7.0
295,7.0
296,7.0
297,7.0
298,7.0
299,7.0
300,7.0
301,7.0
302,7.0
303,7.0
304,7.0
305,7.0
306,7.0
307,7.0
308,7.0
309,7.0
310,7.0
311,7.0
312,7.0
313,6.0
314,6.0
315,6.0
316,6.0
317,6.0
318,6.0
319,6.0
320,6.0
321,6.0
322,6.0
323,6.0
324,5.0
325,5.0
326,5.0
327,5.0
328,5.0
329,5.0
330,5.0
331,5.0
332,5.0
333,5.0
334,5.0
335,5.0
336,5.0
337,5.0
338,5.0
339,5.0
340,5.0
341,5.0
342,5.0
343,5.0
344,5.0
345,5.0
346,5.0
347,4.0
348,4.0
349,4.0
350,4.0
351,4.0
352,4.0
353,4.0
354,4.0
355,4.0
356,4.0
357,4.0
358,4.0
359,4.0
360,4.0
361,4.0
362,4.0
363,4.0
364,4.0
365,4.0
366,4.0
367,4.0
368,4.0
369,4.0
370,4.0
371,4.0
372,4.0
373,4.0
374,4.0
375,4.0
376,4.0
377,4.0
378,4.0
379,4.0
380,4.0
381,4.0
382,4.0
383,4.0
384,4.0
