,0
0,160.0
1,156.0
2,153.0
3,151.0
4,157.0
5,145.0
6,150.0
7,148.0
8,148.0
9,148.0
10,144.0
11,145.0
12,143.0
13,143.0
14,136.0
15,135.0
16,128.0
17,128.0
18,135.0
19,135.0
20,123.0
21,124.0
22,124.0
23,121.0
24,130.0
25,128.0
26,128.0
27,126.0
28,125.0
29,125.0
30,116.0
31,118.0
32,116.0
33,116.0
34,116.0
35,107.0
36,106.0
37,106.0
38,107.0
39,107.0
40,107.0
41,107.0
42,106.0
43,106.0
44,106.0
45,106.0
46,106.0
47,107.0
48,107.0
49,109.0
50,96.0
51,96.0
52,96.0
53,95.0
54,96.0
55,95.0
56,95.0
57,93.0
58,96.0
59,97.0
60,97.0
61,99.0
62,99.0
63,94.0
64,94.0
65,103.0
66,102.0
67,97.0
68,97.0
69,97.0
70,93.0
71,93.0
72,97.0
73,97.0
74,90.0
75,90.0
76,91.0
77,91.0
78,87.0
79,88.0
80,88.0
81,88.0
82,89.0
83,89.0
84,89.0
85,89.0
86,88.0
87,88.0
88,85.0
89,85.0
90,85.0
91,89.0
92,88.0
93,88.0
94,88.0
95,87.0
96,87.0
97,87.0
98,87.0
99,87.0
100,87.0
101,87.0
102,89.0
103,84.0
104,89.0
105,87.0
106,84.0
107,84.0
108,84.0
109,85.0
110,85.0
111,85.0
112,85.0
113,85.0
114,85.0
115,85.0
116,85.0
117,85.0
118,86.0
119,86.0
120,85.0
121,84.0
122,84.0
123,86.0
124,85.0
125,83.0
126,82.0
127,82.0
128,82.0
129,82.0
130,82.0
131,83.0
132,83.0
133,83.0
134,83.0
135,83.0
136,80.0
137,80.0
138,80.0
139,80.0
140,81.0
141,81.0
142,81.0
143,80.0
144,80.0
145,80.0
146,81.0
147,81.0
148,81.0
149,78.0
150,79.0
151,79.0
152,79.0
153,78.0
154,78.0
155,78.0
156,77.0
157,77.0
158,77.0
159,76.0
160,76.0
161,76.0
162,76.0
163,75.0
164,74.0
165,74.0
166,74.0
167,75.0
168,75.0
169,75.0
170,75.0
171,75.0
172,75.0
173,75.0
174,75.0
175,75.0
176,75.0
177,75.0
178,74.0
179,74.0
180,73.0
181,73.0
182,78.0
183,77.0
184,77.0
185,76.0
186,76.0
187,76.0
188,76.0
189,76.0
190,76.0
191,76.0
192,76.0
193,76.0
194,75.0
195,73.0
196,73.0
197,73.0
198,73.0
199,73.0
200,73.0
201,72.0
202,72.0
203,71.0
204,71.0
205,71.0
206,71.0
207,71.0
208,71.0
209,73.0
210,72.0
211,72.0
212,72.0
213,72.0
214,72.0
215,72.0
216,72.0
217,72.0
218,71.0
219,70.0
220,70.0
221,72.0
222,72.0
223,72.0
224,72.0
225,71.0
226,71.0
227,71.0
228,71.0
229,69.0
230,69.0
231,69.0
232,69.0
233,69.0
234,69.0
235,69.0
236,69.0
237,69.0
238,73.0
239,73.0
240,72.0
241,72.0
242,73.0
243,68.0
244,68.0
245,68.0
246,68.0
247,68.0
248,67.0
249,67.0
250,67.0
251,68.0
252,68.0
253,68.0
254,68.0
255,68.0
256,68.0
257,68.0
258,66.0
259,66.0
260,66.0
261,66.0
262,66.0
263,66.0
264,66.0
265,66.0
266,66.0
267,66.0
268,66.0
269,66.0
270,65.0
271,65.0
272,65.0
273,67.0
274,66.0
275,66.0
276,65.0
277,65.0
278,65.0
279,65.0
280,65.0
281,68.0
282,68.0
283,68.0
284,68.0
285,68.0
286,67.0
287,70.0
288,70.0
289,70.0
290,70.0
291,70.0
292,70.0
293,70.0
294,68.0
295,68.0
296,68.0
297,68.0
298,67.0
299,67.0
300,67.0
301,67.0
302,67.0
303,67.0
304,65.0
305,65.0
306,65.0
307,65.0
308,63.0
309,63.0
310,63.0
311,63.0
312,63.0
313,63.0
314,64.0
315,64.0
316,64.0
317,61.0
318,61.0
319,61.0
320,61.0
321,61.0
322,61.0
323,61.0
324,61.0
325,61.0
326,61.0
327,61.0
328,61.0
329,61.0
330,61.0
331,61.0
332,61.0
333,61.0
334,61.0
335,61.0
336,61.0
337,61.0
338,61.0
339,61.0
340,61.0
341,61.0
342,61.0
343,61.0
344,61.0
345,61.0
346,58.0
347,58.0
348,58.0
349,58.0
350,58.0
351,58.0
352,58.0
353,58.0
354,58.0
355,58.0
356,58.0
357,58.0
358,58.0
359,58.0
360,58.0
361,57.0
362,57.0
363,57.0
364,57.0
365,57.0
366,57.0
367,57.0
368,57.0
369,56.0
370,56.0
371,56.0
372,56.0
373,55.0
374,55.0
375,55.0
376,56.0
377,56.0
378,56.0
379,56.0
380,56.0
381,56.0
382,56.0
383,56.0
384,55.0
385,55.0
386,58.0
387,56.0
388,56.0
389,55.0
390,54.0
391,54.0
392,54.0
393,54.0
394,54.0
395,54.0
396,55.0
397,54.0
398,54.0
399,53.0
400,53.0
401,53.0
402,53.0
403,53.0
404,53.0
405,53.0
406,53.0
407,53.0
408,53.0
409,53.0
410,53.0
