,0
0,127.0
1,108.0
2,116.0
3,116.0
4,105.0
5,103.0
6,110.0
7,103.0
8,100.0
9,100.0
10,100.0
11,111.0
12,111.0
13,97.0
14,106.0
15,98.0
16,103.0
17,95.0
18,98.0
19,92.0
20,86.0
21,92.0
22,92.0
23,86.0
24,86.0
25,89.0
26,79.0
27,79.0
28,81.0
29,81.0
30,81.0
31,84.0
32,84.0
33,86.0
34,79.0
35,83.0
36,83.0
37,83.0
38,83.0
39,78.0
40,78.0
41,78.0
42,73.0
43,73.0
44,85.0
45,71.0
46,71.0
47,72.0
48,72.0
49,72.0
50,72.0
51,67.0
52,67.0
53,71.0
54,71.0
55,71.0
56,71.0
57,74.0
58,74.0
59,63.0
60,61.0
61,60.0
62,60.0
63,61.0
64,61.0
65,55.0
66,55.0
67,54.0
68,56.0
69,60.0
70,60.0
71,60.0
72,60.0
73,60.0
74,62.0
75,62.0
76,62.0
77,63.0
78,61.0
79,59.0
80,63.0
81,60.0
82,60.0
83,60.0
84,60.0
85,60.0
86,61.0
87,61.0
88,61.0
89,55.0
90,54.0
91,53.0
92,53.0
93,53.0
94,56.0
95,56.0
96,56.0
97,56.0
98,55.0
99,53.0
100,53.0
101,49.0
102,49.0
103,49.0
104,49.0
105,49.0
106,49.0
107,50.0
108,50.0
109,50.0
110,50.0
111,50.0
112,50.0
113,50.0
114,50.0
115,50.0
116,50.0
117,50.0
118,47.0
119,47.0
120,47.0
121,47.0
122,46.0
123,46.0
124,46.0
125,46.0
126,46.0
127,45.0
128,44.0
129,44.0
130,46.0
131,46.0
132,46.0
133,44.0
134,45.0
135,45.0
136,45.0
137,45.0
138,44.0
139,44.0
140,42.0
141,42.0
142,42.0
143,42.0
144,42.0
145,42.0
146,42.0
147,42.0
148,43.0
149,43.0
150,43.0
151,42.0
152,40.0
153,40.0
154,40.0
155,43.0
156,43.0
157,40.0
158,41.0
159,41.0
160,41.0
161,41.0
162,42.0
163,42.0
164,42.0
165,42.0
166,42.0
167,42.0
168,42.0
169,42.0
170,41.0
171,41.0
172,41.0
173,40.0
174,40.0
175,40.0
176,39.0
177,39.0
178,39.0
179,39.0
180,39.0
181,39.0
182,39.0
183,38.0
184,38.0
185,38.0
186,38.0
187,38.0
188,38.0
189,38.0
190,38.0
191,37.0
192,37.0
193,37.0
194,36.0
195,36.0
196,36.0
197,36.0
198,36.0
199,36.0
200,35.0
201,35.0
202,35.0
203,35.0
204,35.0
205,35.0
206,35.0
207,35.0
208,34.0
209,35.0
210,35.0
211,34.0
212,34.0
213,34.0
214,34.0
215,35.0
216,35.0
217,35.0
218,34.0
219,34.0
220,33.0
221,35.0
222,35.0
223,35.0
224,34.0
225,32.0
226,32.0
227,32.0
228,32.0
229,32.0
230,32.0
231,32.0
232,33.0
233,33.0
234,33.0
235,30.0
236,30.0
237,30.0
238,30.0
239,30.0
240,30.0
241,30.0
242,30.0
243,30.0
244,30.0
245,30.0
246,31.0
247,31.0
248,31.0
249,30.0
250,30.0
251,29.0
252,29.0
253,29.0
254,29.0
255,29.0
256,29.0
257,29.0
258,30.0
259,30.0
260,30.0
261,30.0
262,29.0
263,30.0
264,29.0
265,29.0
266,29.0
267,29.0
268,29.0
269,28.0
270,28.0
271,28.0
272,28.0
273,28.0
274,26.0
275,26.0
276,26.0
277,26.0
278,26.0
279,26.0
280,26.0
281,25.0
282,25.0
283,25.0
284,25.0
285,25.0
286,25.0
287,25.0
288,25.0
289,25.0
290,25.0
291,25.0
292,25.0
293,25.0
294,24.0
295,24.0
296,24.0
297,23.0
298,23.0
299,23.0
300,23.0
301,25.0
302,25.0
303,25.0
304,25.0
305,25.0
306,25.0
307,24.0
308,23.0
309,23.0
310,23.0
311,23.0
312,23.0
313,23.0
314,23.0
315,22.0
316,22.0
317,22.0
318,22.0
319,22.0
320,22.0
321,22.0
322,22.0
323,22.0
324,22.0
325,22.0
326,22.0
327,22.0
328,22.0
329,22.0
330,22.0
331,21.0
332,21.0
333,21.0
334,21.0
335,21.0
336,21.0
337,21.0
338,21.0
339,21.0
340,21.0
341,21.0
342,21.0
343,21.0
344,21.0
345,21.0
346,21.0
347,21.0
348,21.0
349,21.0
350,21.0
351,21.0
352,21.0
353,20.0
354,20.0
355,20.0
356,20.0
357,20.0
358,20.0
359,19.0
360,19.0
361,19.0
362,19.0
363,19.0
364,19.0
365,19.0
366,19.0
367,19.0
368,19.0
369,19.0
370,18.0
371,18.0
372,18.0
373,18.0
374,18.0
375,18.0
376,18.0
377,18.0
378,18.0
379,18.0
380,18.0
381,18.0
382,18.0
383,18.0
384,18.0
385,18.0
386,18.0
387,18.0
388,18.0
389,18.0
390,18.0
391,18.0
392,18.0
393,18.0
394,18.0
395,18.0
396,18.0
397,18.0
398,18.0
399,18.0
400,18.0
401,18.0
402,18.0
403,18.0
404,18.0
405,18.0
406,18.0
407,18.0
408,18.0
409,18.0
410,20.0
411,20.0
412,20.0
413,20.0
414,20.0
415,20.0
416,20.0
417,19.0
418,19.0
419,19.0
420,19.0
421,19.0
422,19.0
423,19.0
424,19.0
425,19.0
426,19.0
427,19.0
428,19.0
429,19.0
430,19.0
431,19.0
432,19.0
433,19.0
434,19.0
435,19.0
436,19.0
437,19.0
438,19.0
439,19.0
440,19.0
441,19.0
442,19.0
443,19.0
444,19.0
445,19.0
446,19.0
447,19.0
448,19.0
449,19.0
450,19.0
451,19.0
452,19.0
453,19.0
454,19.0
455,19.0
456,19.0
457,19.0
458,19.0
459,19.0
460,19.0
461,19.0
462,19.0
463,19.0
464,20.0
465,20.0
466,19.0
467,19.0
468,19.0
469,19.0
470,19.0
471,19.0
472,19.0
473,19.0
474,19.0
475,19.0
476,19.0
477,19.0
478,19.0
479,19.0
480,19.0
481,19.0
482,19.0
483,19.0
484,19.0
485,19.0
486,19.0
487,19.0
488,19.0
489,19.0
490,19.0
491,19.0
492,19.0
493,19.0
494,19.0
495,19.0
496,19.0
497,19.0
498,19.0
499,19.0
500,19.0
501,19.0
502,19.0
503,19.0
504,19.0
505,19.0
506,19.0
507,19.0
508,19.0
509,19.0
510,19.0
511,19.0
512,19.0
513,19.0
514,19.0
515,19.0
516,19.0
517,19.0
518,19.0
519,19.0
520,19.0
521,19.0
522,19.0
523,19.0
524,19.0
525,19.0
526,18.0
527,18.0
528,18.0
529,18.0
530,18.0
531,18.0
532,18.0
533,18.0
534,18.0
535,18.0
536,18.0
537,18.0
538,18.0
539,18.0
540,18.0
541,18.0
542,18.0
543,18.0
544,18.0
545,18.0
546,18.0
547,18.0
548,18.0
549,17.0
550,17.0
551,17.0
552,17.0
553,17.0
554,17.0
555,17.0
556,17.0
557,17.0
558,17.0
559,17.0
560,17.0
561,17.0
562,17.0
563,17.0
564,17.0
565,17.0
566,17.0
567,17.0
568,17.0
569,17.0
570,19.0
571,19.0
572,19.0
573,19.0
574,19.0
575,19.0
576,19.0
577,19.0
578,19.0
579,19.0
580,19.0
581,18.0
582,18.0
583,18.0
584,18.0
585,20.0
586,20.0
587,20.0
588,20.0
589,18.0
590,18.0
591,18.0
592,18.0
593,18.0
594,18.0
595,18.0
596,18.0
597,18.0
598,18.0
599,20.0
600,20.0
601,20.0
602,20.0
603,20.0
604,20.0
605,21.0
606,21.0
607,21.0
608,21.0
609,21.0
610,21.0
611,21.0
612,20.0
613,20.0
614,20.0
615,20.0
616,20.0
617,20.0
618,19.0
619,19.0
620,19.0
621,19.0
622,18.0
623,18.0
624,18.0
625,18.0
626,18.0
627,17.0
628,17.0
629,17.0
630,17.0
631,17.0
632,17.0
633,17.0
634,17.0
635,17.0
636,17.0
637,17.0
638,17.0
639,17.0
640,17.0
641,17.0
642,17.0
643,17.0
644,17.0
645,16.0
646,16.0
647,16.0
648,16.0
649,16.0
650,16.0
651,16.0
652,16.0
653,16.0
654,16.0
655,16.0
656,16.0
657,16.0
658,16.0
659,16.0
660,16.0
661,16.0
662,16.0
663,16.0
664,16.0
665,16.0
666,16.0
667,16.0
668,16.0
669,16.0
670,16.0
671,16.0
672,16.0
673,16.0
674,16.0
675,16.0
676,16.0
677,16.0
678,16.0
679,16.0
680,16.0
681,16.0
682,15.0
683,15.0
684,15.0
685,15.0
686,15.0
687,15.0
688,15.0
689,13.0
690,13.0
691,13.0
692,13.0
693,13.0
694,13.0
695,13.0
696,13.0
697,13.0
698,13.0
699,13.0
700,13.0
701,13.0
702,13.0
703,13.0
704,13.0
705,13.0
706,13.0
707,13.0
708,13.0
709,13.0
710,13.0
711,13.0
712,13.0
713,13.0
714,13.0
715,13.0
716,13.0
717,13.0
718,13.0
719,13.0
720,13.0
721,13.0
722,13.0
723,13.0
724,13.0
725,13.0
726,13.0
727,13.0
728,13.0
729,13.0
730,13.0
731,13.0
732,13.0
733,13.0
734,13.0
735,13.0
736,13.0
737,13.0
738,13.0
739,13.0
740,13.0
741,13.0
742,12.0
743,12.0
744,12.0
745,12.0
746,12.0
747,12.0
748,12.0
749,12.0
750,12.0
751,12.0
752,12.0
753,12.0
754,12.0
755,12.0
756,12.0
757,12.0
758,12.0
759,12.0
760,12.0
761,12.0
762,12.0
763,12.0
764,12.0
765,12.0
766,12.0
767,12.0
768,12.0
769,12.0
770,12.0
771,12.0
772,12.0
773,12.0
774,12.0
775,12.0
776,12.0
777,12.0
778,12.0
779,12.0
780,12.0
781,12.0
782,12.0
783,12.0
784,12.0
785,12.0
786,12.0
787,12.0
788,12.0
789,12.0
790,12.0
791,12.0
792,12.0
793,12.0
794,12.0
795,12.0
796,12.0
797,12.0
798,12.0
799,12.0
800,12.0
801,12.0
802,12.0
803,12.0
804,12.0
805,12.0
806,12.0
807,12.0
808,12.0
809,12.0
810,12.0
811,12.0
812,12.0
813,12.0
814,12.0
815,12.0
816,12.0
817,12.0
818,12.0
819,12.0
820,12.0
821,12.0
822,12.0
823,12.0
824,12.0
825,12.0
826,14.0
827,14.0
828,14.0
829,12.0
830,12.0
831,12.0
832,12.0
833,12.0
834,12.0
835,12.0
836,12.0
837,12.0
838,12.0
839,12.0
840,12.0
841,12.0
842,12.0
843,12.0
844,12.0
845,12.0
846,12.0
847,12.0
848,12.0
849,12.0
850,12.0
851,12.0
852,12.0
853,12.0
854,12.0
855,12.0
856,12.0
857,12.0
858,12.0
859,12.0
860,12.0
861,12.0
862,12.0
863,12.0
864,12.0
865,12.0
866,12.0
867,12.0
868,12.0
869,12.0
870,11.0
871,11.0
872,11.0
873,11.0
874,11.0
875,11.0
876,11.0
877,11.0
878,11.0
879,11.0
880,11.0
881,11.0
882,11.0
883,11.0
884,11.0
885,11.0
886,11.0
887,11.0
888,11.0
889,11.0
890,11.0
891,10.0
892,10.0
893,10.0
894,10.0
895,10.0
896,10.0
897,10.0
898,10.0
899,10.0
900,10.0
901,10.0
902,10.0
903,10.0
904,10.0
905,10.0
906,10.0
907,10.0
908,10.0
909,10.0
910,10.0
911,10.0
912,10.0
913,10.0
914,10.0
915,9.0
916,9.0
917,9.0
918,9.0
919,9.0
920,9.0
921,9.0
922,9.0
923,9.0
924,9.0
925,9.0
926,9.0
927,9.0
928,9.0
929,9.0
930,9.0
931,9.0
932,9.0
933,9.0
934,9.0
935,9.0
936,9.0
937,9.0
938,9.0
939,9.0
940,9.0
941,9.0
942,9.0
943,9.0
944,9.0
945,9.0
946,9.0
947,9.0
948,9.0
949,9.0
950,9.0
951,9.0
952,9.0
953,9.0
954,9.0
955,9.0
956,9.0
957,9.0
958,9.0
959,9.0
960,9.0
961,9.0
962,9.0
963,9.0
964,9.0
965,9.0
966,9.0
967,9.0
968,9.0
969,9.0
970,9.0
971,9.0
972,9.0
973,9.0
974,9.0
975,9.0
976,9.0
977,9.0
978,9.0
979,9.0
980,9.0
981,9.0
982,9.0
983,9.0
984,9.0
985,9.0
986,8.0
987,8.0
988,8.0
989,8.0
