,0
0,77.5901465333
1,77.5901465333
2,77.5901465333
3,77.0192569333
4,69.0857478667
5,67.5043826667
6,67.5043826667
7,62.9559018667
8,60.5777982667
9,49.9177376
10,49.9177376
11,49.9177376
12,42.8285397333
13,42.2718216
14,39.8689088
15,35.9606413333
16,35.4989714667
17,33.9261262667
18,33.0527358667
19,27.9053561333
20,27.9053561333
21,26.1336110667
22,26.1336110667
23,23.894608
24,23.894608
25,22.9278898667
26,22.9278898667
27,22.8230613333
28,19.6482189333
29,18.1969761333
30,18.1969761333
31,18.1969761333
32,17.7323718667
33,15.3477242667
34,15.3477242667
35,12.9473122667
36,12.9473122667
37,12.9473122667
38,12.9473122667
39,10.7056022667
40,10.1731776
41,9.7164604
42,8.6952952
43,8.6894489333
44,7.9132729333
45,7.4616954667
46,7.4616954667
47,6.7009724
48,6.6792116
49,6.6791768
50,6.6485674667
51,6.5536668
52,6.5536668
53,6.5536668
54,6.20925
55,6.0336774667
56,6.0336774667
57,6.0142270667
58,6.0142188
59,5.6311765333
60,5.6311765333
61,4.8629104
62,4.8629104
63,4.8629104
64,4.7091498667
65,4.7091498667
66,4.5103069333
67,4.5103069333
68,4.5103069333
69,4.5103069333
70,4.5103069333
71,4.1697236
72,4.0414712
73,4.0414530667
74,4.0246492
75,3.9981876
76,3.7173085333
77,3.6111198667
78,3.6111198667
79,3.5978386667
80,3.2530354667
81,3.2530354667
82,3.2530354667
83,2.7824098667
84,2.7824098667
85,2.7824098667
86,2.7824098667
87,2.6923809333
88,2.6923809333
89,2.6923809333
90,2.5605314667
91,2.5605314667
92,2.5605314667
93,2.4511209333
94,2.4511209333
95,2.2462105333
96,2.2462105333
97,2.2462105333
98,2.2126168
99,2.2126168
100,2.2126168
101,2.2126168
102,2.2126168
103,2.1978634667
104,2.1148717333
105,2.1148717333
106,2.1099564
107,1.9929086667
108,1.9880288
109,1.9880288
110,1.8879382667
111,1.8879382667
112,1.8879382667
113,1.8879382667
114,1.8830002667
115,1.8827438667
116,1.8827438667
117,1.8827438667
118,1.7856442667
119,1.7856442667
120,1.7803009333
121,1.7803009333
122,1.7803009333
123,1.7802196
124,1.7769766667
125,1.7769766667
126,1.7693568
127,1.672826
128,1.672826
129,1.6727849333
130,1.6727098667
131,1.6727098667
132,1.6626098667
133,1.6281209333
134,1.6280845333
135,1.6280845333
136,1.5632202667
137,1.4067090667
138,1.4067090667
139,1.4066789333
140,1.4066789333
141,1.0482174667
142,1.0482174667
143,1.0482006667
144,1.0482006667
145,1.0482006667
146,1.0482006667
147,1.0481846667
148,1.0481429333
149,1.0385769333
150,0.9342006667
151,0.9342006667
152,0.9342006667
153,0.9342006667
154,0.9342006667
155,0.9342006667
156,0.9239373333
157,0.9239373333
158,0.9218790667
159,0.9218790667
160,0.9218790667
161,0.9218790667
162,0.9217634667
163,0.9190254667
164,0.9190254667
165,0.8963630667
166,0.8963630667
167,0.8963630667
168,0.8963630667
169,0.8963630667
170,0.8963630667
171,0.8963630667
172,0.8212489333
173,0.8212489333
174,0.8212489333
175,0.8212489333
176,0.8212085333
177,0.8191870667
178,0.8191592
179,0.8191592
180,0.8160764
181,0.8051192
182,0.8051192
183,0.8051192
184,0.8051192
185,0.8037128
186,0.8037128
187,0.8037128
188,0.8035726667
189,0.7137073333
190,0.6386394667
191,0.6386394667
192,0.5517292
193,0.5517292
194,0.5517292
195,0.5517292
196,0.5125697333
197,0.5125697333
198,0.5125466667
199,0.5123066667
200,0.4832672
201,0.4832672
202,0.4832096
203,0.4832096
204,0.4832056
205,0.4832056
206,0.4832056
207,0.4831885333
208,0.4831885333
209,0.4831885333
210,0.4831885333
211,0.4831885333
212,0.4831581333
213,0.4831581333
214,0.3600330667
215,0.3600330667
216,0.3599764
217,0.3599630667
218,0.3599630667
219,0.3599630667
220,0.3599582667
221,0.359922
222,0.3598385333
223,0.3598385333
224,0.3598385333
225,0.3598172
226,0.3597768
227,0.3597225333
228,0.3597225333
229,0.3597210667
230,0.3596596
231,0.359648
232,0.3596001333
233,0.3596001333
234,0.3595201333
235,0.3595174667
236,0.3593957333
237,0.3593957333
238,0.3593957333
239,0.3593909333
240,0.3593049333
241,0.3593049333
242,0.3593049333
243,0.3593049333
244,0.3593049333
245,0.3592121333
246,0.3592044
247,0.3591786667
248,0.3591786667
249,0.3591421333
250,0.3591421333
