,0
0,36.12646528
1,26.5125552
2,25.44594016
3,18.94290832
4,18.94290832
5,18.94290832
6,17.81018848
7,16.99643072
8,16.02820048
9,14.28604864
10,14.28604864
11,9.56171232
12,9.56171232
13,9.19229232
14,9.19229232
15,9.177776
16,6.66524432
17,6.60316448
18,6.60316448
19,6.60316448
20,6.60316448
21,3.51438896
22,3.51438896
23,3.51438896
24,3.51438896
25,2.71696352
26,2.68842368
27,2.68842368
28,2.68842368
29,2.1976864
30,2.0076664
31,2.0076664
32,2.00760496
33,1.64416656
34,1.38382528
35,1.12301888
36,1.12301888
37,1.12296688
38,1.12296
39,1.12296
40,0.92712688
41,0.90428304
42,0.90421568
43,0.90421568
44,0.90403088
45,0.88342272
46,0.88342272
47,0.7337656
48,0.7337656
49,0.7337656
50,0.7337656
51,0.7337384
52,0.71209008
53,0.71209008
54,0.67525088
55,0.55966752
56,0.55966752
57,0.45242608
58,0.45242608
59,0.45242208
60,0.43646512
61,0.43646512
62,0.43646512
63,0.31905536
64,0.29879424
65,0.29868464
66,0.29868464
67,0.29867792
68,0.29864624
69,0.28312112
70,0.28312112
71,0.28311808
72,0.28311808
73,0.28311808
74,0.2830344
75,0.27292032
76,0.27292032
77,0.2727536
78,0.27267712
79,0.26541984
80,0.265384
81,0.2653632
82,0.13411552
83,0.13411552
84,0.13400624
85,0.13387552
86,0.13387552
87,0.13385632
88,0.1337024
89,0.13369744
90,0.02127984
91,0.02107392
92,0.02104144
93,0.02104144
94,0.02100768
95,0.02097536
96,0.02085296
97,0.02085296
98,0.02085296
99,0.02085296
100,0.02064224
101,0.02064224
102,0.02064224
103,0.02064224
104,0.02059968
105,0.02059968
106,0.02059968
107,0.02059968
108,0.0205488
109,0.02054064
110,0.0204968
111,0.0204968
112,0.02039952
113,0.02037888
114,0.02037888
115,0.02037888
116,0.02037888
117,0.02037888
118,0.02028816
119,0.0202744
120,0.0202744
121,0.0202744
122,0.0202744
123,0.0202744
124,0.02015664
125,0.02015664
126,0.02010096
127,0.02010096
128,0.02005104
129,0.02005104
130,0.01989232
131,0.01989232
132,0.01989232
133,0.01969312
134,0.01969312
135,0.01969312
136,0.01969312
137,0.01969312
138,0.01966528
139,0.01966528
140,0.0196608
141,0.01951792
142,0.01951792
143,0.01951792
144,0.01951792
145,0.01951792
146,0.01951792
147,0.01951792
148,0.01947296
149,0.01947296
150,0.01946704
151,0.01946704
152,0.01942224
153,0.01942224
154,0.0193848
155,0.0193848
156,0.0193848
157,0.0193848
158,0.0193296
159,0.01929888
160,0.01929888
161,0.0192712
162,0.0192712
163,0.01926112
164,0.01926112
165,0.01925248
166,0.01921216
167,0.01921216
168,0.01921216
169,0.01921216
170,0.01919312
171,0.01919312
172,0.01913728
173,0.01913728
174,0.01912736
175,0.01912736
176,0.01907936
177,0.01904576
178,0.01904576
179,0.01898128
180,0.01898128
181,0.01898128
182,0.01896
183,0.01896
184,0.01895648
185,0.01895648
186,0.01893776
187,0.01893776
188,0.01891264
189,0.01891264
190,0.0189024
191,0.0189024
192,0.0189024
193,0.01885776
194,0.01885776
195,0.01885776
196,0.01881248
197,0.01881248
198,0.01880496
199,0.01880496
200,0.01880496
201,0.01879792
202,0.01879792
203,0.01879792
204,0.01879744
205,0.01878624
206,0.0187856
207,0.0187856
208,0.01877872
209,0.01877872
210,0.01873696
211,0.01873696
212,0.01873696
213,0.01872256
214,0.01868688
215,0.01868688
216,0.01868592
217,0.01867696
218,0.0186552
219,0.0186552
220,0.0186552
221,0.01863264
222,0.01862656
223,0.01861616
224,0.01861616
225,0.0186032
226,0.0186032
227,0.0186032
228,0.0186032
229,0.01859152
230,0.01859152
231,0.01856176
232,0.01856176
233,0.01856
234,0.01856
235,0.01856
236,0.01856
237,0.01856
238,0.01856
239,0.01856
240,0.01852896
241,0.0185104
242,0.0185104
243,0.0185104
244,0.01848224
245,0.01847456
246,0.01847456
247,0.01846752
248,0.01845456
249,0.01845456
250,0.01844736
251,0.0184016
252,0.0184016
253,0.0184016
254,0.01837168
255,0.01837168
256,0.01837168
257,0.01833968
258,0.01833968
259,0.01833968
260,0.01828832
261,0.01822176
262,0.01822176
263,0.01822176
264,0.01822176
265,0.01819216
266,0.01819216
267,0.01819216
268,0.01819216
269,0.01819216
270,0.01819216
271,0.01819216
272,0.01819216
273,0.01819024
274,0.01817472
275,0.01814
276,0.01814
277,0.01814
278,0.01814
279,0.01812976
280,0.01809088
281,0.01809088
282,0.01799984
283,0.01799584
284,0.01798608
285,0.01795504
286,0.01795504
287,0.01795504
288,0.01792736
289,0.01792736
290,0.01792304
291,0.01792304
292,0.01787168
293,0.01787168
294,0.01787168
295,0.01787168
296,0.01787168
297,0.01787168
298,0.01787168
299,0.017864
300,0.017864
301,0.01783568
302,0.01782128
303,0.01782128
304,0.01782128
305,0.01782128
306,0.01782128
307,0.01782128
308,0.01782128
309,0.01782128
310,0.01782128
311,0.01782128
312,0.01782128
313,0.01782128
314,0.01781504
315,0.01781504
316,0.01778432
317,0.01778432
318,0.01778432
319,0.01776624
320,0.0177568
321,0.0177568
322,0.01773152
323,0.01773152
324,0.01773152
325,0.01773152
326,0.01773152
327,0.01773152
328,0.01773152
329,0.01770352
330,0.01770352
331,0.0176984
332,0.0176984
333,0.01769712
334,0.01769584
335,0.01769584
336,0.01769584
337,0.01769584
338,0.01767104
339,0.01767104
340,0.01763328
341,0.01763328
342,0.01763328
343,0.01763328
344,0.01763328
345,0.01763328
346,0.0176088
347,0.0176088
348,0.01759568
349,0.01759568
350,0.01759568
351,0.01759568
352,0.01759568
353,0.01758512
354,0.01758512
355,0.01758512
356,0.017572
