,0
0,0.8224767
1,0.5477107
2,0.5477107
3,0.539497
4,0.5394147
5,0.5394147
6,0.4321408
7,0.1221173
8,0.1221173
9,0.1221111
10,0.1220273
11,0.1220164
12,0.1220164
13,0.0197703
14,0.0197703
15,0.0197703
16,0.0196753
17,0.0196621
18,0.0196118
19,0.0196118
20,0.0195603
21,0.0195603
22,0.019435
23,0.019435
24,0.019428
25,0.0193751
26,0.0193686
27,0.0193338
28,0.0193338
29,0.0192161
30,0.0192161
31,0.0191829
32,0.0191317
33,0.0191317
34,0.0191205
35,0.0191033
36,0.0190548
37,0.0190379
38,0.0190287
39,0.0190119
40,0.0190057
41,0.0189292
42,0.0189053
43,0.018896
44,0.0188419
45,0.0188419
46,0.0188036
47,0.0187833
48,0.0187588
49,0.0187059
50,0.0187059
51,0.0186876
52,0.0186774
53,0.0186344
54,0.0185844
55,0.018556
56,0.0185468
57,0.0185155
58,0.0184342
59,0.0184342
60,0.0184342
61,0.0184031
62,0.0183789
63,0.0183561
64,0.0183094
65,0.0183094
66,0.0183094
67,0.0182647
68,0.0182647
69,0.0182252
70,0.0182252
71,0.0181777
72,0.0181777
73,0.018117
74,0.018117
75,0.0181039
76,0.0181007
77,0.0180905
78,0.0180501
79,0.0179883
80,0.0179883
81,0.0179515
82,0.017921
83,0.0179145
84,0.0179145
85,0.0179142
86,0.0179142
87,0.0178241
88,0.0178241
89,0.0178241
90,0.0178241
91,0.0178241
92,0.0178241
93,0.0177903
94,0.0177799
95,0.0177799
96,0.0177492
97,0.0177492
98,0.0177147
99,0.0177094
100,0.0176713
101,0.0176713
102,0.0176713
103,0.0176713
104,0.0176155
105,0.0176155
106,0.0176085
107,0.0176085
108,0.0176085
109,0.0176005
110,0.0176005
111,0.0175714
112,0.0175425
113,0.0175425
114,0.0175425
115,0.0175133
116,0.0175133
117,0.0175005
118,0.0174957
119,0.0174957
120,0.017493
121,0.0174657
122,0.0174246
123,0.0174246
124,0.0174045
125,0.0174041
126,0.0173889
127,0.0173889
128,0.0173725
129,0.0173725
130,0.0173316
131,0.0173316
132,0.0173218
133,0.0173218
134,0.0172994
135,0.0172904
136,0.0172894
137,0.0172638
138,0.0172638
139,0.017257
140,0.0172279
141,0.017216
142,0.017216
143,0.0172064
144,0.0171816
145,0.0171816
146,0.0171816
147,0.0171816
148,0.0171816
149,0.0171723
150,0.0171723
151,0.0171659
152,0.0171659
153,0.0171659
154,0.0171654
155,0.0171532
156,0.0171532
157,0.0171532
158,0.0171532
159,0.0171532
160,0.0171524
161,0.0171166
162,0.0171166
163,0.0171166
164,0.0171034
165,0.0171034
166,0.0171034
167,0.0171032
168,0.0171032
169,0.0171014
170,0.0170592
171,0.0170592
172,0.0170592
173,0.0170592
174,0.0170592
175,0.0170337
176,0.0170115
177,0.0170115
178,0.0170115
179,0.0170068
180,0.0170041
181,0.0170018
182,0.0170018
183,0.0169775
184,0.0169559
185,0.0169559
186,0.0169559
187,0.0169559
188,0.0169334
189,0.0169334
190,0.0169316
191,0.0169316
192,0.0169316
193,0.0169316
194,0.0169316
195,0.0169275
196,0.016924
197,0.0169096
198,0.0169072
199,0.0169072
200,0.0169072
201,0.0169072
202,0.0169072
203,0.0169046
204,0.0169046
205,0.0168989
206,0.0168989
207,0.0168813
208,0.0168813
209,0.0168813
210,0.0168661
211,0.0168661
212,0.0168661
213,0.0168661
214,0.0168408
215,0.0168327
216,0.0168327
217,0.0168327
218,0.0168327
219,0.0168327
220,0.0168327
221,0.0168221
222,0.0168128
223,0.0168122
224,0.0167953
225,0.016792
226,0.016792
227,0.016792
228,0.0167825
229,0.0167825
230,0.0167825
231,0.0167705
232,0.0167705
233,0.0167705
234,0.0167705
235,0.0167649
236,0.0167559
237,0.0167559
238,0.0167559
239,0.0167555
240,0.0167506
241,0.016739
242,0.016739
243,0.0167288
244,0.0167224
245,0.0167224
246,0.0167224
247,0.0167198
248,0.0167198
249,0.0167198
250,0.0167172
251,0.0167172
252,0.0167172
253,0.0167003
254,0.0167003
255,0.0166936
256,0.0166918
257,0.0166918
258,0.0166797
259,0.0166765
260,0.0166765
261,0.0166765
262,0.0166765
263,0.0166765
264,0.0166584
265,0.0166584
266,0.0166506
267,0.0166506
268,0.0166506
269,0.016646
270,0.016646
271,0.0166358
272,0.0166358
273,0.0166221
274,0.016613
275,0.016613
276,0.0166015
277,0.0166015
278,0.0165979
279,0.0165843
280,0.0165843
281,0.0165826
282,0.0165587
283,0.0165587
284,0.0165587
285,0.0165587
286,0.0165587
287,0.0165587
288,0.0165587
289,0.0165587
290,0.0165575
291,0.0165442
292,0.0165442
293,0.0165442
294,0.0165366
295,0.0165366
296,0.0165366
297,0.0165321
298,0.0165321
299,0.0165319
300,0.0165319
301,0.0165276
302,0.0165276
303,0.0165264
304,0.016525
305,0.0165171
306,0.0165171
307,0.0165145
308,0.0165145
309,0.016512
310,0.0165092
311,0.0165092
312,0.0165081
313,0.0165028
314,0.0165028
315,0.0165005
316,0.0165005
317,0.0164964
318,0.0164924
319,0.0164915
320,0.0164747
321,0.0164745
322,0.0164695
323,0.0164656
324,0.0164649
325,0.0164649
326,0.0164485
327,0.0164429
328,0.0164397
329,0.0164364
330,0.0164364
331,0.0164364
332,0.0164364
333,0.0164364
334,0.0164288
335,0.0164288
336,0.0164288
337,0.0164234
338,0.0164234
339,0.0164234
340,0.0164234
341,0.0164234
342,0.0164234
343,0.016418
344,0.016418
345,0.016418
346,0.0164146
347,0.0164146
348,0.0164143
349,0.0164112
350,0.0164112
351,0.0164112
352,0.0164112
353,0.0164112
354,0.0164112
355,0.0164065
356,0.0164019
357,0.0164019
358,0.0164019
359,0.0164019
360,0.0163936
361,0.0163936
362,0.0163936
363,0.0163936
364,0.0163936
365,0.0163906
366,0.0163906
367,0.0163906
368,0.0163902
369,0.0163902
370,0.0163902
371,0.0163902
372,0.0163791
373,0.0163791
374,0.0163791
375,0.0163791
376,0.0163787
377,0.0163787
378,0.0163787
379,0.0163759
380,0.0163759
381,0.0163748
382,0.0163748
383,0.0163727
384,0.0163629
385,0.016362
386,0.016362
387,0.0163496
388,0.0163496
389,0.0163496
390,0.0163418
391,0.0163418
392,0.0163418
393,0.0163418
394,0.0163382
395,0.0163382
396,0.0163333
397,0.0163333
398,0.0163258
399,0.0163258
400,0.0163258
401,0.0163258
402,0.0163258
403,0.0163256
404,0.016325
405,0.0163181
406,0.0163181
407,0.0163181
408,0.0163181
409,0.0163066
410,0.0163066
411,0.0163022
412,0.0163022
413,0.016299
414,0.016299
415,0.016299
416,0.016299
417,0.016299
418,0.016299
419,0.016299
420,0.016299
421,0.016285
422,0.016285
423,0.016285
424,0.016285
425,0.016285
426,0.0162839
427,0.0162839
428,0.0162805
429,0.0162805
430,0.016279
431,0.016279
432,0.016279
433,0.016279
434,0.01627
435,0.01627
436,0.01627
437,0.01627
438,0.0162698
439,0.0162655
440,0.0162655
441,0.0162655
442,0.0162655
443,0.0162655
444,0.0162655
445,0.0162527
446,0.0162527
447,0.0162527
448,0.0162457
449,0.0162442
450,0.0162442
451,0.0162442
452,0.0162442
453,0.0162442
454,0.0162442
455,0.0162339
456,0.0162339
457,0.0162339
458,0.0162339
459,0.0162339
460,0.0162339
461,0.0162339
462,0.0162339
463,0.0162339
464,0.0162339
465,0.0162339
466,0.0162296
467,0.0162296
468,0.0162296
469,0.0162296
470,0.0162296
471,0.0162296
472,0.0162296
473,0.0162296
474,0.0162296
475,0.0162296
476,0.0162296
477,0.0162275
478,0.0162275
479,0.0162275
480,0.0162243
481,0.0162196
482,0.0162196
483,0.0162196
484,0.0162196
485,0.0162196
486,0.0162196
487,0.0162132
488,0.0162132
489,0.0162089
490,0.0162089
491,0.0162089
492,0.0161992
493,0.0161992
494,0.0161992
495,0.0161992
496,0.016182
497,0.016182
498,0.016182
499,0.0161761
500,0.0161761
501,0.0161676
502,0.0161676
503,0.0161676
504,0.0161676
505,0.0161676
506,0.0161676
507,0.0161676
508,0.0161676
509,0.0161676
510,0.0161676
511,0.0161676
512,0.0161676
513,0.0161676
514,0.0161676
515,0.0161676
516,0.0161676
517,0.0161647
518,0.0161647
