,0
0,96.5376440571
1,82.9647753143
2,79.5728446857
3,68.0319678286
4,63.2098959429
5,59.5024546286
6,56.4244754286
7,56.3860671429
8,54.6316030286
9,54.6316030286
10,51.0512607429
11,46.6178896571
12,44.2164135429
13,39.9673618286
14,35.3321052
15,33.1407710286
16,33.0751705714
17,25.9544744
18,25.9544744
19,25.9544744
20,22.6065296
21,22.1331540571
22,22.1331540571
23,21.5987990857
24,20.2457545714
25,19.6888754286
26,18.1802271429
27,15.4721525714
28,15.4721525714
29,15.4721525714
30,13.9075422286
31,13.6846871429
32,13.6846871429
33,11.8282330857
34,11.5961419429
35,11.5282170857
36,11.5165162286
37,11.5165162286
38,9.2109541714
39,8.8139341714
40,8.5773425143
41,8.2881405714
42,8.1482100571
43,7.8593873714
44,6.2334998286
45,6.2334998286
46,6.2334998286
47,5.9700804
48,5.8864193143
49,5.8259836
50,5.8259836
51,5.6251041143
52,5.6251041143
53,5.620624
54,5.6206166286
55,5.0187430857
56,4.7075844
57,4.4881030857
58,4.4880700571
59,4.4880700571
60,4.4880430857
61,4.2714928
62,4.1840338286
63,3.9597825143
64,3.7567490857
65,3.7567490857
66,3.7567490857
67,3.7567490857
68,3.5652174857
69,3.5652174857
70,3.5652174857
71,3.4576634857
72,3.4576634857
73,3.4576634857
74,3.2954635429
75,3.2660537714
76,3.2356300571
77,3.2356300571
78,3.1589056
79,3.0274083429
80,2.8587628
81,2.8587628
82,2.8587513714
83,2.8587188
84,2.7472302857
85,2.7472302857
86,2.5220594857
87,2.5220594857
88,2.5220594857
89,2.5220594857
90,2.5220594857
91,2.4030298286
92,2.4009927429
93,2.4009927429
94,2.2339110857
95,2.2339110857
96,2.2339110857
97,2.2339110857
98,2.0920237714
99,2.0920237714
100,1.866488
101,1.6862636
102,1.6862636
103,1.5257445714
104,1.5257445714
105,1.5257445714
106,1.2869651429
107,1.2766417714
108,1.2766417714
109,1.1438772
110,1.1438772
111,1.1438694857
112,1.1438694857
113,1.1438662857
114,1.1438662857
115,1.1438662857
116,1.1146129143
117,1.1146129143
118,1.1146034286
119,1.0819341143
120,1.0669122286
121,1.0330647429
122,1.0269172
123,1.0269172
124,1.0081202286
125,1.0081202286
126,1.0081202286
127,0.9127498857
128,0.9105971429
129,0.9066697714
130,0.9066697714
131,0.8051537714
132,0.8051537714
133,0.8051537714
134,0.8051455429
135,0.6837573714
136,0.6837573714
137,0.6837573714
138,0.6836903429
139,0.6836903429
140,0.6836877714
141,0.6625380571
142,0.6625380571
143,0.6625380571
144,0.6625380571
145,0.5254774857
146,0.5254774857
147,0.5254774857
148,0.5254774857
149,0.5226546857
