,0
0,173.0844859429
1,166.2793284571
2,155.3210821714
3,146.9324968
4,138.2390258286
5,129.6136540571
6,128.0465385143
7,126.7413472
8,123.8632512
9,106.8787252571
10,104.3784051429
11,97.7915228571
12,96.9005132571
13,96.9005132571
14,91.1303904
15,91.1303904
16,87.0931414857
17,86.4357434286
18,84.1742057143
19,78.2263092571
20,74.4082835429
21,69.0200810286
22,63.505624
23,63.505624
24,63.505624
25,63.2361473143
26,62.6458539429
27,60.5449813714
28,60.5449813714
29,60.5449813714
30,59.3936132571
31,59.3936132571
32,59.3936132571
33,57.0414216
34,53.9617700571
35,53.9617700571
36,52.2735796571
37,50.1346348571
38,50.1346348571
39,50.1346348571
40,46.7116314286
41,46.1850901714
42,46.1471261714
43,46.1471261714
44,43.6490614857
45,43.6490614857
46,43.1151101714
47,43.1151101714
48,43.1151101714
49,43.1151101714
50,41.5977486857
51,41.3879725714
52,40.1429798857
53,40.1429798857
54,36.2699594286
55,36.2699482286
56,36.2699482286
57,34.0666874286
58,33.9218238857
59,33.9218238857
60,33.9218238857
61,32.2880786286
62,32.2880786286
63,32.2880786286
64,29.9318170286
65,29.9318170286
66,29.9318170286
67,29.9318170286
68,29.9318170286
69,29.7390845714
70,29.7390845714
71,29.7390845714
72,25.6738068571
73,25.6738068571
74,25.6738068571
75,25.6737717714
76,25.6737219429
77,25.6737219429
78,24.6737809143
79,24.6737809143
80,24.6737809143
81,23.5571741714
82,23.2571068571
83,21.4656545143
84,21.4656545143
85,21.4656545143
86,21.4656545143
87,21.4656545143
88,21.4656545143
89,21.4656525714
90,20.2690870857
91,20.1451763429
92,20.1451763429
93,20.1451763429
94,19.9075577143
95,19.9075577143
96,19.2991003429
97,19.2991003429
98,18.9519202286
99,18.7118150857
100,18.7118150857
101,18.7118150857
102,18.3641204571
103,18.2970940571
104,18.2970940571
105,18.2970940571
106,18.1607073143
107,18.1607073143
108,18.1607073143
109,18.0580572571
110,17.9848757714
111,17.9848757714
112,17.9848757714
113,17.9848757714
114,17.9848757714
115,17.9848757714
116,17.4816524571
117,17.4816524571
118,17.4816524571
119,17.4816524571
120,17.4816451429
121,17.4816451429
122,17.4816451429
123,17.4816451429
124,17.4816451429
125,17.4816275429
126,17.3419766857
127,17.0424563429
128,16.4748418286
129,16.4748418286
130,16.1313377143
131,16.1313377143
132,15.3964752
133,15.3964752
134,15.3964752
135,15.3018563429
136,15.3018563429
137,15.3018563429
138,15.3018563429
139,15.3018563429
140,14.9356685714
141,14.9356685714
142,14.9356685714
143,14.9356685714
144,14.9356685714
145,14.6752333714
146,14.6752333714
147,14.6752333714
148,14.6752333714
149,14.5716993143
150,14.5716993143
151,14.5716993143
152,14.4403282286
153,14.4403282286
154,14.440328
155,14.4402515429
156,14.4402515429
157,14.4402515429
158,14.2053197714
159,13.9739705143
160,13.9739705143
161,13.9739705143
162,13.9739705143
163,13.9739329143
164,13.8693085714
165,13.8693085714
166,13.8693085714
167,13.8692905143
168,13.8357061714
169,13.6179185143
170,13.6179185143
171,13.6179185143
172,13.5977550857
173,13.5977550857
174,13.5653225143
175,13.5379105143
176,13.3579312
177,13.2089832
178,13.2089832
179,13.2089832
180,13.1120304
181,13.1120304
182,13.1120304
183,13.1120304
184,13.1120304
185,13.1062124571
186,13.0548656
187,13.0468709714
188,12.9883201143
189,12.9883201143
190,12.9883201143
191,12.9057058286
192,12.9057058286
193,12.9057058286
194,12.9057058286
195,12.7810150857
196,12.7622950857
197,12.7622950857
198,12.7622950857
199,12.7622950857
200,12.7622661714
201,12.7622661714
202,12.7622661714
203,12.7622661714
204,11.8407785143
205,11.8407785143
206,11.8407785143
207,11.8407785143
208,11.8407785143
209,11.8407785143
210,11.8407565714
211,11.7773381714
212,11.7773381714
213,11.7773381714
214,10.8411877714
215,10.8411877714
216,10.8411462857
217,10.8411462857
218,10.8411462857
219,10.8411462857
220,10.8411462857
221,10.7862905143
222,10.7537006857
223,10.7537006857
224,10.5747337143
225,10.5747337143
226,10.514684
227,10.514684
228,10.4014715429
229,10.2560801143
230,10.2560801143
231,10.2560801143
232,10.2560801143
233,10.2111350857
234,10.2111260571
235,10.1037163429
236,10.1037163429
237,10.0338098286
238,10.0338098286
239,10.0338098286
240,10.0338098286
241,10.0016945143
242,10.0016945143
243,10.0016945143
244,10.0016945143
245,10.0016945143
246,9.9145203429
247,9.9145203429
248,9.8608566857
249,9.8608566857
250,9.7663797714
251,9.7663797714
252,9.7663797714
253,9.7663729143
254,9.2750469714
255,9.2750469714
256,9.2750469714
257,9.2750469714
258,9.2750469714
259,9.2750469714
260,9.2451974857
261,9.1633690286
262,9.1633690286
263,8.4251385143
264,8.4251385143
265,8.4251385143
266,8.4251230857
267,8.4251230857
268,8.4251230857
269,8.4251230857
270,8.4043090286
271,8.4043090286
272,8.4043090286
273,8.4043090286
274,8.4042946286
275,8.4042946286
276,8.4042946286
277,8.3892963429
278,8.3892963429
279,8.2755768
280,8.2186378286
281,8.2186378286
282,8.2186378286
283,8.2186378286
284,8.2185825143
285,7.0488371429
286,7.0488371429
287,7.0487637714
288,7.0487637714
289,7.0487534857
290,7.0486981714
291,6.9082616
292,6.9082616
293,6.9082616
294,6.9081500571
295,6.9081500571
296,6.9081500571
297,6.9081485714
298,6.9081393143
299,6.9081393143
300,6.9080995429
301,6.0117838857
302,5.9316073143
303,5.9316073143
304,5.9316073143
305,5.9316073143
306,5.8741230857
307,5.8741230857
308,5.8741230857
309,5.8741230857
310,5.8740382857
311,5.8740163429
312,5.8740163429
313,5.8740163429
314,5.7940172571
315,5.7940172571
316,5.772036
317,5.772036
318,5.6902926857
319,5.6902926857
320,5.6902580571
321,5.6902580571
322,5.6902580571
323,5.6902542857
324,5.4101341714
325,5.4101341714
326,5.4101341714
327,5.4101341714
328,5.4101341714
329,5.4101341714
330,5.4101341714
331,5.3869321143
332,5.3869321143
333,5.3869321143
334,5.3869321143
335,5.3829641143
336,5.3829641143
337,5.3829641143
338,5.3829641143
339,5.3828494857
340,5.3828494857
341,5.3828371429
342,5.3828371429
343,5.3725834286
344,5.3725834286
345,5.3725661714
346,5.3725661714
347,5.3725661714
348,5.3725661714
349,5.3725610286
350,5.3725397714
351,5.3724788571
352,5.2626251429
353,5.2626251429
354,5.2626251429
355,5.2626251429
356,5.2626251429
357,5.2381072
358,5.2357152
359,5.2274653714
360,5.2274653714
361,5.2274507429
362,5.2274507429
363,5.2274507429
364,5.2274507429
365,5.0790524571
366,5.0790524571
367,5.0790524571
368,5.0790524571
369,5.0790067429
370,5.0789897143
371,5.0759257143
372,5.0759156571
