,0
0,294.6022818
1,273.6943116
2,273.6943116
3,271.600571
4,271.600571
5,269.8539689
6,263.6316702
7,258.7847677
8,249.0565118
9,245.9645583
10,235.3354941
11,232.7952764
12,230.1707012
13,225.6028281
14,221.4563573
15,219.9645812
16,219.9645812
17,219.3182024
18,211.0505182
19,206.5453842
20,196.6432179
21,196.6374702
22,184.2195426
23,180.5714137
24,180.5714137
25,180.5714137
26,178.8566725
27,174.6345923
28,174.6345923
29,168.718943
30,163.3541196
31,159.8359051
32,159.8359051
33,157.9864208
34,156.3981058
35,155.492254
36,151.4840463
37,151.4840463
38,151.4840463
39,149.7414085
40,149.7414085
41,149.7414085
42,149.7414085
43,146.2348798
44,144.4807758
45,141.704254
46,139.4366786
47,137.2956039
48,136.7862227
49,136.5428401
50,134.3137868
51,134.1913633
52,134.1913633
53,132.8619573
54,132.1474258
55,132.1474258
56,132.1474258
57,131.482289
58,131.482289
59,131.482289
60,131.482289
61,125.4901868
62,123.4229375
63,123.4229375
64,123.4229375
65,123.1919543
66,123.1919543
67,123.1919543
68,123.1919543
69,121.1300291
70,121.1300291
71,118.9884413
72,118.9884413
73,118.9884413
74,118.9884413
75,118.9884413
76,118.9884413
77,116.3450963
78,115.2489144
79,110.1630965
80,110.1630965
81,110.1630965
82,110.1630965
83,110.1630965
84,110.1630965
85,108.937023
86,108.937023
87,108.937023
88,108.937023
89,108.937023
90,108.303002
91,106.9660909
92,106.9660909
93,106.1510373
94,106.1510373
95,106.1510373
96,106.1510373
97,105.2060827
98,105.2060155
99,104.94377
100,104.8393508
101,104.5879711
102,104.5879711
103,103.9943866
104,103.3115715
105,103.3115715
106,101.7014412
107,98.6382039
108,98.6381981
109,97.7309864
110,97.7309864
111,97.7309864
112,97.3317542
113,97.3317542
114,97.0469886
115,96.059077
116,96.059077
117,96.059077
118,96.059077
119,95.1389143
120,94.5576063
121,94.5576063
122,94.5576063
123,93.207341
124,93.1257506
125,93.1257506
126,92.0053173
127,92.0053173
128,92.0053173
129,91.9950509
130,91.9950509
131,91.9950509
132,91.990867
133,91.6488597
134,91.6488597
135,91.6488597
136,91.3974485
137,91.3974357
138,91.3974357
139,90.3763593
140,90.3763593
141,90.3763593
142,89.5135866
143,89.5135866
144,89.5135866
145,89.5135866
146,89.5135866
147,89.5135866
148,89.5135866
149,89.5135719
150,89.4982937
151,89.391656
152,89.391656
153,89.391656
154,89.391656
155,88.2219077
156,88.2219077
157,88.2219077
158,88.2219077
159,88.221897
160,88.221897
161,87.9674251
162,87.9674251
163,87.9674251
164,87.9674251
165,87.9674249
166,87.9674249
167,87.9674249
168,87.9674249
169,87.9674249
170,87.9674249
171,87.2140669
172,87.2140669
173,87.2140669
174,87.2140669
175,87.2140669
176,87.2140669
177,86.6825647
178,86.6825647
179,86.6825647
180,86.6825647
181,86.6825647
182,86.6825615
183,86.6825615
184,86.682532
185,86.2454569
186,86.2454569
187,85.963526
188,85.4027543
189,85.0472044
190,83.4269289
191,83.4269289
192,83.4172776
193,83.4172776
194,83.4172776
195,83.4172776
196,83.1636485
197,82.4271017
198,82.4071729
199,82.4071705
200,82.4071705
201,81.0770982
202,80.7826083
203,80.7826083
204,80.7826083
205,80.7826083
206,80.6724088
207,80.6724088
208,80.6724088
209,80.667615
210,80.667615
211,80.667615
212,80.6403252
213,80.6403252
214,80.3996989
215,80.2768375
216,80.2768375
