,0
0,151.0
1,125.0
2,126.0
3,124.0
4,131.0
5,117.0
6,128.0
7,114.0
8,106.0
9,106.0
10,106.0
11,128.0
12,111.0
13,106.0
14,106.0
15,97.0
16,97.0
17,104.0
18,104.0
19,104.0
20,88.0
21,88.0
22,92.0
23,92.0
24,97.0
25,85.0
26,85.0
27,91.0
28,97.0
29,75.0
30,77.0
31,75.0
32,75.0
33,75.0
34,75.0
35,68.0
36,68.0
37,68.0
38,68.0
39,68.0
40,67.0
41,74.0
42,74.0
43,69.0
44,60.0
45,60.0
46,60.0
47,60.0
48,67.0
49,67.0
50,65.0
51,65.0
52,57.0
53,57.0
54,57.0
55,57.0
56,52.0
57,59.0
58,51.0
59,51.0
60,51.0
61,51.0
62,51.0
63,51.0
64,51.0
65,51.0
66,51.0
67,51.0
68,49.0
69,48.0
70,48.0
71,47.0
72,47.0
73,47.0
74,47.0
75,47.0
76,47.0
77,46.0
78,46.0
79,48.0
80,46.0
81,46.0
82,46.0
83,45.0
84,42.0
85,46.0
86,45.0
87,43.0
88,43.0
89,42.0
90,42.0
91,42.0
92,41.0
93,42.0
94,42.0
95,41.0
96,41.0
97,41.0
98,39.0
99,40.0
100,40.0
101,41.0
102,41.0
103,37.0
104,37.0
105,37.0
106,33.0
107,33.0
108,33.0
109,33.0
110,31.0
111,31.0
112,31.0
113,31.0
114,31.0
115,31.0
116,30.0
117,30.0
118,30.0
119,30.0
120,30.0
121,29.0
122,29.0
123,29.0
124,29.0
125,28.0
126,28.0
127,28.0
128,28.0
129,26.0
130,26.0
131,26.0
132,26.0
133,26.0
134,28.0
135,25.0
136,25.0
137,24.0
138,24.0
139,24.0
140,24.0
141,24.0
142,25.0
143,24.0
144,24.0
145,24.0
146,24.0
147,24.0
148,22.0
149,22.0
150,22.0
151,22.0
152,22.0
153,22.0
154,21.0
155,21.0
156,21.0
157,21.0
158,21.0
159,21.0
160,21.0
161,21.0
162,21.0
163,21.0
164,21.0
165,21.0
166,21.0
167,21.0
168,21.0
169,20.0
170,20.0
171,20.0
172,20.0
173,20.0
174,19.0
175,19.0
176,19.0
177,19.0
178,19.0
179,19.0
180,19.0
181,19.0
182,19.0
183,19.0
184,18.0
185,18.0
186,18.0
187,18.0
188,18.0
189,18.0
190,18.0
191,18.0
192,18.0
193,18.0
194,18.0
195,18.0
196,18.0
197,18.0
198,18.0
199,18.0
200,18.0
201,18.0
202,18.0
203,18.0
204,18.0
205,17.0
206,17.0
207,17.0
208,17.0
209,17.0
210,17.0
211,17.0
212,17.0
213,17.0
214,17.0
215,17.0
216,17.0
217,17.0
218,17.0
219,17.0
220,17.0
221,17.0
222,17.0
223,17.0
224,17.0
225,17.0
226,17.0
227,17.0
228,17.0
229,17.0
230,17.0
231,17.0
232,17.0
233,17.0
234,17.0
235,17.0
236,17.0
237,17.0
238,17.0
239,17.0
240,17.0
241,17.0
242,17.0
243,17.0
244,17.0
245,17.0
246,17.0
247,17.0
248,17.0
249,17.0
250,17.0
251,17.0
252,17.0
253,17.0
254,17.0
255,17.0
256,17.0
257,17.0
258,17.0
259,17.0
260,17.0
261,17.0
262,17.0
263,17.0
264,17.0
265,17.0
266,17.0
267,17.0
268,17.0
269,17.0
270,17.0
271,17.0
272,17.0
273,17.0
274,17.0
275,17.0
276,17.0
277,17.0
278,17.0
279,17.0
280,17.0
281,17.0
282,17.0
283,17.0
284,17.0
285,17.0
286,17.0
287,17.0
288,17.0
289,17.0
290,17.0
