,0
0,235.0
1,224.0
2,224.0
3,212.0
4,212.0
5,212.0
6,212.0
7,212.0
8,208.0
9,195.0
10,186.0
11,186.0
12,179.0
13,183.0
14,163.0
15,162.0
16,162.0
17,174.0
18,174.0
19,159.0
20,159.0
21,164.0
22,162.0
23,162.0
24,155.0
25,144.0
26,144.0
27,143.0
28,140.0
29,140.0
30,134.0
31,139.0
32,139.0
33,125.0
34,122.0
35,132.0
36,124.0
37,123.0
38,121.0
39,121.0
40,120.0
41,119.0
42,107.0
43,107.0
44,113.0
45,116.0
46,107.0
47,107.0
48,110.0
49,110.0
50,113.0
51,109.0
52,109.0
53,109.0
54,108.0
55,105.0
56,105.0
57,105.0
58,108.0
59,108.0
60,108.0
61,95.0
62,94.0
63,96.0
64,96.0
65,96.0
66,96.0
67,95.0
68,95.0
69,90.0
70,90.0
71,90.0
72,90.0
73,88.0
74,92.0
75,92.0
76,92.0
77,87.0
78,87.0
79,87.0
80,89.0
81,89.0
82,89.0
83,89.0
84,89.0
85,89.0
86,89.0
87,88.0
88,86.0
89,85.0
90,85.0
91,85.0
92,85.0
93,86.0
94,86.0
95,86.0
96,82.0
97,82.0
98,82.0
99,72.0
100,78.0
101,72.0
102,72.0
103,72.0
104,72.0
105,75.0
106,75.0
107,74.0
108,74.0
109,74.0
110,75.0
111,75.0
112,72.0
113,72.0
114,72.0
115,70.0
116,70.0
117,67.0
118,67.0
119,70.0
120,70.0
121,66.0
122,68.0
123,69.0
124,69.0
125,67.0
126,67.0
127,67.0
128,66.0
129,66.0
130,63.0
131,63.0
132,67.0
133,63.0
134,62.0
135,62.0
136,62.0
137,62.0
138,61.0
139,61.0
140,61.0
141,61.0
142,62.0
143,62.0
144,61.0
145,61.0
146,61.0
147,61.0
148,61.0
149,62.0
150,62.0
151,60.0
152,60.0
153,60.0
154,60.0
155,59.0
156,59.0
157,59.0
158,59.0
159,59.0
160,59.0
161,59.0
162,59.0
163,59.0
164,59.0
165,58.0
166,58.0
167,58.0
168,58.0
169,58.0
170,58.0
171,58.0
172,58.0
173,55.0
174,55.0
175,55.0
176,55.0
177,54.0
178,54.0
179,54.0
180,54.0
181,54.0
182,59.0
183,59.0
184,57.0
185,59.0
186,59.0
187,59.0
188,57.0
189,57.0
190,57.0
191,57.0
192,56.0
193,53.0
194,53.0
195,53.0
196,53.0
197,53.0
198,53.0
199,53.0
200,56.0
201,56.0
202,56.0
203,56.0
204,54.0
205,53.0
206,52.0
207,52.0
208,55.0
209,55.0
210,55.0
211,55.0
212,50.0
213,50.0
214,50.0
215,50.0
216,50.0
217,50.0
218,50.0
219,50.0
220,50.0
221,50.0
222,50.0
223,50.0
224,50.0
225,50.0
226,50.0
227,50.0
228,50.0
229,50.0
230,50.0
231,50.0
232,50.0
233,49.0
234,49.0
235,49.0
236,49.0
237,49.0
238,48.0
239,48.0
240,47.0
241,47.0
242,47.0
243,47.0
244,47.0
245,47.0
246,47.0
247,47.0
248,47.0
249,46.0
250,46.0
251,46.0
252,46.0
253,46.0
254,46.0
255,46.0
256,46.0
257,46.0
258,46.0
259,46.0
260,48.0
261,48.0
262,48.0
263,48.0
264,48.0
265,51.0
266,50.0
267,50.0
268,50.0
269,50.0
270,47.0
271,47.0
272,47.0
273,47.0
274,49.0
275,49.0
276,49.0
277,49.0
278,49.0
279,49.0
280,48.0
281,48.0
282,47.0
283,47.0
284,46.0
285,46.0
286,46.0
287,45.0
288,45.0
289,45.0
290,45.0
291,45.0
292,45.0
293,45.0
294,45.0
295,46.0
296,45.0
297,45.0
298,45.0
299,45.0
300,44.0
301,44.0
302,44.0
303,44.0
304,44.0
305,44.0
306,44.0
307,44.0
308,44.0
309,44.0
310,44.0
311,44.0
312,44.0
313,44.0
314,44.0
315,44.0
316,44.0
317,44.0
318,44.0
319,42.0
320,42.0
321,42.0
322,42.0
323,42.0
324,42.0
325,42.0
326,42.0
327,46.0
328,45.0
329,45.0
330,43.0
331,43.0
332,43.0
333,42.0
334,45.0
335,45.0
336,39.0
337,39.0
338,39.0
339,40.0
340,40.0
341,40.0
342,38.0
343,38.0
344,42.0
345,42.0
346,42.0
347,42.0
348,42.0
349,42.0
350,42.0
351,42.0
352,37.0
353,37.0
354,37.0
355,37.0
356,36.0
357,35.0
358,35.0
359,35.0
360,35.0
361,35.0
362,35.0
363,39.0
364,39.0
365,35.0
366,35.0
367,35.0
368,35.0
369,35.0
370,35.0
371,35.0
372,35.0
373,35.0
374,36.0
375,36.0
376,36.0
377,36.0
378,35.0
379,35.0
380,35.0
381,35.0
382,34.0
383,34.0
384,34.0
385,34.0
386,33.0
387,33.0
388,33.0
389,33.0
390,33.0
391,33.0
392,33.0
393,33.0
394,33.0
395,33.0
396,33.0
397,33.0
398,33.0
399,31.0
400,31.0
401,31.0
402,31.0
403,31.0
404,31.0
405,31.0
406,31.0
407,31.0
408,31.0
409,31.0
410,31.0
411,31.0
412,30.0
413,30.0
414,30.0
415,30.0
416,30.0
417,30.0
418,30.0
419,30.0
420,30.0
421,30.0
422,30.0
423,30.0
424,30.0
425,30.0
426,30.0
427,30.0
428,30.0
429,30.0
430,30.0
431,30.0
432,30.0
433,29.0
434,30.0
435,29.0
436,29.0
437,29.0
438,29.0
439,29.0
440,29.0
441,29.0
442,29.0
443,29.0
444,29.0
445,29.0
446,29.0
447,29.0
448,29.0
449,29.0
450,29.0
451,29.0
452,29.0
453,29.0
454,29.0
455,29.0
456,29.0
457,29.0
458,29.0
459,29.0
460,29.0
461,29.0
462,29.0
463,29.0
464,29.0
465,29.0
466,29.0
467,29.0
468,29.0
469,29.0
470,28.0
471,28.0
472,28.0
473,28.0
474,28.0
475,28.0
476,28.0
477,28.0
478,28.0
479,28.0
480,28.0
481,28.0
482,28.0
483,28.0
484,28.0
485,28.0
486,28.0
487,28.0
488,28.0
489,28.0
490,28.0
491,28.0
492,28.0
493,28.0
494,28.0
495,28.0
496,28.0
497,27.0
498,27.0
499,27.0
500,27.0
501,27.0
502,27.0
503,26.0
504,26.0
505,26.0
506,26.0
507,26.0
508,26.0
509,26.0
510,25.0
511,25.0
512,25.0
513,25.0
514,25.0
515,25.0
516,25.0
517,25.0
518,25.0
519,25.0
520,25.0
521,25.0
522,24.0
523,24.0
524,24.0
525,24.0
526,24.0
527,24.0
528,23.0
529,23.0
530,23.0
531,23.0
532,23.0
533,23.0
534,22.0
535,22.0
536,22.0
537,22.0
538,22.0
539,22.0
540,22.0
541,22.0
542,22.0
543,22.0
544,22.0
545,22.0
546,22.0
547,22.0
548,22.0
549,22.0
550,22.0
551,22.0
552,22.0
553,22.0
554,22.0
555,22.0
556,22.0
557,22.0
558,22.0
559,22.0
560,22.0
561,21.0
562,21.0
563,21.0
564,21.0
565,21.0
566,21.0
567,21.0
568,21.0
569,21.0
570,21.0
571,21.0
572,21.0
573,21.0
574,21.0
575,21.0
576,21.0
577,21.0
578,20.0
579,23.0
580,23.0
581,23.0
582,23.0
583,23.0
584,23.0
585,23.0
586,23.0
587,23.0
588,21.0
589,21.0
590,21.0
591,21.0
592,21.0
593,21.0
594,21.0
595,21.0
596,21.0
597,21.0
598,21.0
599,21.0
600,21.0
601,21.0
602,21.0
603,21.0
604,21.0
605,21.0
606,21.0
607,21.0
608,21.0
609,21.0
610,21.0
611,21.0
612,21.0
613,21.0
614,21.0
615,21.0
616,21.0
617,21.0
618,21.0
619,21.0
620,21.0
621,21.0
622,21.0
623,21.0
624,21.0
625,21.0
626,21.0
627,21.0
628,21.0
629,21.0
630,21.0
631,22.0
632,22.0
633,22.0
634,22.0
635,21.0
636,21.0
637,21.0
638,21.0
639,20.0
640,20.0
641,20.0
642,20.0
643,20.0
644,20.0
645,20.0
646,18.0
647,18.0
648,18.0
649,18.0
650,18.0
651,18.0
652,18.0
653,18.0
654,18.0
655,18.0
656,18.0
657,18.0
658,18.0
659,18.0
660,18.0
661,18.0
662,18.0
663,18.0
664,18.0
665,18.0
666,18.0
667,18.0
668,18.0
669,17.0
670,17.0
671,17.0
672,17.0
673,17.0
674,17.0
675,17.0
676,17.0
677,17.0
678,17.0
679,17.0
680,17.0
681,17.0
682,17.0
683,17.0
684,17.0
685,16.0
686,16.0
687,16.0
688,16.0
689,16.0
690,16.0
691,16.0
692,16.0
693,16.0
694,16.0
695,16.0
696,16.0
697,16.0
698,16.0
699,16.0
700,16.0
701,16.0
702,16.0
703,16.0
704,16.0
705,16.0
706,16.0
707,16.0
708,16.0
709,16.0
710,16.0
711,16.0
712,16.0
713,16.0
714,16.0
715,16.0
716,16.0
717,16.0
718,16.0
719,16.0
720,16.0
721,16.0
722,16.0
723,16.0
724,16.0
725,16.0
726,16.0
727,16.0
728,15.0
729,15.0
730,15.0
731,15.0
732,15.0
733,14.0
734,14.0
735,14.0
736,14.0
737,13.0
738,13.0
739,13.0
740,13.0
741,13.0
742,13.0
743,13.0
744,13.0
745,13.0
746,13.0
747,12.0
748,12.0
749,12.0
750,12.0
751,12.0
752,12.0
753,12.0
754,12.0
755,12.0
756,12.0
757,12.0
758,12.0
759,12.0
760,12.0
761,12.0
762,12.0
763,12.0
764,12.0
765,12.0
766,12.0
767,12.0
768,12.0
769,12.0
770,12.0
771,12.0
772,12.0
773,12.0
774,12.0
775,11.0
776,12.0
777,12.0
778,12.0
779,11.0
780,11.0
781,11.0
782,11.0
783,11.0
784,11.0
785,11.0
786,11.0
787,9.0
788,9.0
789,9.0
790,9.0
791,9.0
792,9.0
793,9.0
794,9.0
795,9.0
796,9.0
797,9.0
798,9.0
799,8.0
800,8.0
801,8.0
802,8.0
803,8.0
804,8.0
805,8.0
806,8.0
807,8.0
808,8.0
809,8.0
810,8.0
811,8.0
812,8.0
813,8.0
814,8.0
815,8.0
816,8.0
817,8.0
818,8.0
819,8.0
820,8.0
821,8.0
822,8.0
823,8.0
824,8.0
825,8.0
826,8.0
827,8.0
828,8.0
829,8.0
830,8.0
831,8.0
832,8.0
833,8.0
834,8.0
835,7.0
836,7.0
837,7.0
838,7.0
839,7.0
840,7.0
841,7.0
842,7.0
843,7.0
844,7.0
845,7.0
846,7.0
847,7.0
848,7.0
849,7.0
850,7.0
851,7.0
852,7.0
853,7.0
854,7.0
855,7.0
856,7.0
857,7.0
858,7.0
859,7.0
860,7.0
861,7.0
862,7.0
863,7.0
864,7.0
865,7.0
866,7.0
867,7.0
868,7.0
869,7.0
870,7.0
871,7.0
872,7.0
873,7.0
874,7.0
875,7.0
876,7.0
877,7.0
878,7.0
879,7.0
880,7.0
881,7.0
882,7.0
883,7.0
884,7.0
885,7.0
886,7.0
887,7.0
888,7.0
889,7.0
890,7.0
891,7.0
892,7.0
893,7.0
894,7.0
895,7.0
896,7.0
897,7.0
898,7.0
899,7.0
900,7.0
901,7.0
902,7.0
903,7.0
904,7.0
905,7.0
906,7.0
907,7.0
908,7.0
909,7.0
910,7.0
911,7.0
912,7.0
913,7.0
914,7.0
915,7.0
916,7.0
917,7.0
918,7.0
919,7.0
920,7.0
921,7.0
922,7.0
923,7.0
924,7.0
925,7.0
926,7.0
927,7.0
928,7.0
929,7.0
930,7.0
931,7.0
932,7.0
933,7.0
934,7.0
935,7.0
936,7.0
937,7.0
938,6.0
939,6.0
