,0
0,25.6022792
1,25.6022792
2,24.1784536
3,23.51851216
4,19.06437376
5,17.44586128
6,17.44586128
7,15.79124784
8,15.05140528
9,14.5581096
10,13.39945552
11,13.39945552
12,12.40068528
13,11.4259592
14,9.63619968
15,9.63619968
16,9.63619968
17,9.63619968
18,9.63619968
19,9.63619968
20,9.63619968
21,9.5105368
22,8.62832576
23,8.54153328
24,8.54153328
25,7.93391648
26,7.23146096
27,7.23146096
28,6.3412456
29,6.3412456
30,6.3412456
31,5.96069632
32,5.17775392
33,3.71900352
34,3.71900352
35,3.64295088
36,3.64292528
37,3.12819168
38,2.61284784
39,2.46406416
40,2.46406416
41,2.42605328
42,2.34259376
43,2.22976624
44,2.083632
45,1.92105312
46,1.92105312
47,1.92105312
48,1.59822992
49,1.43513504
50,1.3775488
51,1.3775488
52,1.3775488
53,1.3062896
54,1.22188112
55,1.22188112
56,1.0694616
57,1.0694616
58,1.0694616
59,0.9514768
60,0.9514768
61,0.84226272
62,0.84226272
63,0.84220192
64,0.84220192
65,0.84220192
66,0.82696752
67,0.82696752
68,0.60125024
69,0.60125024
70,0.60125024
71,0.48314016
72,0.48314016
73,0.48305824
74,0.46813056
75,0.46813056
76,0.46813056
77,0.4425648
78,0.4425648
79,0.42617408
80,0.33607088
81,0.3360088
82,0.31457568
83,0.31457568
84,0.31455136
85,0.2122528
86,0.21214064
87,0.21214064
88,0.20207536
89,0.20198928
90,0.20198928
91,0.20186336
92,0.20186336
93,0.20177616
94,0.20174736
95,0.1407056
96,0.12532
97,0.12526368
98,0.12526368
99,0.1247264
100,0.02190176
101,0.02190176
102,0.02187536
103,0.02186032
104,0.02185968
105,0.02185968
106,0.02185968
107,0.02185968
108,0.02182816
109,0.02164736
110,0.02164736
111,0.02164736
112,0.02162688
113,0.02159712
114,0.0214688
115,0.0214392
116,0.02143248
117,0.02142112
118,0.02138704
119,0.02138704
120,0.0213752
121,0.0213752
122,0.02137424
123,0.02132112
124,0.0212616
125,0.0212616
126,0.02123552
127,0.02112096
128,0.02111968
129,0.02111968
130,0.02111968
131,0.02110464
132,0.02110464
133,0.02110464
134,0.02110464
135,0.02103856
136,0.0210376
137,0.02100608
138,0.02100608
139,0.02100608
140,0.02100432
141,0.0209856
142,0.02092576
143,0.02092576
144,0.02092576
145,0.02092432
146,0.02092432
147,0.02090768
148,0.02090768
149,0.0208872
150,0.0208808
151,0.02081952
152,0.02081952
153,0.02081296
154,0.02076976
155,0.02073808
156,0.02073568
157,0.02071184
158,0.02071184
159,0.02071184
160,0.02071184
161,0.02071184
162,0.02071184
163,0.02069568
164,0.02069568
165,0.02066128
166,0.02064384
167,0.02064384
168,0.02064384
169,0.02063648
170,0.02063648
171,0.02057648
172,0.02057648
173,0.02057648
174,0.02057648
175,0.02052176
176,0.02052176
177,0.0205016
178,0.02047808
179,0.0204288
180,0.02040128
181,0.02040128
182,0.02039344
183,0.02037792
184,0.02032512
185,0.02032512
186,0.02032512
187,0.02032512
188,0.02030512
189,0.02030512
190,0.0202312
191,0.0202312
192,0.02020944
193,0.0201688
194,0.02016288
195,0.02015504
196,0.02015504
197,0.02011584
198,0.02011216
