,0
0,262.0
1,252.0
2,247.0
3,232.0
4,235.0
5,224.0
6,206.0
7,206.0
8,211.0
9,195.0
10,201.0
11,201.0
12,181.0
13,181.0
14,166.0
15,169.0
16,175.0
17,144.0
18,144.0
19,143.0
20,143.0
21,144.0
22,133.0
23,133.0
24,134.0
25,134.0
26,137.0
27,122.0
28,118.0
29,118.0
30,116.0
31,116.0
32,116.0
33,116.0
34,112.0
35,112.0
36,112.0
37,107.0
38,113.0
39,113.0
40,113.0
41,93.0
42,93.0
43,98.0
44,98.0
45,98.0
46,97.0
47,97.0
48,97.0
49,106.0
50,102.0
51,103.0
52,104.0
53,104.0
54,103.0
55,103.0
56,87.0
57,87.0
58,98.0
59,98.0
60,98.0
61,98.0
62,90.0
63,95.0
64,95.0
65,97.0
66,97.0
67,85.0
68,85.0
69,85.0
70,84.0
71,84.0
72,91.0
73,82.0
74,81.0
75,81.0
76,81.0
77,81.0
78,78.0
79,79.0
80,79.0
81,76.0
82,76.0
83,76.0
84,76.0
85,74.0
86,73.0
87,71.0
88,71.0
89,69.0
90,69.0
91,69.0
92,69.0
93,68.0
94,68.0
95,68.0
96,65.0
97,65.0
98,65.0
99,65.0
100,64.0
101,62.0
102,63.0
103,63.0
104,59.0
105,59.0
106,60.0
107,63.0
108,47.0
109,47.0
110,47.0
111,47.0
112,47.0
113,47.0
114,47.0
115,47.0
116,47.0
117,47.0
118,47.0
119,47.0
120,47.0
121,44.0
122,47.0
123,47.0
124,47.0
125,47.0
126,46.0
127,46.0
128,44.0
129,44.0
130,44.0
131,44.0
132,44.0
133,43.0
134,43.0
135,43.0
136,41.0
137,41.0
138,41.0
139,41.0
140,40.0
141,40.0
142,39.0
143,38.0
144,38.0
145,37.0
146,37.0
147,37.0
148,37.0
149,39.0
150,39.0
151,39.0
152,37.0
153,37.0
154,37.0
155,37.0
156,37.0
157,34.0
158,36.0
159,36.0
160,33.0
161,33.0
162,33.0
163,33.0
164,32.0
165,32.0
166,32.0
167,32.0
168,32.0
169,32.0
170,32.0
171,32.0
172,32.0
173,32.0
174,31.0
175,30.0
176,30.0
177,30.0
178,30.0
179,29.0
180,29.0
181,29.0
182,29.0
183,29.0
184,29.0
185,29.0
186,28.0
187,28.0
188,27.0
189,27.0
190,27.0
191,27.0
192,27.0
193,27.0
194,27.0
195,27.0
196,26.0
197,26.0
198,26.0
199,24.0
200,24.0
201,24.0
202,29.0
203,23.0
204,23.0
205,23.0
206,23.0
207,23.0
208,23.0
209,23.0
210,23.0
211,23.0
212,23.0
213,23.0
214,23.0
215,23.0
216,23.0
217,23.0
218,23.0
219,23.0
220,23.0
221,20.0
222,20.0
223,20.0
224,20.0
225,20.0
226,20.0
227,20.0
228,19.0
229,19.0
230,19.0
231,19.0
232,19.0
233,19.0
234,19.0
235,19.0
236,19.0
237,19.0
238,19.0
239,19.0
240,19.0
241,19.0
242,19.0
243,19.0
244,19.0
245,19.0
246,19.0
247,19.0
248,19.0
249,18.0
250,18.0
251,18.0
252,18.0
253,18.0
254,18.0
255,18.0
256,18.0
257,18.0
258,17.0
259,16.0
260,16.0
261,16.0
262,16.0
263,16.0
264,15.0
265,15.0
266,15.0
267,15.0
268,15.0
269,15.0
270,15.0
271,15.0
272,15.0
273,15.0
274,15.0
275,15.0
276,15.0
277,15.0
278,15.0
279,14.0
280,14.0
281,14.0
282,14.0
283,13.0
284,13.0
285,13.0
286,13.0
287,13.0
288,13.0
289,13.0
290,12.0
291,12.0
292,12.0
293,12.0
294,12.0
295,11.0
296,11.0
297,10.0
298,10.0
299,10.0
300,10.0
301,10.0
302,10.0
303,10.0
304,10.0
305,10.0
306,10.0
307,10.0
308,10.0
309,10.0
310,10.0
311,9.0
312,9.0
313,9.0
314,9.0
315,9.0
316,9.0
317,9.0
318,9.0
319,9.0
320,9.0
321,9.0
322,9.0
323,9.0
324,9.0
325,9.0
326,9.0
327,9.0
328,9.0
329,9.0
330,9.0
331,9.0
332,9.0
333,9.0
334,9.0
335,9.0
336,9.0
337,9.0
338,9.0
339,9.0
340,9.0
341,9.0
342,9.0
343,9.0
344,9.0
345,9.0
346,9.0
347,9.0
348,9.0
349,9.0
350,9.0
351,9.0
352,9.0
353,9.0
354,9.0
355,9.0
356,9.0
357,9.0
358,9.0
359,9.0
360,9.0
361,9.0
362,9.0
363,9.0
364,9.0
365,9.0
366,9.0
367,9.0
368,9.0
369,9.0
370,9.0
371,9.0
372,9.0
373,9.0
374,9.0
375,9.0
376,9.0
377,9.0
378,9.0
379,9.0
380,9.0
381,9.0
382,9.0
383,9.0
384,9.0
385,9.0
386,9.0
387,9.0
388,9.0
389,9.0
390,9.0
