,0
0,9.31224136
1,4.82782976
2,4.82782976
3,3.0896528
4,2.86862744
5,2.86862744
6,2.26404952
7,2.1620608
8,2.1620608
9,2.1620608
10,1.491974
11,1.491974
12,1.49191104
13,1.3884784
14,1.33464664
15,1.23817088
16,1.23817088
17,1.23807984
18,0.99543608
19,0.99543608
20,0.72976312
21,0.72976312
22,0.72796368
23,0.72796368
24,0.48297688
25,0.44101064
26,0.44100176
27,0.44100176
28,0.40413864
29,0.40413864
30,0.2734936
31,0.27333856
32,0.27333856
33,0.27333856
34,0.2279792
35,0.12450272
36,0.12449088
37,0.12446248
38,0.12439704
39,0.12439704
40,0.02040144
41,0.0203168
42,0.0203168
43,0.02021448
44,0.02019552
45,0.0201816
46,0.0201136
47,0.0201136
48,0.0201136
49,0.02007344
50,0.02007104
51,0.0200504
52,0.01993992
53,0.01993992
54,0.01993992
55,0.01989184
56,0.01989184
57,0.01985568
58,0.01985568
59,0.01985568
60,0.01984408
61,0.01974792
62,0.01974792
63,0.01972304
64,0.0196512
65,0.01962368
66,0.01960296
67,0.0195864
68,0.0195864
69,0.01956824
70,0.01956824
71,0.0195
72,0.0195
73,0.0195
74,0.01944008
75,0.01944008
76,0.01941792
77,0.01936496
78,0.01936496
79,0.01933808
80,0.01933808
81,0.01933656
82,0.01933656
83,0.0193112
84,0.01928416
85,0.01923416
86,0.01923416
87,0.0192268
88,0.0192268
89,0.01922576
90,0.01919088
91,0.01919088
92,0.01917456
93,0.01916888
94,0.01915376
95,0.01915376
96,0.01915376
97,0.01913712
98,0.01912232
99,0.01912232
100,0.01911296
101,0.01908672
102,0.01908672
103,0.01908584
104,0.01907016
105,0.01907016
106,0.01903704
107,0.0190236
108,0.0190236
109,0.0190236
110,0.01899392
111,0.01899392
112,0.01899272
113,0.01893296
114,0.01893296
115,0.01893296
116,0.01893296
117,0.01893296
118,0.01886448
119,0.01886448
120,0.01886448
121,0.01886144
122,0.01886144
123,0.01886144
124,0.01886056
125,0.01886056
126,0.01882592
127,0.01882592
128,0.01882592
129,0.01882592
130,0.0188192
131,0.01880304
132,0.01875592
133,0.01875592
134,0.01875304
135,0.01873792
136,0.01871424
137,0.01866568
138,0.0186376
139,0.01861592
140,0.01861592
141,0.01861592
142,0.0185556
143,0.0185556
144,0.0185556
145,0.0185556
146,0.0185556
147,0.0185556
148,0.0185556
149,0.0185556
150,0.0185556
151,0.0185556
152,0.01854304
153,0.01853768
154,0.01852608
155,0.01851152
156,0.01851152
157,0.01851152
158,0.01851152
159,0.01850816
160,0.01848992
161,0.01848992
162,0.0184808
163,0.0184808
164,0.0184808
165,0.0184808
166,0.01844344
167,0.01844344
168,0.01844344
169,0.01842472
170,0.01842472
171,0.01842472
172,0.01842472
173,0.01842472
174,0.01842472
175,0.01839664
176,0.01839304
177,0.01839304
178,0.01837368
179,0.01837368
180,0.01837192
181,0.01836296
182,0.01836296
183,0.01836296
184,0.01836296
185,0.01836296
186,0.01836296
187,0.01834064
188,0.01832288
189,0.01832288
190,0.01832288
191,0.01832288
192,0.01832288
193,0.01832288
194,0.01832288
195,0.01832192
196,0.01831848
197,0.01831848
198,0.01827696
199,0.01827696
200,0.01826328
201,0.01826328
202,0.01826144
203,0.01825016
204,0.01824864
205,0.01824864
206,0.01822008
207,0.01822008
208,0.01822008
209,0.01821968
210,0.01818104
211,0.01818104
212,0.01816248
213,0.01815392
214,0.01815392
215,0.01812216
216,0.01812216
217,0.018092
218,0.018092
219,0.018092
220,0.01808184
221,0.01807928
222,0.01803304
223,0.01803304
224,0.01803304
225,0.01801736
226,0.01801736
227,0.01799432
228,0.01799432
229,0.01798528
230,0.01798528
231,0.01798408
232,0.01798408
233,0.01796376
234,0.01795864
235,0.01795864
236,0.01795312
237,0.01795312
238,0.01795072
239,0.01795072
240,0.01790992
241,0.01790992
242,0.01788688
243,0.01788688
244,0.01788688
245,0.01788688
246,0.0178832
247,0.01788088
248,0.01788088
249,0.01788088
250,0.01788088
251,0.01785696
252,0.0178536
253,0.0178536
254,0.0178536
255,0.0178536
256,0.0178536
257,0.0178536
258,0.01784864
259,0.01784296
260,0.01783592
261,0.01783592
262,0.01783592
263,0.01782544
264,0.01781168
265,0.01781168
266,0.01777648
267,0.01777648
268,0.01777376
269,0.01777376
270,0.01777072
271,0.01777072
272,0.01777072
273,0.017764
274,0.017764
275,0.01775792
276,0.01775792
277,0.017756
278,0.017756
279,0.017752
280,0.01774168
281,0.01774136
282,0.01774136
283,0.01774136
284,0.01773368
285,0.01773368
286,0.01773368
287,0.0177276
288,0.0177276
289,0.0177276
290,0.01771384
291,0.01771384
292,0.01771168
293,0.0177072
294,0.0177072
295,0.0177072
296,0.01769904
297,0.01768504
298,0.01768504
299,0.01768504
300,0.0176756
301,0.01766944
302,0.0176416
303,0.0176416
304,0.01763608
305,0.01763336
306,0.01762184
307,0.0175984
308,0.0175984
309,0.0175984
310,0.0175984
311,0.0175984
312,0.0175984
313,0.01755016
314,0.01754464
315,0.01753648
316,0.01753648
317,0.01753648
318,0.01753648
319,0.01753648
320,0.01753648
321,0.01753336
322,0.01753336
323,0.017532
324,0.01752824
325,0.01752824
326,0.01752824
327,0.01752408
328,0.01750944
329,0.01750944
330,0.01750944
331,0.01750944
332,0.01750944
333,0.01750944
334,0.01750776
335,0.01750776
336,0.01749408
337,0.01749408
338,0.01749408
339,0.01748376
340,0.01748376
341,0.01748376
342,0.01747936
343,0.017466
344,0.017466
345,0.017466
346,0.017466
347,0.0174484
348,0.0174484
349,0.0174484
350,0.0174484
351,0.0174484
352,0.0174484
353,0.0174484
354,0.0174428
355,0.0174428
356,0.01743728
357,0.01743728
358,0.01743728
359,0.01743128
360,0.01743128
361,0.01743128
362,0.01742312
363,0.01742312
364,0.01742312
365,0.01741976
366,0.01741976
367,0.01741976
368,0.01741976
369,0.01741976
370,0.01740776
371,0.01740776
372,0.01740776
373,0.01739688
374,0.01739688
375,0.01739688
376,0.01738904
377,0.01738736
378,0.01738736
379,0.01738736
380,0.0173788
381,0.0173788
382,0.0173788
383,0.0173788
384,0.01736928
385,0.01736928
386,0.01736928
387,0.01736832
388,0.01736832
389,0.01736536
390,0.01736536
391,0.0173628
392,0.0173628
393,0.0173476
394,0.0173476
395,0.0173476
396,0.0173476
397,0.0173336
398,0.0173336
399,0.0173276
400,0.0173276
401,0.0173276
402,0.0173276
403,0.0173276
404,0.0173276
405,0.0173276
406,0.0173076
407,0.0173076
408,0.0173076
409,0.0173076
410,0.01730744
411,0.01730744
412,0.01730184
413,0.01730184
414,0.01730184
415,0.01729168
416,0.01728064
417,0.01728064
418,0.01727984
419,0.01727984
420,0.01727984
421,0.01727984
422,0.01727336
423,0.01727336
424,0.01727336
425,0.01727336
426,0.01727336
427,0.01727048
428,0.01727048
429,0.01726912
430,0.01726912
431,0.01726912
432,0.01726104
433,0.01726104
434,0.01725856
435,0.01725856
436,0.01725856
437,0.01725216
438,0.01725216
439,0.01725216
440,0.01724344
441,0.01724344
442,0.01723544
443,0.01723544
444,0.01722608
445,0.01722608
446,0.01722608
447,0.01722608
448,0.01722608
449,0.01722608
450,0.01722608
451,0.01721984
452,0.01721608
453,0.01721176
454,0.01721176
455,0.01721176
456,0.01721176
457,0.01721176
458,0.01720784
459,0.01720784
460,0.01720784
461,0.01720784
462,0.01720784
463,0.01720688
464,0.01720688
465,0.01720016
466,0.01719328
467,0.01719328
468,0.01719328
469,0.01718312
470,0.01717936
471,0.01717304
472,0.01717304
473,0.01717304
474,0.01717304
475,0.01717304
476,0.01717304
477,0.01715696
478,0.01715616
479,0.01715616
480,0.0171512
481,0.0171512
482,0.01714832
483,0.01713968
484,0.01713968
485,0.01713968
486,0.01713952
487,0.01713952
488,0.01713952
489,0.01713952
490,0.01713952
491,0.01713824
492,0.01713824
493,0.01713824
494,0.01713824
495,0.01713824
496,0.01712144
497,0.01712144
498,0.01712144
499,0.01712144
500,0.01712144
501,0.01712144
502,0.01712144
503,0.0171204
504,0.0171204
505,0.0171204
506,0.01711664
507,0.01711664
508,0.01711664
509,0.01711664
510,0.01711664
511,0.01711664
512,0.01711664
513,0.01711216
514,0.01711216
515,0.01711216
516,0.01711216
517,0.01711216
518,0.01711216
519,0.01711216
520,0.01711216
521,0.01710504
522,0.01710504
523,0.01710504
524,0.01710504
525,0.01710504
526,0.01710504
527,0.01710192
528,0.01710192
529,0.01710192
530,0.01710192
531,0.01709896
532,0.01708816
533,0.01708816
534,0.01708816
535,0.01708816
536,0.0170776
537,0.0170776
538,0.0170776
