,0
0,190.0
1,190.0
2,196.0
3,196.0
4,207.0
5,192.0
6,184.0
7,184.0
8,184.0
9,184.0
10,184.0
11,184.0
12,184.0
13,179.0
14,178.0
15,178.0
16,188.0
17,188.0
18,171.0
19,187.0
20,187.0
21,187.0
22,187.0
23,172.0
24,172.0
25,179.0
26,179.0
27,179.0
28,180.0
29,179.0
30,180.0
31,180.0
32,179.0
33,179.0
34,169.0
35,169.0
36,163.0
37,174.0
38,173.0
39,172.0
40,172.0
41,172.0
42,167.0
43,167.0
44,167.0
45,164.0
46,164.0
47,158.0
48,161.0
49,161.0
50,157.0
51,157.0
52,157.0
53,157.0
54,158.0
55,152.0
56,152.0
57,152.0
58,150.0
59,150.0
60,150.0
61,147.0
62,146.0
63,149.0
64,149.0
65,149.0
66,156.0
67,156.0
68,156.0
69,149.0
70,158.0
71,150.0
72,150.0
73,143.0
74,143.0
75,143.0
76,142.0
77,142.0
78,142.0
79,148.0
80,144.0
81,145.0
82,145.0
83,145.0
84,149.0
85,144.0
86,141.0
87,141.0
88,141.0
89,140.0
90,140.0
91,137.0
92,137.0
93,137.0
94,137.0
95,137.0
96,137.0
97,139.0
98,139.0
99,136.0
100,136.0
101,136.0
102,135.0
103,138.0
104,138.0
105,136.0
106,135.0
107,134.0
108,134.0
109,132.0
110,132.0
111,130.0
112,126.0
113,126.0
114,126.0
115,126.0
116,126.0
117,126.0
118,125.0
119,130.0
120,130.0
121,130.0
122,130.0
123,129.0
124,128.0
125,128.0
126,128.0
127,128.0
128,125.0
129,125.0
130,125.0
131,126.0
132,123.0
133,123.0
134,123.0
135,123.0
136,121.0
137,121.0
138,121.0
139,119.0
140,119.0
141,119.0
142,119.0
143,119.0
144,119.0
145,119.0
146,119.0
147,120.0
148,120.0
149,120.0
150,120.0
151,119.0
152,120.0
153,120.0
154,120.0
155,119.0
156,117.0
157,112.0
158,114.0
159,114.0
160,113.0
161,113.0
162,112.0
163,112.0
164,112.0
165,115.0
166,114.0
167,113.0
168,113.0
169,106.0
170,106.0
171,106.0
172,106.0
173,105.0
174,105.0
175,105.0
176,113.0
177,113.0
178,113.0
179,113.0
180,112.0
181,107.0
182,107.0
183,112.0
184,111.0
185,114.0
186,110.0
187,110.0
188,110.0
189,110.0
190,110.0
191,108.0
192,111.0
193,111.0
194,111.0
195,111.0
196,111.0
197,111.0
198,109.0
199,111.0
200,107.0
201,107.0
202,105.0
203,104.0
204,104.0
205,104.0
206,104.0
207,107.0
208,105.0
209,105.0
210,105.0
211,105.0
212,105.0
213,105.0
214,105.0
215,105.0
216,105.0
217,104.0
218,104.0
219,104.0
220,104.0
221,104.0
222,102.0
223,102.0
224,102.0
225,102.0
226,102.0
227,102.0
228,102.0
229,100.0
230,100.0
231,100.0
232,100.0
233,100.0
234,104.0
235,104.0
236,104.0
237,104.0
238,104.0
239,98.0
240,98.0
241,98.0
242,98.0
243,98.0
244,98.0
245,98.0
246,99.0
247,99.0
248,99.0
249,97.0
250,97.0
251,96.0
252,96.0
253,96.0
254,95.0
255,95.0
256,95.0
257,95.0
258,95.0
259,95.0
260,95.0
261,95.0
262,95.0
263,95.0
264,96.0
265,95.0
266,101.0
267,101.0
268,97.0
269,97.0
270,95.0
271,95.0
272,94.0
273,94.0
274,95.0
275,95.0
276,95.0
277,95.0
278,95.0
279,95.0
280,95.0
281,95.0
282,95.0
283,94.0
284,93.0
285,93.0
286,93.0
287,93.0
288,93.0
289,93.0
290,93.0
291,92.0
292,92.0
293,92.0
294,92.0
295,93.0
296,93.0
297,92.0
298,92.0
299,92.0
300,92.0
301,91.0
302,91.0
303,91.0
304,91.0
305,91.0
306,91.0
307,90.0
308,90.0
309,92.0
310,92.0
311,92.0
312,93.0
313,93.0
314,91.0
315,91.0
316,91.0
317,91.0
318,90.0
319,90.0
320,90.0
321,90.0
322,90.0
323,90.0
324,87.0
325,87.0
326,87.0
327,87.0
328,87.0
329,87.0
330,87.0
331,87.0
332,87.0
333,85.0
334,85.0
335,85.0
336,85.0
337,85.0
338,90.0
339,87.0
340,87.0
341,86.0
342,86.0
343,86.0
344,84.0
345,84.0
346,83.0
347,83.0
348,83.0
349,83.0
350,83.0
351,83.0
352,83.0
353,83.0
354,83.0
355,83.0
356,83.0
357,83.0
358,83.0
359,83.0
360,82.0
361,82.0
362,82.0
363,82.0
364,79.0
365,79.0
366,79.0
367,79.0
368,79.0
369,79.0
370,78.0
371,78.0
372,77.0
373,77.0
374,77.0
375,77.0
376,77.0
377,77.0
378,77.0
379,77.0
380,76.0
381,76.0
382,76.0
383,76.0
384,76.0
385,76.0
386,76.0
387,76.0
388,76.0
389,75.0
390,75.0
391,75.0
392,75.0
393,75.0
394,75.0
395,74.0
396,74.0
397,74.0
398,74.0
399,73.0
400,73.0
401,73.0
402,73.0
403,76.0
404,76.0
405,76.0
406,76.0
407,76.0
408,76.0
409,76.0
410,76.0
411,76.0
412,76.0
413,76.0
414,76.0
415,76.0
416,76.0
417,76.0
418,76.0
419,77.0
420,77.0
421,77.0
422,77.0
423,77.0
424,77.0
425,75.0
426,75.0
427,75.0
428,75.0
429,75.0
430,74.0
431,74.0
432,74.0
433,74.0
434,74.0
435,74.0
436,73.0
437,73.0
438,73.0
439,72.0
440,72.0
441,72.0
442,72.0
443,72.0
444,72.0
445,72.0
446,72.0
447,71.0
448,70.0
449,70.0
450,70.0
451,70.0
452,69.0
453,69.0
454,69.0
455,69.0
456,69.0
457,69.0
458,69.0
459,69.0
460,69.0
461,69.0
462,69.0
463,69.0
464,69.0
465,69.0
466,69.0
467,69.0
468,69.0
469,69.0
470,69.0
471,69.0
472,70.0
473,70.0
474,70.0
475,70.0
476,69.0
477,69.0
478,69.0
479,69.0
480,69.0
481,69.0
482,69.0
483,69.0
484,69.0
485,69.0
486,69.0
487,69.0
488,69.0
489,69.0
490,69.0
491,69.0
492,69.0
493,69.0
494,69.0
495,69.0
496,69.0
497,69.0
498,69.0
499,69.0
500,69.0
501,69.0
502,69.0
503,69.0
504,69.0
505,69.0
506,69.0
507,69.0
508,69.0
509,69.0
510,69.0
511,69.0
512,69.0
513,69.0
514,69.0
515,69.0
516,69.0
517,69.0
518,68.0
519,68.0
520,68.0
521,68.0
522,68.0
523,68.0
524,68.0
525,68.0
526,68.0
527,68.0
528,67.0
529,67.0
530,67.0
531,67.0
532,67.0
533,67.0
534,67.0
535,67.0
536,67.0
537,67.0
538,67.0
539,67.0
540,67.0
541,66.0
542,66.0
543,66.0
544,66.0
545,66.0
546,66.0
547,66.0
548,66.0
549,66.0
550,66.0
551,66.0
552,65.0
553,65.0
554,65.0
555,65.0
556,65.0
557,65.0
558,69.0
559,69.0
560,69.0
561,69.0
562,69.0
563,69.0
564,68.0
565,68.0
566,68.0
567,68.0
568,68.0
569,67.0
570,67.0
571,71.0
572,71.0
573,71.0
574,67.0
575,67.0
576,67.0
577,67.0
578,67.0
579,67.0
580,67.0
581,67.0
582,67.0
583,67.0
584,67.0
585,67.0
586,67.0
587,67.0
588,67.0
589,67.0
590,67.0
591,67.0
592,67.0
593,67.0
594,67.0
595,67.0
596,67.0
597,67.0
598,67.0
599,66.0
600,68.0
601,68.0
602,68.0
603,67.0
604,66.0
605,66.0
606,66.0
607,66.0
608,66.0
609,66.0
610,66.0
611,65.0
612,65.0
613,65.0
614,65.0
615,65.0
616,65.0
617,65.0
618,65.0
619,65.0
620,65.0
621,65.0
622,65.0
623,65.0
624,65.0
625,65.0
626,64.0
627,64.0
