,0
0,113.8077889333
1,113.8077889333
2,109.1465622667
3,109.1465622667
4,97.3195949333
5,97.3195949333
6,94.5614998667
7,94.5614998667
8,90.6713926667
9,89.4200316
10,89.4200316
11,87.9503230667
12,87.9503230667
13,87.9503230667
14,81.1937858667
15,80.8386364
16,80.4298293333
17,80.4298293333
18,76.3419545333
19,76.3419545333
20,75.1941561333
21,75.0534270667
22,75.0534270667
23,75.0534270667
24,74.070652
25,73.1035274667
26,73.1035274667
27,70.2959305333
28,67.9616376
29,67.9616376
30,67.9616376
31,67.9616376
32,67.8635586667
33,65.9557329333
34,65.9557329333
35,64.836088
36,64.0129582667
37,62.9068965333
38,62.9068965333
39,61.8197374667
40,61.2647957333
41,61.2647957333
42,60.1204204
43,59.5737712
44,59.3580569333
45,58.6545416
46,57.6133716
47,57.2942725333
48,57.2737186667
49,57.2737186667
50,56.6585096
51,56.6585096
52,56.534838
53,56.534838
54,56.534838
55,55.2313648
56,55.1346954667
57,54.8426306667
58,54.8426306667
59,54.3098668
60,54.3098668
61,53.1936288
62,53.1936288
63,53.1936288
64,52.8979108
65,52.1995016
66,51.8063136
67,50.7319133333
68,50.7319133333
69,50.7319133333
70,50.7319133333
71,50.0571366667
72,50.0571366667
73,49.7674701333
74,49.7674701333
75,49.6459709333
76,49.6459709333
77,49.6459709333
78,49.3150032
79,48.9466965333
80,48.830344
81,48.830344
82,48.830344
83,48.8098145333
84,48.7388829333
85,48.6287265333
86,48.5167485333
87,47.8616882667
88,47.8616882667
89,46.5931636
90,46.5931636
91,45.8701362667
92,45.850646
93,45.850646
94,44.9863096
95,44.9863096
96,44.1911070667
97,44.1911070667
98,44.1911070667
99,43.4788156
100,43.4788156
101,43.3152828
102,43.3003656
103,43.3003656
104,42.9713777333
105,42.0992906667
106,42.0992906667
107,42.0992906667
108,42.0992906667
109,42.0992906667
110,42.0992685333
111,41.8945234667
112,41.7466386667
113,41.7466386667
114,41.7466386667
115,41.1488566667
116,41.1091924
117,40.9281434667
118,40.8553050667
119,40.2645368
120,40.2645368
