,0
0,146.0
1,146.0
2,140.0
3,140.0
4,138.0
5,138.0
6,134.0
7,134.0
8,132.0
9,152.0
10,152.0
11,149.0
12,149.0
13,149.0
14,139.0
15,141.0
16,130.0
17,130.0
18,131.0
19,131.0
20,137.0
21,133.0
22,133.0
23,133.0
24,134.0
25,123.0
26,123.0
27,118.0
28,121.0
29,121.0
30,121.0
31,121.0
32,122.0
33,122.0
34,122.0
35,119.0
36,120.0
37,118.0
38,118.0
39,121.0
40,122.0
41,122.0
42,121.0
43,123.0
44,121.0
45,121.0
46,116.0
47,124.0
48,124.0
49,124.0
50,122.0
51,122.0
52,111.0
53,111.0
54,111.0
55,115.0
56,115.0
57,111.0
58,111.0
59,111.0
60,111.0
61,116.0
62,116.0
63,116.0
64,111.0
65,111.0
66,111.0
67,110.0
68,110.0
69,110.0
70,110.0
71,111.0
72,111.0
73,109.0
74,109.0
75,108.0
76,108.0
77,108.0
78,104.0
79,110.0
80,108.0
81,108.0
82,108.0
83,108.0
84,110.0
85,104.0
86,108.0
87,104.0
88,104.0
89,108.0
90,108.0
91,108.0
92,108.0
93,108.0
94,104.0
95,104.0
96,103.0
97,103.0
98,103.0
99,106.0
100,106.0
101,102.0
102,101.0
103,101.0
104,103.0
105,100.0
106,100.0
107,100.0
108,100.0
109,100.0
110,100.0
111,99.0
112,103.0
113,103.0
114,103.0
115,100.0
116,102.0
117,102.0
118,99.0
119,98.0
120,98.0
121,98.0
122,98.0
123,98.0
124,97.0
125,96.0
126,96.0
127,96.0
128,95.0
129,98.0
130,97.0
131,97.0
132,94.0
133,94.0
134,95.0
135,95.0
136,93.0
137,97.0
138,100.0
139,100.0
140,98.0
141,101.0
142,94.0
143,94.0
144,97.0
145,99.0
146,99.0
147,96.0
148,96.0
149,97.0
150,95.0
151,101.0
152,99.0
153,99.0
154,99.0
155,96.0
156,96.0
157,96.0
158,96.0
159,94.0
160,94.0
161,92.0
162,97.0
163,97.0
164,97.0
165,99.0
166,100.0
167,95.0
168,94.0
169,94.0
170,94.0
171,94.0
172,96.0
173,96.0
174,96.0
175,96.0
176,95.0
177,94.0
178,94.0
179,94.0
180,92.0
181,92.0
182,92.0
183,92.0
184,91.0
185,92.0
186,90.0
187,91.0
188,91.0
189,91.0
190,91.0
191,91.0
192,91.0
193,90.0
194,88.0
195,90.0
196,90.0
197,88.0
198,88.0
199,88.0
200,89.0
201,88.0
202,88.0
203,87.0
204,85.0
205,85.0
206,85.0
207,86.0
208,86.0
209,89.0
210,89.0
211,89.0
212,88.0
213,86.0
214,88.0
215,87.0
216,86.0
217,89.0
218,89.0
219,86.0
220,89.0
221,89.0
222,89.0
223,84.0
224,84.0
225,84.0
226,84.0
227,84.0
228,84.0
229,84.0
230,84.0
231,83.0
232,83.0
233,83.0
234,83.0
235,82.0
236,82.0
237,80.0
238,80.0
239,80.0
240,80.0
241,80.0
242,80.0
243,79.0
244,79.0
245,79.0
246,77.0
247,78.0
248,78.0
249,78.0
250,78.0
251,78.0
252,80.0
253,80.0
254,77.0
255,77.0
256,77.0
257,77.0
258,77.0
259,79.0
260,79.0
261,79.0
262,79.0
263,74.0
264,74.0
265,74.0
266,74.0
267,73.0
268,73.0
269,73.0
270,73.0
271,76.0
272,76.0
273,76.0
274,71.0
275,79.0
276,79.0
277,79.0
278,79.0
279,75.0
280,75.0
281,75.0
282,75.0
283,75.0
284,75.0
285,70.0
286,70.0
287,70.0
288,70.0
289,70.0
290,70.0
291,72.0
292,72.0
293,71.0
294,71.0
295,71.0
296,71.0
297,71.0
298,70.0
299,68.0
300,68.0
301,65.0
302,65.0
303,68.0
304,64.0
305,64.0
306,64.0
307,64.0
308,68.0
309,68.0
310,67.0
311,67.0
312,67.0
313,63.0
314,63.0
315,63.0
316,64.0
317,64.0
318,62.0
319,62.0
320,62.0
321,62.0
322,62.0
323,62.0
324,62.0
325,62.0
326,62.0
327,62.0
328,62.0
329,60.0
330,60.0
331,60.0
332,60.0
333,60.0
334,60.0
335,60.0
336,60.0
337,60.0
338,59.0
339,58.0
340,58.0
341,60.0
342,58.0
343,59.0
344,59.0
345,58.0
346,58.0
347,58.0
348,58.0
349,58.0
350,58.0
351,58.0
352,58.0
353,58.0
354,58.0
355,58.0
356,57.0
357,57.0
358,57.0
359,58.0
360,58.0
361,58.0
362,58.0
363,57.0
364,57.0
365,57.0
366,57.0
367,58.0
368,58.0
369,58.0
370,56.0
371,56.0
372,56.0
373,56.0
374,56.0
375,55.0
376,55.0
377,55.0
378,56.0
379,56.0
380,56.0
381,55.0
382,55.0
383,54.0
384,54.0
385,54.0
386,54.0
387,54.0
388,54.0
389,54.0
390,54.0
391,54.0
392,54.0
393,54.0
394,54.0
395,54.0
396,54.0
397,54.0
398,54.0
399,54.0
400,54.0
401,54.0
402,54.0
403,54.0
404,54.0
405,54.0
406,54.0
407,54.0
408,54.0
409,54.0
410,54.0
411,54.0
412,54.0
413,54.0
414,54.0
415,54.0
416,54.0
417,54.0
418,54.0
419,54.0
420,54.0
421,54.0
422,54.0
423,54.0
424,54.0
425,54.0
426,54.0
427,54.0
428,54.0
429,54.0
430,54.0
431,54.0
432,53.0
433,53.0
434,53.0
435,53.0
436,53.0
437,53.0
438,53.0
439,53.0
440,53.0
441,53.0
442,53.0
443,53.0
444,53.0
445,53.0
446,53.0
447,53.0
448,53.0
449,53.0
450,53.0
451,53.0
452,53.0
453,53.0
454,53.0
455,53.0
456,55.0
457,52.0
458,52.0
459,52.0
460,52.0
461,53.0
462,52.0
463,52.0
464,52.0
465,52.0
466,52.0
467,52.0
468,52.0
469,52.0
470,52.0
471,51.0
472,51.0
473,51.0
474,51.0
475,51.0
476,51.0
477,51.0
478,50.0
479,50.0
480,50.0
481,50.0
482,50.0
483,50.0
484,50.0
485,50.0
486,50.0
487,50.0
488,50.0
489,50.0
490,50.0
491,50.0
492,50.0
493,50.0
494,51.0
495,51.0
496,48.0
497,48.0
498,50.0
499,50.0
500,49.0
501,49.0
502,49.0
503,49.0
504,49.0
505,49.0
506,48.0
507,48.0
508,48.0
509,48.0
510,49.0
511,49.0
512,49.0
513,49.0
514,48.0
515,47.0
516,47.0
517,47.0
518,47.0
519,47.0
520,46.0
521,46.0
522,46.0
523,46.0
524,46.0
525,46.0
526,46.0
527,46.0
528,46.0
529,46.0
530,46.0
531,46.0
532,46.0
533,46.0
534,46.0
535,46.0
536,46.0
537,46.0
538,46.0
539,46.0
540,46.0
541,46.0
542,46.0
543,46.0
544,46.0
545,45.0
546,45.0
547,45.0
548,45.0
549,45.0
550,45.0
551,45.0
552,44.0
553,44.0
554,44.0
555,44.0
556,44.0
557,44.0
558,44.0
559,44.0
560,44.0
561,44.0
562,43.0
563,43.0
564,43.0
565,43.0
566,43.0
567,43.0
568,43.0
569,43.0
570,43.0
571,42.0
572,42.0
573,42.0
574,42.0
575,42.0
576,42.0
577,42.0
578,42.0
579,42.0
580,41.0
581,41.0
582,41.0
583,41.0
584,41.0
585,41.0
586,41.0
587,41.0
588,41.0
589,41.0
590,41.0
591,41.0
592,41.0
593,41.0
594,41.0
595,41.0
596,41.0
597,41.0
598,41.0
599,42.0
600,42.0
601,42.0
602,42.0
603,41.0
604,41.0
605,41.0
606,41.0
607,41.0
608,41.0
609,41.0
610,41.0
611,40.0
612,40.0
613,40.0
614,40.0
615,40.0
616,40.0
617,40.0
618,40.0
619,40.0
620,40.0
621,40.0
622,40.0
623,40.0
624,40.0
625,40.0
626,40.0
627,40.0
628,40.0
629,40.0
630,40.0
631,40.0
632,40.0
633,40.0
634,40.0
635,40.0
636,40.0
637,40.0
638,40.0
639,39.0
640,39.0
