,0
0,50.06641088
1,41.62538848
2,41.62538848
3,41.62538848
4,41.62538848
5,41.62538848
6,39.7270944
7,37.27687216
8,36.73371408
9,36.65650848
10,35.52885568
11,35.52885568
12,32.96610832
13,32.8107712
14,32.8107712
15,32.8107712
16,32.8107712
17,32.8107712
18,32.8107712
19,32.8107712
20,32.27399024
21,32.25376208
22,30.37423584
23,30.37423584
24,29.43493168
25,29.18979296
26,28.41011856
27,28.41011856
28,28.41011856
29,27.59323632
30,27.28313872
31,27.28313872
32,26.46783072
33,25.60504128
34,25.60504128
35,25.4970088
36,25.4970088
37,25.4970088
38,25.4970088
39,24.68200544
40,24.5097896
41,24.5097896
42,24.5097896
43,24.39332864
44,23.83323168
45,23.2687152
46,22.28369088
47,21.85089456
48,21.82052608
49,21.82052608
50,21.82052608
51,20.66428768
52,20.66428768
53,20.19018928
54,19.4662792
55,18.20932992
56,18.20932992
57,17.71367792
58,17.71367792
59,17.58112192
60,17.58112192
61,17.58112192
62,16.53292256
63,16.28177808
64,16.27512816
65,15.36687184
66,15.36687184
67,15.36687184
68,14.14733328
69,14.14733328
70,14.14733328
71,13.92351936
72,13.71167984
73,13.17992944
74,13.04133648
75,12.981608
76,12.08286768
77,12.08286768
78,12.08286768
79,11.9211696
80,11.91267472
81,11.78138144
82,11.54220048
83,11.4583168
84,11.43900528
85,10.61687472
86,10.61687472
87,10.61687472
88,10.61687472
89,10.2802688
90,10.2802688
91,10.2396672
92,10.19779344
93,10.0221776
94,10.0221776
95,9.88761904
96,9.88761904
97,9.88761904
98,9.76961136
99,9.4069576
100,9.4069576
101,9.4069576
102,9.3179472
103,9.28782016
104,9.19573856
105,9.12260736
106,9.12260736
107,9.12260736
108,9.0576528
109,8.9801984
110,8.8701552
111,8.8701552
112,8.8701552
113,8.76102688
114,8.63309088
115,8.63309088
116,8.63309088
117,8.63309088
118,8.63309088
119,8.63309088
120,8.5060904
121,8.5060904
122,8.49303696
123,8.49303696
124,8.4612056
125,8.4612056
126,8.4612056
127,8.4612056
128,8.46118768
129,8.44070512
130,8.26740432
131,8.26740432
132,8.26740432
133,8.26740432
134,8.26737488
135,8.26737488
136,8.23559088
137,8.04459664
138,7.435944
139,7.435944
140,7.23040256
141,6.98589328
142,6.98589328
143,6.98589328
144,6.985864
145,6.97699056
146,6.97699056
147,6.86248032
148,6.86248032
149,6.86013728
150,6.78127504
151,6.78127504
152,6.75169024
153,6.75169024
154,6.6809624
155,6.6809624
156,6.66051136
157,6.66051136
