,0
0,137.0
1,132.0
2,132.0
3,132.0
4,132.0
5,132.0
6,136.0
7,124.0
8,118.0
9,114.0
10,118.0
11,118.0
12,116.0
13,114.0
14,114.0
15,114.0
16,114.0
17,114.0
18,114.0
19,114.0
20,112.0
21,106.0
22,102.0
23,102.0
24,112.0
25,111.0
26,110.0
27,110.0
28,110.0
29,110.0
30,106.0
31,106.0
32,106.0
33,102.0
34,102.0
35,101.0
36,101.0
37,101.0
38,101.0
39,102.0
40,104.0
41,104.0
42,104.0
43,105.0
44,103.0
45,102.0
46,96.0
47,97.0
48,95.0
49,95.0
50,95.0
51,95.0
52,95.0
53,90.0
54,92.0
55,86.0
56,86.0
57,84.0
58,84.0
59,83.0
60,83.0
61,83.0
62,90.0
63,88.0
64,82.0
65,82.0
66,82.0
67,82.0
68,79.0
69,79.0
70,79.0
71,78.0
72,78.0
73,73.0
74,79.0
75,78.0
76,73.0
77,73.0
78,73.0
79,73.0
80,68.0
81,73.0
82,68.0
83,68.0
84,68.0
85,65.0
86,65.0
87,65.0
88,65.0
89,63.0
90,63.0
91,59.0
92,61.0
93,60.0
94,60.0
95,58.0
96,58.0
97,58.0
98,57.0
99,55.0
100,55.0
101,55.0
102,54.0
103,55.0
104,53.0
105,52.0
106,52.0
107,52.0
108,52.0
109,52.0
110,51.0
111,51.0
112,51.0
113,50.0
114,49.0
115,49.0
116,49.0
117,49.0
118,49.0
119,49.0
120,48.0
121,48.0
122,48.0
123,48.0
124,49.0
125,49.0
126,49.0
127,49.0
128,49.0
129,49.0
130,46.0
131,46.0
132,46.0
133,46.0
134,46.0
135,46.0
136,47.0
137,44.0
138,48.0
139,48.0
140,46.0
141,44.0
142,44.0
143,44.0
144,44.0
145,44.0
146,44.0
147,43.0
148,43.0
149,43.0
150,42.0
151,42.0
152,44.0
153,44.0
154,41.0
155,41.0
156,41.0
157,41.0
158,41.0
159,41.0
160,41.0
161,41.0
162,41.0
163,40.0
164,40.0
165,40.0
166,40.0
167,39.0
168,39.0
169,37.0
170,37.0
171,37.0
172,38.0
173,38.0
174,38.0
175,38.0
176,38.0
177,37.0
178,37.0
179,37.0
180,37.0
181,37.0
182,37.0
183,37.0
184,37.0
185,37.0
186,37.0
187,37.0
188,37.0
189,37.0
190,36.0
191,36.0
192,36.0
193,36.0
194,36.0
195,36.0
196,36.0
197,36.0
198,36.0
199,36.0
200,35.0
201,35.0
202,35.0
203,35.0
204,37.0
205,37.0
206,37.0
207,36.0
208,36.0
209,36.0
210,35.0
211,35.0
212,35.0
213,35.0
214,35.0
215,33.0
216,33.0
217,33.0
218,32.0
219,32.0
220,32.0
221,32.0
222,33.0
223,33.0
224,33.0
225,31.0
226,33.0
227,33.0
228,33.0
229,31.0
230,32.0
231,31.0
232,31.0
233,31.0
234,29.0
235,29.0
236,29.0
237,29.0
238,29.0
239,29.0
240,29.0
241,29.0
242,29.0
243,29.0
244,29.0
245,29.0
246,29.0
247,29.0
248,29.0
249,29.0
250,29.0
251,29.0
252,29.0
253,29.0
254,29.0
255,29.0
256,30.0
257,28.0
258,28.0
259,29.0
260,29.0
261,29.0
262,29.0
263,29.0
264,29.0
265,29.0
266,29.0
267,29.0
268,29.0
269,29.0
270,29.0
271,29.0
272,27.0
273,27.0
274,27.0
275,27.0
276,26.0
277,26.0
278,26.0
279,25.0
280,25.0
281,25.0
282,25.0
283,25.0
284,25.0
285,25.0
286,25.0
287,25.0
288,25.0
289,25.0
290,25.0
291,24.0
292,24.0
293,23.0
294,23.0
295,23.0
296,23.0
297,23.0
298,23.0
299,23.0
300,23.0
301,22.0
302,22.0
303,22.0
304,22.0
305,22.0
306,21.0
307,21.0
308,21.0
309,20.0
310,20.0
311,20.0
312,20.0
313,20.0
314,20.0
315,20.0
316,20.0
317,20.0
318,20.0
319,20.0
320,20.0
321,19.0
322,19.0
323,19.0
324,19.0
325,19.0
326,19.0
327,19.0
328,19.0
329,19.0
330,19.0
331,19.0
332,19.0
333,19.0
334,19.0
335,19.0
336,19.0
337,19.0
338,19.0
339,19.0
340,19.0
341,18.0
342,18.0
343,18.0
344,18.0
345,18.0
346,18.0
347,18.0
348,18.0
349,19.0
350,19.0
351,18.0
352,18.0
353,18.0
354,18.0
355,18.0
356,18.0
357,18.0
358,18.0
359,18.0
360,18.0
361,18.0
362,18.0
363,16.0
364,16.0
365,16.0
366,16.0
367,16.0
368,15.0
369,15.0
370,15.0
371,15.0
372,15.0
373,15.0
374,14.0
375,14.0
376,14.0
377,14.0
378,14.0
379,14.0
380,14.0
381,14.0
382,14.0
383,14.0
384,14.0
385,14.0
386,14.0
387,14.0
388,14.0
389,13.0
390,13.0
391,13.0
392,13.0
393,13.0
394,13.0
395,13.0
396,13.0
397,13.0
398,13.0
399,13.0
400,12.0
401,12.0
402,12.0
403,12.0
404,12.0
405,12.0
406,12.0
407,12.0
408,12.0
409,12.0
410,11.0
411,11.0
412,11.0
413,11.0
414,11.0
415,11.0
416,11.0
417,11.0
418,11.0
