,0
0,12.1341054
1,11.975586
2,11.7986892
3,10.1349264
4,10.1349264
5,10.124222
6,8.0583508
7,7.9993956
8,7.8505358
9,7.8505358
10,7.7652362
11,6.8219626
12,6.308239
13,5.73243
14,5.4738634
15,5.4738634
16,5.4738634
17,5.4738634
18,5.4665854
19,5.4665854
20,5.3272562
21,5.3272562
22,5.1235532
23,4.794892
24,4.585278
25,4.3600254
26,3.9201784
27,3.8024668
28,3.8024668
29,3.7010046
30,3.5488902
31,3.39908
32,3.3557378
33,2.8826798
34,2.8826798
35,2.8323924
36,2.8323924
37,2.756821
38,2.64883
39,2.64883
40,2.6388938
41,2.5225936
42,2.2386132
43,2.2386132
44,2.0058474
45,2.0058474
46,2.0058218
47,1.9569934
48,1.9569934
49,1.8767954
50,1.7600192
51,1.7600192
52,1.6019452
53,1.4180002
54,1.4180002
55,1.344173
56,1.344173
57,1.2129244
58,1.2129244
59,1.0518462
60,1.0518462
61,1.0138432
62,1.0138432
63,0.746517
64,0.746517
65,0.746517
66,0.746517
67,0.7465106
68,0.7445782
69,0.6398474
70,0.5087654
71,0.5087564
72,0.4017626
73,0.4017626
74,0.4017282
75,0.4015998
76,0.4015148
77,0.4015148
78,0.3965326
79,0.3965262
80,0.396501
81,0.3962426
82,0.3962426
83,0.3959908
84,0.3959908
85,0.3959908
86,0.3959908
87,0.3959908
88,0.3959908
89,0.3948134
90,0.3948134
91,0.3947276
92,0.3944352
93,0.3942954
94,0.3942502
95,0.3942502
96,0.2936672
97,0.2936672
98,0.2616362
99,0.2616362
100,0.1588202
101,0.1588074
102,0.1588058
103,0.1587154
104,0.1587154
105,0.1586934
106,0.1586764
107,0.1585394
108,0.1585146
109,0.1585146
110,0.1585146
111,0.1584946
112,0.1584946
113,0.1584242
114,0.1584242
115,0.1584074
116,0.1582862
117,0.1582862
118,0.1582862
119,0.1582862
120,0.1582734
121,0.1582734
122,0.1582452
123,0.1582452
124,0.1582452
125,0.1582452
126,0.1582452
127,0.1531722
128,0.153042
129,0.153042
130,0.1530094
131,0.1529268
132,0.1529268
133,0.1528548
134,0.1528548
135,0.1528548
136,0.1528548
137,0.1526914
138,0.1525876
139,0.1525876
140,0.1525338
141,0.152521
142,0.152521
143,0.152521
144,0.152521
145,0.1524866
146,0.1524866
147,0.1523896
148,0.152384
149,0.152384
150,0.152384
151,0.152384
152,0.1522928
153,0.1522646
154,0.1522316
155,0.1522316
156,0.1522218
157,0.1522218
158,0.1521966
159,0.0404454
160,0.0404258
161,0.0403492
162,0.0403066
163,0.0403066
164,0.0403066
165,0.0403066
166,0.0403066
167,0.0403066
168,0.040291
169,0.0402154
170,0.0402154
171,0.0402154
172,0.0401632
173,0.0401584
174,0.0401572
175,0.0400916
176,0.0400916
177,0.0400768
178,0.0400572
179,0.0400176
180,0.0399664
181,0.0399664
182,0.03996
183,0.03996
184,0.0399302
185,0.039826
186,0.0398196
187,0.0398196
188,0.0398196
189,0.0397938
190,0.0397938
191,0.0397938
192,0.0397808
193,0.0397808
194,0.0397378
195,0.0397378
196,0.0397152
197,0.0397016
198,0.0395422
199,0.0395422
200,0.0395228
201,0.0395228
202,0.0394912
203,0.0394824
204,0.0394678
205,0.0394678
206,0.0394554
207,0.0394554
208,0.0394288
209,0.0394006
210,0.0393848
211,0.0393584
212,0.0393584
213,0.0393584
214,0.0392916
215,0.039226
216,0.039226
217,0.038949
218,0.038949
219,0.0389418
220,0.0389418
221,0.0389418
222,0.0389418
223,0.0389408
224,0.0389316
225,0.0388878
226,0.0388874
227,0.0388874
228,0.0388874
229,0.038881
230,0.0388424
231,0.0388424
232,0.0388424
233,0.038746
234,0.038746
235,0.038746
236,0.0387132
237,0.0386582
238,0.0386582
239,0.0385092
240,0.0385092
241,0.0385092
242,0.0385092
243,0.0385092
244,0.0385092
245,0.0385092
246,0.038432
247,0.038432
248,0.038432
249,0.038432
250,0.0383626
251,0.0383224
252,0.0383224
253,0.0383224
254,0.038313
255,0.0383004
256,0.038218
257,0.038218
258,0.038218
259,0.038199
260,0.038199
261,0.038199
262,0.038199
263,0.038199
264,0.038097
265,0.038097
266,0.038097
267,0.038097
268,0.0380966
269,0.0380966
270,0.0380736
271,0.0380448
272,0.0380438
273,0.0380064
274,0.0380064
275,0.0380064
276,0.0380064
277,0.0379652
278,0.0378724
279,0.0378724
280,0.0378724
281,0.0378724
282,0.0378634
283,0.0378634
284,0.0378562
285,0.0378562
286,0.0378048
287,0.0378048
288,0.0377838
289,0.0377838
290,0.0377696
291,0.0377696
292,0.0377478
293,0.037729
294,0.037729
295,0.0376992
296,0.0376852
297,0.0376742
298,0.0376742
299,0.037663
300,0.0376608
301,0.037639
302,0.037639
303,0.037639
304,0.0376086
305,0.0375812
306,0.0375812
307,0.0375442
308,0.0375442
309,0.0375254
310,0.0374574
311,0.0374574
312,0.0374534
313,0.0374394
314,0.0374394
315,0.0374394
316,0.0374394
317,0.0374372
318,0.0373768
319,0.0373768
320,0.0373768
321,0.0373404
322,0.0373246
323,0.037251
324,0.0372492
325,0.0372492
326,0.0371654
327,0.0371654
328,0.0371534
329,0.0371238
330,0.0371238
331,0.0371238
332,0.0371238
333,0.0370934
334,0.0370934
335,0.0370934
336,0.037077
337,0.037077
338,0.037077
339,0.0370566
340,0.037045
341,0.036991
342,0.036991
343,0.036991
344,0.036991
345,0.036991
346,0.03692
347,0.03692
348,0.03692
349,0.03692
350,0.03692
351,0.0368732
352,0.0368732
353,0.0368732
354,0.0368732
355,0.0368654
356,0.036812
357,0.036812
358,0.036812
359,0.03674
360,0.03674
361,0.03674
362,0.0367014
363,0.0367014
364,0.0366866
365,0.036681
366,0.036681
367,0.036681
368,0.036659
369,0.0366526
370,0.0366334
371,0.0366334
372,0.0365996
373,0.0365996
374,0.0365996
375,0.0365996
376,0.0365862
377,0.0365644
378,0.036542
379,0.0365208
380,0.0365208
381,0.0365208
382,0.0365198
383,0.036507
384,0.036507
385,0.0364608
386,0.0364608
387,0.0364608
388,0.0364608
389,0.0364608
390,0.0364608
391,0.0364458
392,0.0364458
393,0.0364458
394,0.0364458
395,0.0364458
396,0.0364138
397,0.036409
398,0.0363478
399,0.0362958
400,0.0362958
401,0.0362958
402,0.0362958
403,0.0362958
404,0.0362638
405,0.0362638
406,0.0362638
407,0.0362638
408,0.0362638
409,0.0362638
410,0.036261
411,0.0362322
412,0.0362322
413,0.0362322
414,0.0362322
415,0.0362322
416,0.0362224
417,0.0362224
418,0.0362224
419,0.0362224
420,0.0362168
421,0.0362168
422,0.0362128
423,0.0362128
424,0.0362124
425,0.0361812
426,0.0361812
427,0.0361812
428,0.0361342
429,0.0361342
430,0.0361342
431,0.0361342
432,0.0361342
433,0.0361342
434,0.0361342
435,0.03611
436,0.03611
437,0.0360972
438,0.0360972
439,0.0360972
440,0.0360972
441,0.0360972
442,0.0360942
443,0.0360844
444,0.0360844
445,0.0360844
446,0.0360844
447,0.0360844
448,0.0360844
449,0.0360644
450,0.0360644
451,0.0360644
452,0.0360644
453,0.0360644
454,0.0360644
455,0.0360226
456,0.0360226
457,0.0360226
458,0.0360098
459,0.0360098
460,0.0360098
461,0.0360098
462,0.0360098
463,0.0360098
464,0.0360034
465,0.0360034
466,0.0360034
467,0.0360034
468,0.0360034
469,0.0360034
470,0.035997
471,0.0359648
472,0.0359648
473,0.0359648
474,0.0359648
475,0.035946
476,0.035946
477,0.0359298
478,0.0359298
479,0.0359298
480,0.0359298
481,0.035928
482,0.035928
483,0.0359042
484,0.0359042
485,0.0359042
486,0.0358914
487,0.0358914
488,0.0358914
489,0.0358914
490,0.0358914
491,0.0358872
492,0.0358536
493,0.0358536
494,0.0358536
495,0.0358408
496,0.0358408
497,0.0358408
498,0.0358408
499,0.0358408
500,0.0358408
501,0.0358408
502,0.0358344
503,0.0358284
504,0.0358134
505,0.0358134
506,0.0358134
507,0.035807
508,0.035807
509,0.035807
510,0.035804
511,0.0357916
512,0.0357916
513,0.0357916
514,0.0357916
515,0.0357436
516,0.0357436
517,0.0357116
518,0.0357116
519,0.0357116
520,0.0357116
521,0.0357
522,0.0357
523,0.0357
524,0.0356984
525,0.0356952
526,0.0356952
527,0.0356952
528,0.0356952
529,0.0356842
530,0.035679
531,0.0356742
532,0.0356742
533,0.0356742
534,0.0356686
535,0.0356686
536,0.0356378
537,0.0356246
538,0.0356246
539,0.0356246
540,0.0356246
541,0.0356058
542,0.0356058
543,0.0356058
544,0.0356058
545,0.0356058
546,0.0356058
547,0.0356058
548,0.0356054
549,0.0355966
550,0.0355966
551,0.0355966
552,0.0355918
553,0.0355808
554,0.0355312
555,0.0355312
556,0.0355312
557,0.0355312
558,0.0355312
559,0.0355202
560,0.0355202
561,0.0355202
562,0.0355202
563,0.0355202
564,0.0355202
565,0.035495
566,0.035495
567,0.0354946
568,0.0354784
569,0.0354784
570,0.035476
571,0.035476
572,0.0354752
573,0.0354752
574,0.0354752
575,0.0354752
576,0.0354752
577,0.0354752
578,0.0354752
579,0.0354752
580,0.0354752
581,0.0354752
582,0.0354752
583,0.0354752
584,0.0354752
585,0.0354752
586,0.0354752
587,0.0354752
588,0.0354752
589,0.0354752
590,0.0354752
591,0.0354752
592,0.0354752
593,0.0354752
594,0.0354752
595,0.0354702
596,0.0354702
597,0.0354702
598,0.0354702
599,0.0354702
600,0.0354702
601,0.0354702
602,0.0354638
603,0.0354638
604,0.035449
605,0.035449
606,0.035449
607,0.0354356
608,0.0354356
609,0.0354356
610,0.0354356
611,0.0354114
612,0.0354114
613,0.0354114
614,0.0354114
615,0.0354114
616,0.0354114
617,0.0354114
618,0.0354114
619,0.0354064
620,0.0354054
621,0.0353986
622,0.0353986
623,0.0353816
624,0.0353816
625,0.0353756
626,0.0353734
627,0.0353662
628,0.035361
629,0.035361
630,0.035361
631,0.035361
632,0.0353542
633,0.0353542
634,0.0353462
635,0.0353462
636,0.0353462
637,0.0353462
638,0.0353462
639,0.0353462
640,0.0353462
641,0.0353462
642,0.035325
643,0.035325
644,0.035325
645,0.035325
646,0.035325
647,0.035325
648,0.0353246
649,0.0353246
650,0.0353246
651,0.0353246
652,0.0353246
653,0.0353246
654,0.0353246
655,0.0353246
656,0.0353246
657,0.0353246
658,0.0353094
659,0.0352998
660,0.0352974
661,0.0352974
662,0.0352974
663,0.0352974
664,0.0352822
665,0.0352794
666,0.0352674
667,0.0352674
668,0.0352412
669,0.0352412
670,0.0352412
671,0.0352412
672,0.0352412
673,0.0352412
674,0.0352288
675,0.0352288
676,0.0352288
677,0.0352288
678,0.0352288
679,0.0352288
680,0.035228
681,0.035228
682,0.035228
683,0.0351996
684,0.0351996
685,0.0351996
686,0.0351996
687,0.0351996
688,0.0351872
689,0.0351872
690,0.0351872
691,0.0351872
692,0.0351872
693,0.0351808
694,0.0351694
695,0.0351694
696,0.0351694
697,0.0351624
698,0.0351374
699,0.0351246
700,0.0351246
701,0.0351232
702,0.0351032
703,0.0350626
704,0.0350626
705,0.0350626
706,0.0350626
707,0.0350586
708,0.0350586
709,0.0350522
710,0.0350522
711,0.0350522
712,0.0350522
713,0.0350522
714,0.0350522
715,0.0350522
716,0.0350522
717,0.0350522
718,0.0350522
719,0.0350522
720,0.0350522
721,0.0350458
722,0.0350458
723,0.0350448
724,0.0350448
725,0.0350448
726,0.0350384
727,0.0350384
728,0.0350384
729,0.0350384
730,0.0350256
731,0.0350256
732,0.0350256
733,0.0350256
734,0.0350256
735,0.0350256
736,0.0350256
737,0.0350256
738,0.0350256
739,0.0350256
740,0.0350256
741,0.0350256
742,0.0350256
743,0.0350256
744,0.0350256
745,0.0350256
746,0.0350256
747,0.0350256
748,0.0350156
749,0.0350156
750,0.0350156
751,0.0350156
752,0.0350156
753,0.0350002
754,0.0350002
755,0.0350002
756,0.0350002
757,0.0349974
758,0.0349974
759,0.0349858
760,0.0349858
761,0.0349858
762,0.0349858
763,0.0349858
764,0.0349858
765,0.0349858
766,0.0349832
767,0.0349832
768,0.0349832
769,0.0349832
770,0.0349832
771,0.0349832
772,0.0349832
773,0.0349832
774,0.0349832
